chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21p	chr21q	chr22p	chr22q	chrXp	chrXq
X1032	0	0	0	0	0.286	0.286	-0.257	-0.257	0.782	0.308	-0.265	-0.265	0	0	0.282	0.282	0.627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.276	-0.276	0.407	0	0	0	0	0	0	0	-0.261	-0.261
X103	0	0	0	0	0	0	-0.771	-0.771	-0.705	-0.705	0	0	-0.019	0.75	-0.747	-0.747	0	0	-0.742	0	-0.777	0	0	0	-0.743	0	0	-0.726	0	-0.78	-0.78	-0.772	-0.74	0	0	0	0	-0.763	-0.763	-0.788	-0.788	0	0.703
X1040	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.264	-0.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0.28	0	0	0	0	0	0
X1097	0	0	0	0	-0.849	1.185	0	0	-0.355	-0.851	0.404	0	-0.86	1.257	0	0	0	0	0	0	0	0	0	0.297	0.587	0	-0.808	0	0	0	0	0	0	1.059	0	-0.738	0	-0.819	-0.819	0	0	-0.858	-0.858
X1098	0	0	0	0	0.557	0.557	0	0	-0.324	-0.324	0.267	0	0.512	0.512	1.102	0.65	-0.656	-0.656	0.005	-0.32	-0.613	-0.613	1.488	0.481	-0.993	-0.342	0	-0.626	-0.626	0.359	0	0	-0.626	0.627	-0.533	0.862	0.862	0	0	-0.272	-0.272	-1.293	-1.293
X1172	0	0	0	0.461	-0.809	0	-0.89	-0.89	-0.899	-0.899	0	0	-0.895	0.79	-0.187	0.661	0	-0.766	0.744	0	0	0	-0.869	-0.869	-0.865	0	0	-0.854	-0.854	-0.844	-0.844	0	0	0	0	-0.823	0	0	0	-0.847	-0.847	0	0
X1177	0	0.829	0.418	0.418	0.304	0.304	-0.427	-0.427	-0.436	0	-0.008	-0.427	-0.454	0.437	0.022	0.43	-0.413	-0.413	0.449	0	-0.288	0	1.682	-0.398	-0.419	-0.4	-0.423	0.463	-0.4	-0.389	0.917	0	0	0.459	0.459	0.859	0.859	-0.33	0	-0.4	-0.4	-0.859	-0.859
X1192	0	1.044	0	1.005	0	0.536	0	0	0	0	1.659	-0.55	0.512	0.512	-0.066	0.971	-0.533	-0.533	0.766	-0.407	-0.304	0	-0.469	-0.469	0.533	-0.444	0	-0.409	-0.409	-0.423	-0.423	0	0	0.26	-0.409	0.616	0.616	0	0	-0.41	-0.41	-1.058	-1.058
X1196	0	0.873	0	0	0	0	-0.916	-0.916	0	0	-0.895	-0.895	0	0	0	0	-0.876	-0.876	-0.904	0	0	0	0	0	-0.899	-0.889	-0.897	-0.883	-0.883	-0.882	-0.882	0	0	0	-0.87	0	0.974	-0.501	0	-0.888	-0.888	-0.889	-0.889
