"1p"	"1q"	"2p"	"2q"	"3p"	"3q"	"4p"	"4q"	"5p"	"5q"	"6p"	"6q"	"7p"	"7q"	"8p"	"8q"	"9p"	"9q"	"10p"	"10q"	"11p"	"11q"	"12p"	"12q"	"13q"	"14q"	"15q"	"16p"	"16q"	"17p"	"17q"	"18p"	"18q"	"19p"	"19q"	"20p"	"20q"	"21q"	"22q"	"Xp"	"Xq"
"TCGA.05.4244.01"	0	1.591	0.774	0	0	0	-0.372	-0.372	1.694	0.826	0	0	0.601	0	0.227	0.776	-0.859	-0.859	-0.379	-0.379	-1.293	-0.961	0	0	-0.775	0	-0.437	0.754	0	0.032	0.529	0	0	0	0	0	-0.395	0	-0.476	0.089	0.757
"TCGA.05.4249.01"	-0.322	1.278	0	0	-0.319	-0.319	-0.255	-0.255	-0.27	-0.27	0.522	0.522	-0.292	-0.292	-0.325	0.34	-0.301	-0.301	0	0	0	0	-0.816	0	0	0	-0.398	0.654	0.654	0.144	0.542	-0.25	-0.25	0	0	0.282	-0.341	-0.372	0	0	0
"TCGA.05.4250.01"	-0.542	-0.167	0.436	0.436	0	0	0	0	0	0	-0.253	-0.546	0.508	0.508	0.448	0.448	-0.537	-0.537	0	0	0	0	-0.537	-0.537	-0.526	0	0	0	0	-0.561	1.354	-0.551	-0.551	-0.588	0.405	0.464	0.464	0	0	0	0
"TCGA.05.4382.01"	0.739	0.739	0.445	0.445	-0.607	0.616	0	-0.605	-0.66	-0.66	0.288	-0.387	0.589	0	-0.738	-0.738	-1.293	-1.293	0	0	-0.121	0.296	0.557	0.297	0.801	0	-0.775	0	0	0.196	1.118	0	0	-1.082	0	0.264	0.264	-0.658	-0.316	-1.293	-1.293
"TCGA.05.4384.01"	0	1.014	0	0	0	0	0	0	0	0	0	0	0.903	0	0	0	-0.936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.837	0	0	0	0	0	0	0
"TCGA.05.4389.01"	-0.284	0.984	0.267	0.267	-0.082	0.624	-0.418	0	-0.109	-0.728	-0.28	-0.28	0.277	-0.024	-1.293	-0.74	-0.439	-0.439	0	0	-0.72	-0.72	0.33	0.33	-0.688	0.313	-0.661	-0.412	-0.412	-0.525	1.282	0	0	-0.664	0	0.451	0.451	-0.735	-0.419	-0.449	0
"TCGA.05.4390.01"	-0.283	0.215	0	0	0	0	-0.256	-0.256	0	0	-0.836	-0.836	1.352	1.352	0	2.703	0	-0.794	0.361	0.063	0	0	0.059	0.461	0	1.9	0	0.64	0.357	0	0	-0.527	0.977	0	0	0.644	0.644	-0.279	-0.256	0	0
"TCGA.05.4395.01"	0	1.035	0.4	0.4	0	0	-0.005	-0.648	1.25	0	-0.673	-0.673	1.176	1.176	-0.281	0.556	-0.626	0	0.591	0	0	0	3.152	0.75	-0.617	0	0	0.253	0.253	-0.08	0.586	-0.644	-0.644	-0.651	-0.651	-0.647	0	-0.651	-0.681	0	0
"TCGA.05.4396.01"	0	0	0	0	0	0	0	0	0.967	-0.033	0	0	0	0	0	0	-0.996	0	0	0	0	0	0	0	0	-0.946	0	-0.899	0	-0.79	-0.79	0	0	-0.763	-0.763	0	0	-0.942	-0.859	0	0
"TCGA.05.4397.01"	0	0.815	0	0	-0.942	-0.085	-0.768	0	0	0	0	0	0	0	0	0	0	0	0	-0.938	0	0	-0.551	0	-0.952	0	0	0	0	-0.896	0	0	0	0	-0.916	0	1.363	0	-0.91	0	0
"TCGA.05.4398.01"	0	0	0	0	0	0	-0.614	-0.614	0.459	0.179	0	0	1.788	1.255	-0.28	1.05	0	0	0	0	-1.293	-1.293	0	0	-0.704	-0.571	-0.821	0	-0.285	0.337	0.337	-0.507	-0.256	-0.299	-0.299	0	0	-0.353	0	0	0
"TCGA.05.4402.01"	0.363	0.363	0	0	-0.438	0	-0.263	-0.263	-0.417	-0.417	0	0	0.491	0	-0.234	0.532	-0.616	-0.616	-0.462	-0.462	0.335	0.335	0.3	0.3	-0.591	0.416	-0.565	-0.659	-0.659	-0.375	0.372	-0.101	-0.668	-0.594	-0.594	0.52	0.169	-0.484	0	0	0
"TCGA.05.4403.01"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.754	0	0	0	0	0	0	0	0	0	0	0	0	0	0
