"1p"	"1q"	"2p"	"2q"	"3p"	"3q"	"4p"	"4q"	"5p"	"5q"	"6p"	"6q"	"7p"	"7q"	"8p"	"8q"	"9p"	"9q"	"10p"	"10q"	"11p"	"11q"	"12p"	"12q"	"13q"	"14q"	"15q"	"16p"	"16q"	"17p"	"17q"	"18p"	"18q"	"19p"	"19q"	"20p"	"20q"	"21q"	"22q"	"Xp"	"Xq"
"TCGA.04.1331.01"	0	0.665	0	0	0	0	-0.856	-0.856	0	-0.808	-0.892	-0.892	0	0	0	0	0	0	0.675	0	-0.866	-0.866	0	0	0	0	-0.866	-0.58	-0.58	-0.813	0.322	0	0	0	0	0.275	0.275	0	-0.81	-0.394	-0.394
"TCGA.04.1332.01"	-0.491	0	0	0	0	0	-0.99	-0.99	-0.633	-0.633	0	-0.62	0	-0.464	-1.07	-0.445	0.503	-0.55	0.605	0.605	0	0.597	0.553	0.553	-0.441	-0.41	0	-0.514	-0.514	0	-0.504	0.315	-0.259	0.015	0.889	0.781	0.781	0.515	-0.612	0.084	-0.401
"TCGA.04.1335.01"	0	0	0	0	0	0.948	0	0	0	0	0.954	-1.016	0	0	0	0.938	0	0	0	0	0	-0.991	-1.019	-1.019	-1.003	-1	0	-1.028	-1.013	-1.011	0	0	-1.003	0.957	-0.985	0	0	-0.975	0	-0.658	0
"TCGA.04.1336.01"	0	0	0.412	0	-0.954	0.834	0	-0.903	-0.931	-0.931	0	0	0	0	0	0.706	-0.933	-0.933	0	0	0	0	-0.896	0	-0.931	0	0	0	-0.933	-0.935	0	0	-0.947	0	0	-0.935	-0.935	0	-0.877	-0.394	-0.394
"TCGA.04.1337.01"	0	0	0	0	0.636	0.636	0	0	0.613	0.613	0	-0.707	0.584	0.584	0	0	-0.693	-0.067	0	0	0	0	-0.696	-0.092	0.589	-0.542	0	-0.701	-0.701	0	0.668	0	0	0	0	0.617	3.011	0	-0.684	0	0
"TCGA.04.1338.01"	0	0.336	0	0	0	0	-0.657	-0.092	-0.675	-0.675	0	0	-0.62	0	-1.293	1.93	-0.569	-0.569	0.703	0.703	-0.62	-0.62	0	0	0	0	-0.512	-0.516	-0.516	-0.529	-0.529	-1.288	-0.586	0	0	0.775	1.14	0	-0.496	0	0
"TCGA.04.1341.01"	-0.461	-0.461	0	0	0.697	0.697	-0.54	-0.54	0.159	-0.561	0	0	-0.125	0.438	-0.747	-0.747	-0.499	-0.499	-0.63	0	-0.506	-0.506	1.387	1.387	-0.56	-0.501	-0.518	-0.513	-1.195	0	0	-0.986	-0.986	-0.535	-0.535	2.077	0.728	0	-1.178	0.481	-0.193
"TCGA.04.1342.01"	1.141	1.141	0.315	-0.296	0	0	0	0	0.76	0	0.322	0.322	0.814	0.814	0.814	0.814	0	0	0	0	0	0	0.708	0.708	-0.519	0	-0.47	0	-0.931	0	0.837	0	0	0.356	0	0.837	0.837	0.91	-0.831	0	0
"TCGA.04.1343.01"	0.408	0.408	0	0	0.414	1.869	-0.612	-0.612	0	0.656	0	0	0	0	0.709	0.709	-0.621	-0.621	1.567	-0.656	0.691	0.691	0	0	-0.62	-0.621	0	-1.293	-1.293	-0.619	-0.619	-1.293	-1.293	-0.696	0.162	1.556	3.23	1.212	0	0	0
"TCGA.04.1346.01"	0.712	1.288	0	0	-0.634	1.175	0	-0.642	0.609	0	1.174	0.692	0.581	0	-0.661	0.361	-1.293	-1.293	1.717	0	0.645	0.645	1.725	1.725	0	-0.651	0	0.704	-0.62	0	0	0.255	0.255	0	0	0.657	0.657	0.341	-0.625	0.011	0.517
"TCGA.04.1347.01"	1.189	1.189	0.634	0.32	-0.882	0.174	0	-0.813	0.332	0.053	0.835	-0.001	-0.474	0.458	0.649	0.382	-0.461	-0.461	0.436	0	-0.873	0	0.524	0.524	-0.896	0	-0.521	-0.506	-0.96	0	0	0.357	-0.906	-0.461	-0.461	1.584	1.584	0	-0.312	-0.498	-0.498
"TCGA.04.1348.01"	0	0	0	0	0	3.657	-1.076	-1.076	0	0	0.159	-1.076	0	0	-1.156	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.945	-1.172	-1.172	-1.1	-1.1	0	1.117	0	0.806	0	-1.19	0	0
"TCGA.04.1349.01"	0	0	-0.243	-0.828	0.55	2.036	0.491	0.491	0.389	0.389	0.512	-0.229	-0.26	0.561	2.364	3.657	-0.762	-0.762	0.651	0.651	-0.783	-0.783	0	0	-0.562	0	0.452	-1.293	-1.293	-0.717	-0.717	0.254	0.254	0.049	-0.636	0.749	0.749	0	-0.695	0	0
"TCGA.04.1350.01"	0	0	0.66	0.66	0	0.765	-0.718	-0.718	0.03	-0.729	0	-0.726	0	0	0.705	0	-0.71	-0.71	0.811	0.811	1.31	1.31	0	0	0.706	1.658	-0.719	-0.712	-0.712	-0.695	-0.695	-0.292	-0.292	-0.614	-0.614	0.821	0.821	-0.707	-0.696	0	0
"TCGA.04.1351.01"	-0.506	-0.506	0	0	-0.55	-0.55	0	0	-0.591	-0.591	-0.094	-0.706	3.657	0.55	0.004	0.578	-0.919	0	0	0	-0.582	0	3.621	0	1.778	-0.554	0	3.022	-0.557	-0.548	-0.548	-0.546	-0.546	0	0	2.099	2.099	-0.57	-0.565	-0.696	0.29
"TCGA.04.1353.01"	0	0	0	0	-1.03	0	-1.024	0	0.998	-0.377	0.336	0	-0.026	0.945	-0.959	0	0	0	0.961	0.961	0	0	0	0	-0.952	-0.389	0	0	0	-1.015	-1.015	0	0	0	-0.927	0	0	0	0	0	0
"TCGA.04.1356.01"	0.707	0.707	0.628	0.628	-0.759	-0.072	0.641	0	-0.058	-0.768	0	0	0	0	-0.751	-0.073	-0.733	-0.733	0.692	0.692	-0.456	-0.456	1.583	-0.659	0	-0.532	0	-0.057	-0.79	0	3.657	0	-0.731	-0.184	-0.792	2.475	0.867	-1.293	-0.052	0	0
"TCGA.04.1357.01"	0	1.066	0	0	0.276	0.276	-0.591	-0.591	0.543	0	1.604	0	0	0.538	-0.345	0.395	-0.367	-0.367	0.406	0.406	-0.433	0.58	-0.037	-0.749	-0.764	-0.048	0	0	0	-0.786	-0.786	0	0	0	0	0.372	0.372	0.271	0	0	0
"TCGA.04.1360.01"	0	0	-0.251	-0.251	-0.688	1.231	-0.277	0	0.548	0.548	-1.293	-1.293	-0.801	1.774	1.737	2.459	-1.293	-1.293	-0.596	0.651	-0.693	0	2.479	-0.645	-0.501	-0.791	0.993	-0.642	-0.642	-0.676	-0.676	0	0	-0.538	0	1.049	1.049	0	-0.56	0	0
"TCGA.04.1361.01"	0	0	0	0	0	1.241	-1.029	-1.029	-1.074	-1.074	0	0	-0.604	-0.604	-1.066	3.657	-0.988	-0.988	0	0	-1.078	0.583	-1.007	-1.038	-1.013	-0.362	0	0	-1.098	-1.033	-1.033	1.205	0	0	0	0	0	0	-1.102	0	0
"TCGA.04.1362.01"	-0.386	-0.386	-0.608	0	0	2.107	-0.612	-0.612	1.225	-0.699	0.691	-0.683	-0.591	0	1.545	2.219	0.532	1.469	0	0	0	0	0.801	0.801	0	-0.608	-0.594	-1.293	-1.293	-0.641	-0.641	-1.293	-1.293	-0.239	-0.495	1.314	0	0	-0.593	0	0
"TCGA.04.1364.01"	0.173	0.54	1.209	0.88	0	0.676	1.454	0	0	-0.423	0.778	0	0.768	0.768	0.423	1.912	-0.426	-0.426	-0.262	-0.262	0	0	-0.816	0	0	-0.476	0	-0.427	-0.427	-0.835	-0.835	-0.845	-0.845	-0.642	-0.642	3.657	3.657	-0.464	0	-1.293	-1.293
"TCGA.04.1365.01"	0	0	0	0	-1.093	0.053	0	0	1.224	0	0	0	0	0	-0.972	2.447	0	0	0	0	-0.959	0	0	0	-1.088	-0.965	0	-1.079	-1.079	-1.293	-1.293	0	0	-1.017	-1.017	0	0	-1.055	-1.027	0	0
"TCGA.04.1367.01"	0	0	0	0	0	0	0	-0.984	1.251	0	-1.293	-1.293	1.226	1.457	-1.091	0	0	0	0	0	-1.011	-0.574	0	0	-1.293	0	-1.051	0	0	-1.103	-1.103	-1.104	0	-1.047	-1.047	0	0	0	-1.129	-0.452	-0.452
"TCGA.04.1371.01"	0	0	0.725	0	0.153	0.415	-0.603	-0.603	-0.655	-0.655	0	0	1.369	0	-1.293	-1.293	-0.65	-0.65	-1.293	0	0.625	0	0.645	0	0.541	0	-0.609	0.739	-0.649	-0.673	-0.673	0.652	0	3.657	3.012	-1.293	1.265	0.557	-1.293	0	0
"TCGA.04.1514.01"	-0.019	0.28	0	0	-0.57	-0.57	-0.582	-0.582	0	0	0	-0.567	0.028	0.573	-0.567	-0.567	0	-0.564	0	0	-0.572	0	0	0	-0.576	0.548	-0.603	0	0	-0.613	0	-0.572	0	0.875	0	0.569	0.569	0.538	-1.277	0	0
"TCGA.04.1516.01"	0.839	0.839	0	0.708	0.783	0.783	-0.909	-0.909	0	0	0	0	0.873	1.784	-0.972	0	2.333	0	0	0	0	0.483	2.168	0	0	0	0	-0.985	-0.985	0	0	0.818	0.818	0	1.477	0.626	0.718	1.432	0	0	0
"TCGA.04.1517.01"	0	0	-0.616	-0.323	0	0	-0.973	-0.973	0.294	0.294	0	-0.311	0.281	0.621	-0.457	-0.457	-0.851	-0.851	0	0	-0.848	-0.848	0.473	0	0	0.294	-0.868	-0.524	-0.524	-0.871	-0.488	-0.673	-0.673	-0.882	1.368	1.247	1.247	0	-0.337	0	0
"TCGA.04.1519.01"	0	0	0	0	0	0	0	0	-0.982	-0.982	-0.978	-0.978	0	0	0	0	-0.951	-0.951	0	0	0	0	0	0	0	0	-0.953	0	0	-0.923	-0.923	-0.955	-0.955	1.172	0.31	0	0	0	-0.919	-0.599	-0.599
"TCGA.04.1525.01"	0.523	0.523	0	0	0	0.418	0	0	0	0	0.857	-0.513	0	0	0	0.479	-0.746	-0.746	0	0	-0.694	0	0.385	0.385	-0.754	-0.691	-0.62	0	-0.658	0	0.71	0.421	0	1.469	1.469	0	0.437	0	-0.7	-0.528	0.308
"TCGA.04.1530.01"	0	0	0	0	-0.56	0.621	0.583	0.583	0.878	0.878	1.815	0.403	0	0	-0.572	0.429	0	0	0.367	0.367	0	0	0.459	0.459	-0.524	-0.383	-0.337	0	0	-0.097	0.425	0	0	-0.215	-0.215	0	0	0	-0.517	0	0
"TCGA.04.1536.01"	0.714	0.714	0	0	-0.27	0	-0.574	-1.185	0	0	0.269	0.269	0	1.719	-0.546	0	-0.44	0	0	-0.357	-1.164	-1.164	0.821	0.339	-0.529	0	-0.625	0	0	-0.153	-0.153	0	0	0	0.442	-0.565	1.082	0	-0.602	-0.294	-0.294
"TCGA.04.1542.01"	-0.013	0.555	0.498	0.498	-0.58	0.687	-0.551	-0.551	0.589	0.062	0	-0.54	0.569	0.569	1.148	1.148	-0.593	-0.593	0.571	0.571	-0.573	0	1.032	-0.538	0	-0.571	0	1.045	1.045	-0.579	-0.579	1.477	0	1.477	1.477	0.906	0.906	0	-0.595	0	0
"TCGA.04.1638.01"	-0.383	0.221	0	0	0	0	-1.007	-0.507	0	0	0	0	-0.423	-0.423	-0.5	-0.482	-0.994	-0.994	0	0	0	0	-0.483	-0.969	-1.015	-0.99	0	-0.976	-0.976	-0.932	-0.932	0	0	-0.823	-0.823	0	0	0	-0.944	-0.313	-0.313
"TCGA.04.1644.01"	0	0	0	0	0	0	-0.984	-0.984	0	-0.792	0	0	0	0	0	0	0	0	0	-0.774	-0.749	0	0	0	0	0	0	-0.939	-0.939	-0.891	-0.891	1.003	0.058	-0.5	-0.847	0	0	-0.959	-0.924	0	0
"TCGA.04.1646.01"	0	0	0.448	0.448	0.411	0.411	0.473	-0.249	0.484	-0.264	-0.754	-0.754	0.452	0.452	-0.773	1.168	-0.757	-0.757	0.435	0.435	0	0.388	1.568	0.851	-0.739	0.449	-0.774	0.409	0.409	-0.771	-0.771	0.465	0.465	-0.706	-0.706	0.385	0.385	0	-0.802	0	0
"TCGA.04.1648.01"	0	0	0	0	0	0	0	0	-1.04	-1.04	0	0	0	0	0	0	0	0	-1.005	-1.005	-0.807	0	0	0	-1.293	-1.005	-0.996	1.028	1.028	-0.961	-0.961	0	0	-0.474	-0.865	0	0	-0.986	-0.292	-0.35	-0.35
"TCGA.04.1649.01"	0.675	0.675	0	0.569	0	0.561	-1.293	-1.293	0.235	-0.615	-0.615	-0.615	0.825	0.825	0	0	-0.018	-0.626	0.231	-0.625	-0.64	-0.041	0	0	0	-0.618	-0.64	-0.607	-0.607	-0.641	-0.641	-0.617	0	-0.268	0.362	0.62	0.62	0	-0.633	0	0
"TCGA.04.1651.01"	0	0	0	0	0	-0.943	-0.963	0	0	0	-0.846	-0.846	0	0.338	0	0	0	0	0	0	0	0	0.709	0	-0.926	0	0	0	-0.872	-0.906	-0.906	-0.683	-0.945	0	0	1.281	0	0	-0.948	-0.305	-0.305
"TCGA.04.1652.01"	0	0	0	0.292	0	0	-0.611	-0.611	0	0	0	-0.291	0.408	0.408	-1.272	0.448	-0.503	0	0	0.335	0	0.55	0.637	0.637	-0.544	0	0	-0.503	-0.503	-0.613	-0.613	0.608	-0.095	0.893	0.893	0	0.816	0	-0.677	-0.521	0
"TCGA.04.1654.01"	0	0	0	0	0	0	-0.968	-0.968	1.773	0	0	0	0	0	-0.979	0.86	0	0	0.941	0	-0.973	0	-0.964	0	0	0	0	0	-0.93	-0.853	-0.853	0	0	-0.857	-0.857	0	0	-0.957	0	-0.358	0.096
"TCGA.04.1655.01"	0.897	0.897	0.917	0.917	1.034	1.034	-0.715	-0.715	0	0	0	-0.851	0	0.464	0	-0.335	-0.642	-0.642	0.344	0.344	0	0	1.261	0.637	-0.353	-0.814	-0.647	0.368	-0.023	-0.606	-0.606	0	0	0	-0.546	0.902	0.902	-0.299	-1.074	-0.196	0.634
"TCGA.09.0364.01"	0	0	1.071	0	0.599	0.599	0	-0.551	-0.597	-0.597	0.612	0.029	0	0	0	0	-0.593	-0.593	-0.611	-0.611	0	0	0.898	0	1.042	0.519	0	0.439	0.439	-0.611	-0.611	0	-0.596	0	0.536	0	0.696	0	-0.602	0	0
"TCGA.09.0365.01"	0	1.21	0.58	0.58	-0.528	0.605	-0.485	0	-0.493	-0.493	-0.959	-0.959	0.407	0.407	0.433	0.433	-0.953	-0.496	0.526	0.526	0	0	0.929	0.929	0	0	-0.528	0.291	0	-0.505	-0.505	0	0	0	0.728	0	0	0.385	-0.992	0	0
