Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2439	0.16	0.18	0.553	0.948	0.09	0.11	-1.81	1
1q	2242	0.42	0.43	10.3	0	0.03	0.05	-3.49	1
2p	1102	0.12	0.13	-1.93	1	0.11	0.13	-2.08	1
2q	1931	0.09	0.10	-2.71	1	0.09	0.10	-2.71	1
3p	1252	0.16	0.18	-0.181	1	0.11	0.13	-1.92	1
3q	1319	0.18	0.20	0.544	0.948	0.10	0.12	-2.15	1
4p	567	0.08	0.10	-3.46	1	0.16	0.17	-1.01	1
4q	1191	0.05	0.06	-4.36	1	0.18	0.19	0.0693	1
5p	355	0.16	0.19	-0.369	1	0.18	0.22	0.528	0.836
5q	1707	0.08	0.10	-2.47	1	0.22	0.24	2.37	0.0414
6p	1407	0.35	0.37	6.79	3.96e-11	0.05	0.07	-3.33	1
6q	1013	0.08	0.12	-2.08	1	0.34	0.37	6.22	2.07e-09
7p	740	0.44	0.45	9.3	0	0.03	0.05	-3.97	1
7q	1491	0.45	0.46	10.4	0	0.02	0.04	-3.87	1
8p	620	0.22	0.28	2.69	0.0165	0.23	0.29	2.99	0.00834
8q	1037	0.40	0.43	8.69	0	0.07	0.12	-2.03	1
9p	541	0.04	0.08	-3.13	1	0.51	0.53	11.7	0
9q	1321	0.06	0.10	-2.46	1	0.39	0.41	8.32	0
10p	518	0.03	0.05	-4.08	1	0.44	0.45	8.9	0
10q	1483	0.01	0.02	-4.42	1	0.48	0.49	11.5	0
11p	977	0.09	0.11	-2.74	1	0.21	0.23	1.3	0.408
11q	1785	0.05	0.07	-3.46	1	0.30	0.31	5.13	1.02e-06
12p	647	0.13	0.15	-1.8	1	0.09	0.10	-3.19	1
12q	1708	0.06	0.07	-3.74	1	0.14	0.15	-1.13	1
13q	857	0.17	0.19	0.0303	1	0.15	0.18	-0.585	1
14q	1564	0.09	0.12	-2.2	1	0.18	0.20	0.682	0.8
15q	1547	0.18	0.21	1.04	0.568	0.12	0.15	-1.19	1
16p	1024	0.11	0.12	-2.55	1	0.08	0.09	-3.49	1
16q	815	0.10	0.13	-2.17	1	0.19	0.21	0.6	0.822
17p	779	0.07	0.09	-3.35	1	0.26	0.27	2.8	0.0134
17q	1882	0.21	0.23	1.94	0.109	0.08	0.10	-2.46	1
18p	176	0.14	0.16	-1.37	1	0.17	0.19	-0.477	1
18q	505	0.12	0.15	-1.47	1	0.20	0.23	1.09	0.525
19p	1111	0.12	0.14	-1.74	1	0.11	0.13	-2.05	1
19q	1925	0.12	0.13	-1.39	1	0.12	0.13	-1.39	1
20p	455	0.33	0.36	5.54	8.91e-08	0.08	0.12	-2.39	1
20q	930	0.42	0.43	8.56	0	0.02	0.04	-4.26	1
21p	13	0.11	0.13	-2.52	1	0.15	0.17	-1.48	1
21q	616	0.13	0.15	-1.47	1	0.14	0.16	-1.16	1
22q	1075	0.26	0.30	3.79	0.000398	0.15	0.20	0.258	1
Xp	886	0.16	0.19	-0.185	1	0.17	0.20	0.123	1
Xq	1336	0.15	0.18	0.0204	1	0.18	0.21	0.963	0.587
