estimate	std_error	t_value	p_values	r_sq	FDR
13q	-64.9035159848283	20.2129223127307	-3.2109912154538	0.00188992751409156	0.0958184300632011	0.0718172455354791
14q	-32.5246363328705	14.6199786024652	-2.22467058381236	0.0288509478228467	0.0400663841670301	0.537834363559221
19p	38.6037867413024	19.1090706223243	2.02018127957533	0.0466294348405095	0.0303865845933315	0.537834363559221
9q	37.5420988754876	19.4157597932169	1.93358896459995	0.0566141435325496	0.0265147912879802	0.537834363559221
3p	33.0749970321888	19.1150624090024	1.73031070077029	0.0873367177366152	0.017984266864887	0.592848368034329
15q	-32.3769885140761	19.6814316596146	-1.64505250807096	0.103787303797721	0.0146480068341218	0.592848368034329
21q	23.9168999064407	16.1921482562696	1.47706774468175	0.143487906255687	0.0085090712573147	0.592848368034329
1p	28.9178620137665	20.1324539309672	1.43638038924236	0.154698447230952	0.00711093454437883	0.592848368034329
9p	19.9460982973398	14.1239595232448	1.41221718063643	0.161669925528449	0.00629728699835697	0.592848368034329
4q	-27.7173208673598	19.7987824667655	-1.3999507754523	0.165300209917943	0.00588902089850618	0.592848368034329
1q	-16.7108988430436	12.5574629594265	-1.33075438064495	0.186958491973156	0.00364668882103258	0.592848368034329
22q	-17.9486432067511	13.4955118914387	-1.32997127868395	0.187215274116104	0.00362190607871415	0.592848368034329
17q	18.4495189481447	15.3016654230913	1.20571966763194	0.231393251259009	-0.000139728561182606	0.676380272910948
8p	-10.4568182743524	9.22032810268694	-1.13410479083767	0.260055225913768	-0.00215194267141006	0.705864184623084
16p	-13.4937277974375	14.7895665100342	-0.912381562250824	0.364242540135421	-0.00764170021670085	0.922747768343068
7q	9.60333596698167	12.0477030843549	0.797109282968017	0.427689613184948	-0.0100445783571899	0.931454489909227
20q	-10.3318972208456	15.2844254532937	-0.675975505420073	0.500958280812412	-0.0122303577056528	0.931454489909227
2q	20.8263924409378	31.8262953852138	0.654376897746432	0.514700221438342	-0.0125832124393792	0.931454489909227
11p	-12.2426478016859	18.9201801015946	-0.647068248607954	0.51939507384313	-0.0127000729981599	0.931454489909227
4p	-13.9057407622086	21.9127507149807	-0.634595854399142	0.527458638345432	-0.0128965281337148	0.931454489909227
17p	-10.118861019462	16.0907656783391	-0.628861374389643	0.531187757909186	-0.0129855950369426	0.931454489909227
10q	12.5175094334263	20.6144924801148	0.607218899301109	0.545383453614988	-0.0133145940399622	0.931454489909227
12q	10.970679473261	20.7560087726464	0.528554386030077	0.598542311633054	-0.0144149263112217	0.931454489909227
18q	8.34499248623585	17.0751839135542	0.488720503889369	0.626344132169218	-0.0149147646596937	0.931454489909227
6p	-8.12739024785255	17.9192726180975	-0.453555812284719	0.65134661360675	-0.0153238488153904	0.931454489909227
8q	-3.13545833931288	7.31906020309669	-0.428396303938895	0.669485814526306	-0.0155979853936277	0.931454489909227
3q	4.78263011160907	11.57806893386	0.413076665800659	0.680628630688638	-0.0157573140444536	0.931454489909227
20p	-7.51731516031194	18.7215854204747	-0.401531974535164	0.689073050469134	-0.0158735804837822	0.931454489909227
12p	4.47188053573275	13.0785206222021	0.341925563671267	0.733281680781015	-0.0164218021459859	0.931454489909227
2p	-6.73165657683951	21.1920171097912	-0.317650582385069	0.751557473341406	-0.016620023249077	0.931454489909227
19q	4.30223670372628	15.1768485600668	0.283473653090688	0.777528244135941	-0.0168744815943185	0.931454489909227
5q	4.45832381339444	16.9342663599923	0.263272333068255	0.793001098665532	-0.0170113338331264	0.931454489909227
11q	3.1744541895808	13.1289253364936	0.241790863168137	0.809545869061428	-0.0171457997240538	0.931454489909227
7p	2.34103666663274	11.0946828042565	0.211005281352848	0.83340664886615	-0.0173186156252303	0.931454489909227
5p	-0.991566533969422	8.57118873455895	-0.115685999302691	0.908184239531774	-0.0177048852605479	0.965570287972032
16q	1.43838745397358	13.3954567592587	0.107378753843492	0.914750799131399	-0.0177278803413072	0.965570287972032
6q	1.01791096386957	17.8189552691507	0.0571251764480179	0.954584452854609	-0.0178304794997373	0.972814650014688
10p	-0.638567697240172	18.6810999204826	-0.0341825534876575	0.972814650014688	-0.0178564814560791	0.972814650014688
