estimate	std_error	t_value	p_values	r_sq	FDR
20q	13.4448832505414	2.48424813882079	5.41205326490586	1.52889454837906e-07	0.100733277657995	5.80979928384043e-06
5p	6.05758484334317	1.49070686039182	4.06356541604093	6.58362358933214e-05	0.0552281702445111	0.00125088848197311
7q	8.71875803359343	2.42223704408354	3.59946523602614	0.000388555929865023	0.0417318188883751	0.00492170844495696
3q	7.19460858146949	2.33838141977309	3.07674724090462	0.00233974332432514	0.0281081944570993	0.0222275615810888
5q	-8.90102123741808	3.21965114604454	-2.76459182491038	0.00614958569158072	0.020834629367199	0.0467368512560134
19q	6.89827162429322	2.60255327270089	2.6505784518041	0.00857913918200823	0.018347078363656	0.0472437824640213
12p	6.71878229198205	2.55276193608907	2.63196587076799	0.00904910578623468	0.017949766538628	0.0472437824640213
4p	-9.09490037240552	3.49974363640967	-2.59873331228793	0.00994605946610974	0.0172465454639643	0.0472437824640213
2q	14.1047223077786	5.7499859622673	2.45300117258319	0.0148916969261382	0.0142570756100794	0.0584890065765703
4q	-9.06786477223614	3.71514337405914	-2.44078461023932	0.0153918438359395	0.0140135084811119	0.0584890065765703
12q	9.28362215911268	3.89958261868257	2.38067071963949	0.0180758869106948	0.0128309965472181	0.0624439729642184
8p	-4.25638289671652	2.13298138671646	-1.99550869183572	0.0471371111223717	0.00589751561434881	0.149267518554177
11q	5.26702147318712	2.80315685524514	1.87896066655411	0.061482382781751	0.00402343831306162	0.179489775625304
2p	8.68593647665386	4.70498127985696	1.84611499175145	0.0661278120724805	0.00351443162194542	0.179489775625304
10p	-5.96023808491857	3.52647075276355	-1.69014249735313	0.0923210860305087	0.00121338351373323	0.233880084610622
21q	-5.42508235154492	3.30257535387359	-1.64268238275982	0.101780361750028	0.000551526045507011	0.241728359156317
20p	4.01097522164034	2.5102399086981	1.59784537236546	0.111415408081352	-5.72081791108126e-05	0.249046206299492
17q	4.35609358525889	2.89706529222283	1.50362285480856	0.134015510182547	-0.0012837832687973	0.282921632607599
22q	-4.22904551665311	2.949755098885	-1.43369377283276	0.152983217707179	-0.00214773124910428	0.305966435414359
7p	3.27376164292851	2.34911519656914	1.3936147736432	0.164744940803365	-0.00262498617352014	0.313015387526394
6q	-4.19422727935754	3.23323413836927	-1.2972234919779	0.195820993726708	-0.00371910915128604	0.354342750553091
1p	4.61114743456528	3.66210031937396	1.25915377308767	0.209218776965845	-0.00413025597094707	0.361377887486459
10q	-4.78796180326205	3.95858389518172	-1.20951378827409	0.227675737341629	-0.00464844533304931	0.364877420951215
18q	-3.51155216099128	2.92067435309589	-1.20230869191872	0.230448897442873	-0.00472197036477962	0.364877420951215
9p	-2.26188126688744	2.2486277157355	-1.00589406199132	0.315496760366737	-0.00656057634714569	0.47955507575744
9q	-3.17715883958295	3.57165078824498	-0.889549126706233	0.374613880974076	-0.00749799250153949	0.537334359897715
16p	2.6351377363333	3.00732177673728	0.876240699188572	0.381790203085218	-0.00759798957927305	0.537334359897715
15q	-2.77680148375157	3.69097912004449	-0.752321103273565	0.452607679890453	-0.00845755556666261	0.599802384052571
17p	2.09507676203986	2.81676172928898	0.743789132128228	0.457743924671699	-0.00851197346036603	0.599802384052571
6p	1.79901218723296	2.89253899728906	0.621949155713724	0.53457567835403	-0.00922190274311374	0.676471853945923
14q	-1.70174335982048	2.94152173253747	-0.578524829851417	0.5634615164784	-0.00944451292794146	0.676471853945923
1q	1.10610577388124	1.99184864581259	0.555316176360377	0.579204405489308	-0.00955692305534028	0.676471853945923
11p	1.58830225443504	3.21474428001693	0.494067992999639	0.621717698516926	-0.00983158440797727	0.676471853945923
13q	-1.06597699206824	2.16202289351636	-0.493046116794126	0.62243844872911	-0.00983589617685743	0.676471853945923
16q	1.1978137037529	2.43380632648863	0.492156541264748	0.623066181265982	-0.00983964246946556	0.676471853945923
3p	-1.34412556749575	3.53010736810368	-0.380760534266069	0.703723458306006	-0.0102554729433038	0.742819205989673
19p	-0.901574166373404	3.34656259281686	-0.269403049059523	0.787854933945097	-0.0105653059804003	0.809148310538208
8q	0.0225576527853271	1.63536339672463	0.0137936637389014	0.989006251192385	-0.0108752741045739	0.989006251192385
