estimate	std_error	t_value	p_values	r_sq	FDR
8p	-3.59989503002655e-16	9.47734192922963e-17	-3.79842265574897	0.000185289244654763	1	0.00537338809498814
9p	-3.7779850375329e-16	1.10115491938149e-16	-3.43092962764493	0.000709990193919575	1	0.0102948578118338
7q	-8.30296912311924e-16	3.74170501116395e-16	-2.21903359520488	0.0274362499944944	1	0.265217083280112
20q	4.41753477155918e-16	2.19722088963999e-16	2.0105100913559	0.0455149988577985	1	0.329983741719039
20p	-4.19294891515663e-16	2.25509286281177e-16	-1.85932428074321	0.0642257400636736	1	0.372509292369307
5q	2.16151138825456e-15	1.28499826302514e-15	1.68211230353412	0.0938696946640503	1	0.425151338696174
14q	-1.95155197876932e-15	1.23029257885688e-15	-1.58625030525877	0.114021482985163	1	0.425151338696174
3q	1.99854030507546e-16	1.27306051572522e-16	1.56987062310778	0.117784967797191	1	0.425151338696174
6q	-1.08744826804153e-15	7.19346050342016e-16	-1.51171785474389	0.131943518905709	1	0.425151338696174
12q	2.63558204474631e-15	2.32975170339839e-15	1.13127164620239	0.259089024923595	1	0.751358172278425
10p	-5.94507791624676e-16	6.01343598896451e-16	-0.988632443607416	0.323855519743082	1	0.821389901530372
16q	1.22587840603117e-15	1.28186067179399e-15	0.95632733962852	0.339885476495326	1	0.821389901530372
9q	5.97469869658379e-16	6.81302437500499e-16	0.876952490952949	0.381404247341431	1	0.827251722615104
19p	-5.61825644287135e-16	7.11259308366467e-16	-0.789902694669075	0.430377538953851	1	0.827251722615104
1p	6.16749614566884e-16	8.11624138173085e-16	0.759895603838433	0.448075415316602	1	0.827251722615104
10q	6.65653518302359e-16	9.20988363152143e-16	0.722759966286779	0.470543005465724	1	0.827251722615104
8q	-2.74370194010786e-16	4.13635941899053e-16	-0.663313233253183	0.507777354125881	1	0.827251722615104
2p	1.18379088484521e-15	1.81509912227541e-15	0.652190764855423	0.514912816756138	1	0.827251722615104
16p	2.52562310765395e-16	4.56778429132678e-16	0.552920835699171	0.580840972310968	1	0.827251722615104
11q	4.7338401511655e-16	8.78058728715615e-16	0.53912568673965	0.590308358919323	1	0.827251722615104
12p	-6.45929163860096e-16	1.31985855525327e-15	-0.489392716582535	0.625018242916905	1	0.827251722615104
11p	-5.3872628731916e-16	1.13303902815228e-15	-0.475470194700792	0.634891653856056	1	0.827251722615104
7p	3.95353420672403e-16	8.86690813340831e-16	0.445875173988562	0.656096193798186	1	0.827251722615104
18q	-1.22884789235939e-16	4.58811126455386e-16	-0.267833062779675	0.789061756537062	1	0.953449622482283
17q	-9.13767238806316e-17	7.44428716055059e-16	-0.122747446343638	0.902411555925898	1	0.964678159642754
21q	6.91917780956411e-17	5.68629713553174e-16	0.121681608341015	0.903254723991675	1	0.964678159642754
19q	1.10745390669953e-16	1.09788589332842e-15	0.100871494335545	0.919738114672662	1	0.964678159642754
3p	7.40759551460562e-17	8.89100813377394e-16	0.0833155858497831	0.933671232727914	1	0.964678159642754
1q	2.09002350009064e-17	4.71460182307475e-16	0.0443308592861735	0.964678159642754	1	0.964678159642754
