estimate	std_error	t_value	p_values	r_sq	FDR
17q	-0.775944851275695	0.31044321181263	-2.49947437003074	0.0131182585266473	0.0196564083062916	0.35292501853175
12q	-0.953944017086819	0.421835556966268	-2.26141206290749	0.0246447750864017	0.0150481758937193	0.35292501853175
20q	-0.587893277039951	0.282009976119847	-2.08465418538992	0.0381761772275629	0.0119000390491639	0.35292501853175
20p	-0.540956510462967	0.270412928332762	-2.00048316401974	0.0465938774771368	0.0104843906481684	0.35292501853175
4q	0.794601363365598	0.403153875739429	1.97096297761794	0.049896724190854	0.0100007888779732	0.35292501853175
5q	0.674352240720142	0.350737186025953	1.92267106992825	0.0557250029260659	0.00922417999920089	0.35292501853175
9q	-0.651479810603714	0.384232148112768	-1.69553696587749	0.0912924154343513	0.00581554215285895	0.495587398072193
2p	-0.764370732446403	0.509610293450872	-1.4999122707479	0.134973694605587	0.00320704635959557	0.641125049376537
8q	-0.242593621346615	0.17599497166409	-1.37841222992233	0.169381344455295	0.00174174599196031	0.682775594846427
8p	-0.305493432236189	0.231553749562779	-1.31931973813001	0.188340793255816	0.00107236920290465	0.682775594846427
17p	-0.392277841354236	0.30363739247561	-1.2919286328865	0.197645566929229	0.000771748365371416	0.682775594846427
6q	-0.383364136856949	0.349706839993256	-1.09624431956876	0.274089251294365	-0.00119690204092304	0.867949295765488
3q	-0.220543221738653	0.257280782014741	-0.857208299864455	0.392199405478773	-0.0031717042876267	0.94789613363344
14q	0.253890483207222	0.317628711101542	0.799331024977953	0.424902252181236	-0.00357814659232858	0.94789613363344
1q	-0.164832329294858	0.215093489483531	-0.766328770297245	0.444246537447349	-0.00379732655693865	0.94789613363344
18q	-0.234826967652436	0.31617624725363	-0.742709073474652	0.458396459212937	-0.00394857627158962	0.94789613363344
16p	-0.22582516120977	0.32513884187943	-0.69454993412787	0.488020580853332	-0.00424242674909614	0.94789613363344
7p	0.17277060458379	0.254617252813611	0.678550265838677	0.498087690211336	-0.00433572925296133	0.94789613363344
4p	0.256641225808687	0.383157689987546	0.669805754954385	0.503636438179742	-0.0043858113141455	0.94789613363344
11p	0.217771595849014	0.347245306284131	0.627140502428632	0.531173387603642	-0.00462091622282323	0.94789613363344
6p	-0.190268085842237	0.312551211131293	-0.608758114081698	0.543270284526979	-0.0047174754021817	0.94789613363344
21q	0.198086025961485	0.358647693696033	0.552313675630019	0.581256147671305	-0.0049961203559945	0.94789613363344
3p	0.184962491012677	0.381357229842467	0.485011103864695	0.628118359533993	-0.00529312697085493	0.94789613363344
1p	0.185181874754466	0.396835898016059	0.466645975528586	0.641183668376475	-0.00536750670462416	0.94789613363344
11q	-0.135260886268344	0.305012741175431	-0.443459790391339	0.657839468423499	-0.00545732654194264	0.94789613363344
16q	0.104634178838791	0.263020895827209	0.397816981459643	0.691124706109972	-0.00562080922907238	0.94789613363344
15q	-0.157915428518771	0.399157986124616	-0.395621368000065	0.692741767409513	-0.0056282275119488	0.94789613363344
2q	-0.226028013218043	0.62898773423135	-0.359352020583134	0.719653081728878	-0.00574484381423179	0.94789613363344
19q	-0.0989601295334753	0.285289623097749	-0.346876021843838	0.728993564536115	-0.00578237348258326	0.94789613363344
5p	0.0535047890877865	0.166575023801009	0.32120535160003	0.748339052868505	-0.00585543164900892	0.94789613363344
7q	-0.0729282818929315	0.268770368030565	-0.27134048454567	0.78636636572784	-0.00598132555597708	0.962490881567502
22q	-0.0667496610023908	0.320078193082283	-0.208541732754757	0.834985874206316	-0.00610976060644131	0.962490881567502
19p	-0.0750135550268228	0.361620616984496	-0.207437163434846	0.835847344519146	-0.0061117190833504	0.962490881567502
10q	-0.0642253425393825	0.429030520698993	-0.149698773026087	0.881130129030504	-0.00619961955252935	0.979626352308193
13q	0.0287252822710737	0.233720603824917	0.122904364446158	0.902287429757546	-0.00623075960747932	0.979626352308193
9p	0.0167005908402885	0.243483358782356	0.0685902762464219	0.945373837569981	-0.00627510474907056	0.9951879808991
12p	-0.00415819256465618	0.279846108827134	-0.0148588543256279	0.988157339436355	-0.00629422327784623	0.9951879808991
10p	0.00231435456313387	0.383336265358212	0.00603740050780532	0.9951879808991	-0.0062950092760079	0.9951879808991
