estimate	std_error	t_value	p_values	r_sq	FDR
20q	13.4474455018354	2.48028893027325	5.421725403723	1.45712029364637e-07	0.100631834420982	5.53705711585619e-06
5p	5.95243951579424	1.49027554872186	3.99418719638752	8.6761046813737e-05	0.052651063604897	0.001648459889461
7q	8.99799453948221	2.41433099781287	3.72691008301407	0.000242660791408916	0.0448275446929558	0.00307370335784628
3q	7.49765313554053	2.33094123907497	3.21657749661505	0.00147896515998016	0.0310881821089279	0.0140501690198116
12p	7.13410163286084	2.54430578213088	2.80394820581903	0.00546826207494969	0.0212177908921082	0.0392627642100096
5q	-8.82152460922106	3.21593726303541	-2.74306489452308	0.0065539752304318	0.0198604121856791	0.0392627642100096
19q	7.0372063494281	2.59723147900779	2.70950294816098	0.00723261445973861	0.0191233228392125	0.0392627642100096
2q	14.6425357360971	5.73604317886806	2.55272411303338	0.011319318173101	0.0157865218035034	0.0537667613222296
4p	-8.50606509373381	3.50099354308087	-2.42961461912566	0.0158621076098079	0.0132909343055101	0.0669733432414113
12q	9.20076020686596	3.8948389602262	2.36229541216554	0.0189748266136284	0.011973360360932	0.0682396148224459
4q	-8.71530491048822	3.7134026605243	-2.34698622994407	0.0197535727117606	0.0116784139127629	0.0682396148224459
2p	10.8246266105235	4.67946140353167	2.31322062029488	0.0215711212183784	0.0110340532991661	0.068308550524865
11q	5.58378835875621	2.79658071587807	1.99664838102233	0.0470121810227515	0.00541153038132358	0.13742022145112
8p	-4.05012158979433	2.13165577104266	-1.89998856513933	0.0586535931438323	0.00384811468714286	0.15920260996183
21q	-5.55463067038377	3.29699640671134	-1.68475484506953	0.0933577872254038	0.000630086845341493	0.229429016466141
10p	-5.78546233024679	3.52272100205413	-1.64232771396692	0.101853869492686	3.90887023568043e-05	0.229429016466141
20p	4.10627772547935	2.50604231639443	1.6385508331668	0.102639296840116	-1.28249523456692e-05	0.229429016466141
17q	4.40598977661529	2.89266036752498	1.52316180153052	0.129057058188527	-0.00154367257165178	0.272453789509112
7p	3.48333893758015	2.34452813529529	1.485731344035	0.138684792488173	-0.00201720153455764	0.277369584976346
10q	-5.08133108802336	3.95146909283301	-1.28593466598022	0.199726120632139	-0.00435205638714442	0.362723622364869
18q	-3.74288153907022	2.91535113502826	-1.28385273873157	0.200452528149007	-0.00437466708919465	0.362723622364869
22q	-3.60700546042704	2.94910348352778	-1.2230854158133	0.222517337749653	-0.00501891539988231	0.376822802075881
1p	4.42051230349686	3.65794892524429	1.20846747558173	0.228076959151191	-0.00516935180781353	0.376822802075881
6q	-3.77897870731683	3.23085832882122	-1.16965162898232	0.243321108220039	-0.00556024632323271	0.385258421348395
9p	-2.15281245398693	2.24592814690897	-0.958540217303835	0.338771369845389	-0.00746716010448223	0.514932482164992
16p	2.69060938582872	3.00289975125029	0.896003732628253	0.3711637792066	-0.0079605776839764	0.537296499260367
9q	-3.12558647625747	3.56683908180399	-0.876290296414675	0.38176330210605	-0.0081093146296376	0.537296499260367
6p	2.32250688256867	2.88690976846994	0.804495834242715	0.421920350531758	-0.00862336968510991	0.563625428142807
15q	-2.91261446368471	3.68536787008614	-0.79031851537161	0.430135195161616	-0.00871974667757769	0.563625428142807
17p	1.90479333502729	2.81339192282773	0.677045142403334	0.49904041446192	-0.00942880406423452	0.632117858318432
11p	1.91523803186929	3.20949399717257	0.596741428261443	0.55125204174055	-0.0098656629518028	0.675728309230352
1q	1.1217648667575	1.98902609966146	0.563976946782362	0.573305366657292	-0.0100281792171739	0.67943045809919
14q	-1.58496116539383	2.9376846999503	-0.539527324161318	0.590031713612454	-0.010143506570095	0.67943045809919
16q	1.15573733131575	2.43049018739104	0.475516147858368	0.634858956299635	-0.0104213471126384	0.709548245276062
13q	-0.969904890469151	2.15919229915686	-0.449198013001384	0.653701052296377	-0.0105254546000966	0.709732571064638
3p	-1.29721665921452	3.52524877254027	-0.36797875637008	0.713218898075208	-0.0108094826066782	0.752842170190497
19p	-0.605312995293474	3.34217046799786	-0.18111374063337	0.856433744581364	-0.0112488931327996	0.874457470606189
8q	0.258291901481238	1.63299360787735	0.158170797629134	0.874457470606189	-0.0112822444671823	0.874457470606189
