estimate	std_error	t_value	p_values	r_sq	FDR
20q	12.8966169632543	2.39382448153278	5.38745303289593	1.72730163286401e-07	0.0999129152070051	6.56374620488322e-06
5p	5.65726983670087	1.43872417473547	3.93214344767721	0.000110701683768276	0.0513656140757139	0.00210333199159724
7q	8.4102745872385	2.33270190758211	3.60537904989151	0.000380267616757283	0.0419821102448326	0.00481672314559225
3q	7.01251412311097	2.25104644805078	3.11522409019291	0.00206557153561917	0.0291380614611044	0.0196229295883822
5q	-8.48800818152299	3.10189336459359	-2.73639586660488	0.00668405161928624	0.0202991537689144	0.0505651018519415
19q	6.70452357968261	2.50588282252827	2.67551360319322	0.00798396345030656	0.0189716200305523	0.0505651018519415
4p	-8.81962011771452	3.37000342764196	-2.61709529591954	0.00944107380919585	0.0177226164387649	0.0512515435356346
12p	6.2687905700316	2.46083117835143	2.5474281312671	0.0114877976635178	0.0162651458783906	0.0513833418065872
4q	-9.02662536259743	3.57503907701751	-2.52490257256934	0.0122296865641879	0.0158014074020487	0.0513833418065872
2q	13.7757178277748	5.53591667956543	2.48842578838384	0.0135219320543651	0.0150582767602351	0.0513833418065872
12q	8.80461925462462	3.75712778412908	2.34344418409649	0.0199377006515136	0.0122011045919675	0.0688756931597744
8p	-4.13867721816572	2.0539803010662	-2.01495467897982	0.0450435895081606	0.00630999462954485	0.131726590494624
2p	9.11739543681486	4.52530544358664	2.01475802030915	0.0450643599060556	0.00630671428349927	0.131726590494624
11q	4.7906824613748	2.7019550067683	1.7730430186196	0.0775113846618708	0.00250233149257462	0.210388044082221
10p	-5.75118265776655	3.39633234517258	-1.69335096606228	0.0917081405098505	0.00134875107863353	0.232327289291621
20p	3.92567071809607	2.41723122549876	1.62403607759372	0.105702955189616	0.000386479089279912	0.236408004484891
21q	-5.16548533440584	3.1811835553751	-1.62376211384532	0.105761475690609	0.000382751936475412	0.236408004484891
17q	4.20185946555297	2.79017646175223	1.50594757111319	0.133417901492135	-0.00116417997918417	0.281660014261174
22q	-3.86833226016451	2.84217623079241	-1.36104588387399	0.174797388689129	-0.00291280957682472	0.34728729678602
6q	-4.04599102972969	3.11395239354295	-1.29931049624246	0.195105249620272	-0.00360580368165531	0.34728729678602
10q	-4.89392344823554	3.81109299033772	-1.28412596088396	0.200357087424012	-0.00377146705542497	0.34728729678602
7p	2.90257059448142	2.26389626777856	1.28211289350707	0.201061066560327	-0.00379328750631891	0.34728729678602
1p	4.30725276172125	3.52774008348315	1.22096658477981	0.223317083626798	-0.00444019540719554	0.368958659905144
18q	-3.30195850091173	2.81335887693067	-1.17367127528149	0.241709815428446	-0.0049194236897081	0.382707207761706
9p	-2.42254893201525	2.16459621016638	-1.11916897970964	0.264205845426055	-0.00544873230642717	0.401592885047604
9q	-3.09511351548227	3.43979006845938	-0.89979721258644	0.369145385135682	-0.0073292193383121	0.539520178275227
16p	2.36542055686665	2.89702623978484	0.816499527820064	0.415037898965229	-0.00793771801337084	0.58412741335847
15q	-2.62705934018205	3.55500013030314	-0.738975877325225	0.460655967399106	-0.00845154308975227	0.622674310918956
17p	1.94039153598311	2.71311486997827	0.715189599030375	0.475198816227624	-0.00859902647748734	0.622674310918956
1q	1.11639144439493	1.91826337151802	0.581980274956446	0.561135491218143	-0.00933644693036251	0.68161924175091
6p	1.61532170216537	2.7861568177107	0.579766972159388	0.562624832792388	-0.00934742834579683	0.68161924175091
11p	1.67143872730913	3.0958695246835	0.539893142777071	0.589779792388288	-0.00953813540270909	0.68161924175091
14q	-1.52083620576197	2.83331341575974	-0.536769493026301	0.591932499415264	-0.00955250427922172	0.68161924175091
13q	-0.988295439145289	2.08236308775547	-0.474602841817827	0.635508945388405	-0.00982120642849993	0.69889966692093
16q	1.08557773870751	2.34418184746255	0.46309450774162	0.643723377427172	-0.00986733958412422	0.69889966692093
3p	-1.29080073012377	3.39991806036196	-0.379656423245197	0.704541883320296	-0.0101680515584799	0.743683099060313
19p	-0.493930474233782	3.22347186091785	-0.153229342629701	0.878348353753675	-0.0106844690073298	0.902087498449721
8q	0.0305074657700607	1.5750482650367	0.0193692259769258	0.984562925456687	-0.0107834134228744	0.984562925456687
