HR	lower_CI	upper_CI	z_scores	p_values	FDR
11q	-0.699328738900121	0.496918754092203	0.31766433109628	-2.20147076785956	0.0277027139223467	0.49386763351189
17p	-0.652179767239717	0.520909077798854	0.310523015827808	-2.10026224787591	0.0357057782678339	0.49386763351189
1q	0.39646320024208	1.48655773200354	0.220812858883799	1.79547152392386	0.0725786057767663	0.49386763351189
9q	-0.687647747431132	0.502757291384965	0.398342235713963	-1.7262737560295	0.0842981744438503	0.49386763351189
7q	-0.458787122212072	0.63204977993824	0.282773997497889	-1.62245159127652	0.104706690236984	0.49386763351189
13q	0.385578666910958	1.47046498472244	0.24023977193495	1.60497432962666	0.108499454099739	0.49386763351189
10p	0.667655869355915	1.94966169807059	0.421511288714892	1.58395726812317	0.113203443706295	0.49386763351189
15q	0.611939964793697	1.84400523633917	0.409915330395088	1.49284478871257	0.135477820177493	0.49386763351189
19q	0.459791636916062	1.58374395683782	0.308748228158418	1.48921222854806	0.136431491676263	0.49386763351189
22q	0.43517862542658	1.54523905328586	0.29240281416767	1.48828466875507	0.136675836387316	0.49386763351189
3q	-0.396871251280326	0.672420593350273	0.270929507447928	-1.4648505990312	0.142961683385021	0.49386763351189
20p	-0.429319853028807	0.650951687010666	0.30625135340595	-1.40185454938945	0.160958685153704	0.509702502986729
6p	0.410883728274818	1.50814999116193	0.304241571468673	1.3505180317448	0.17684987366285	0.516945784552945
2p	-0.65862744382982	0.517561229053554	0.545959490414023	-1.20636687408869	0.227676062803444	0.617977884752205
9p	-0.275445058048573	0.759234144753654	0.248635816847068	-1.10782533884889	0.267937254661292	0.631488889000114
12q	-0.465600148544668	0.62775824391809	0.426800634758473	-1.0909078164988	0.275313447345808	0.631488889000114
5q	0.364916204142129	1.44039330409945	0.345022282229091	1.05765981775006	0.290210560709698	0.631488889000114
21q	0.358298568789693	1.43089277663348	0.349334404108802	1.02566069810318	0.305051545852909	0.631488889000114
4p	-0.370188573945697	0.690604088419728	0.375761642399657	-0.98516860736937	0.324541257897172	0.631488889000114
16p	0.296111153757086	1.34461960804715	0.305468864408363	0.969366073791512	0.332362573157955	0.631488889000114
16q	0.221076228512926	1.24741851579837	0.256744861599327	0.861073624359169	0.389197494824359	0.704262133491698
18q	0.243268926564608	1.27541157005475	0.316379112436522	0.768915889203709	0.441943244197732	0.71226949781457
6q	0.292575087386324	1.33987334037394	0.381027710397536	0.767857768352523	0.442571689692093	0.71226949781457
11p	0.237190378033766	1.2676824336931	0.329795434630029	0.719204552664141	0.472014894711451	0.71226949781457
3p	-0.258777319049449	0.771994912465672	0.370630253302387	-0.698208839520501	0.485046599204021	0.71226949781457
20q	-0.207513064642395	0.812602625341039	0.298776783881671	-0.694542132579414	0.48734228797839	0.71226949781457
8q	0.104029379223039	1.10963305459371	0.166016711804626	0.626619923333164	0.530908405375557	0.747204422380413
19p	0.115609300360536	1.12255720375026	0.338627132296661	0.341405898506841	0.732798035212317	0.880406377201443
8p	-0.075317761504493	0.927448731995824	0.241576693834136	-0.311775777328111	0.755210934006597	0.880406377201443
12p	0.0880636219217685	1.09205759862116	0.29368999634403	0.299852303510571	0.764289817400538	0.880406377201443
1p	-0.118950159829539	0.887852050356771	0.405274045090821	-0.293505496516271	0.769135798793478	0.880406377201443
2q	-0.210579452987206	0.810114686564416	0.721653768881243	-0.291801223893919	0.770438609415135	0.880406377201443
4q	-0.114807518958623	0.891537731503608	0.413198184240167	-0.277850976450305	0.781126757680306	0.880406377201443
17q	-0.0801241223815874	0.92300177409788	0.325546966195552	-0.24612154528099	0.805588145249005	0.880406377201443
7p	-0.0607660513222303	0.941043369877539	0.253970357141277	-0.239264345674908	0.810900610580277	0.880406377201443
14q	0.0577197459292892	1.05941804788131	0.331818628752694	0.173949684941613	0.861905004864446	0.909788616245805
10q	0.0619144796441318	1.06387135818034	0.435570458884676	0.142145727243924	0.886964899739789	0.910936924057081
5p	-0.0155646563432057	0.984555846913006	0.165397639362406	-0.0941044648714828	0.925026173668933	0.925026173668933
