estimate	p_values	FDR
21q	8329.5	0.0223858940233969	0.38428200456525
12p	6128	0.0270925734158098	0.38428200456525
14q	8232.5	0.0303380529919934	0.38428200456525
20p	6268.5	0.0622578842557537	0.493224642120852
2p	7991.5	0.0648979792264279	0.493224642120852
22q	6369.5	0.105764795899283	0.669843707362125
17p	6458	0.133712756262751	0.702869878694443
7q	7859	0.186679181609261	0.702869878694443
3q	6572.5	0.200903656262698	0.702869878694443
16p	7844.5	0.204956739457076	0.702869878694443
3p	6599	0.217309408020653	0.702869878694443
4p	7789.5	0.221958909061403	0.702869878694443
15q	6690	0.295501015845419	0.85395390124549
5q	7650	0.348286352650033	0.85395390124549
17q	7647	0.356411629835825	0.85395390124549
1q	7667.5	0.359559537366522	0.85395390124549
2q	7557.5	0.400966352155322	0.860742349187237
5p	6785.5	0.420904722013381	0.860742349187237
9q	6821	0.430371174593618	0.860742349187237
11p	6843.5	0.45715370364562	0.863226789741195
8q	7563	0.477046383804345	0.863226789741195
13q	6863.5	0.506653947771889	0.875129546151445
19q	6907.5	0.571038004981424	0.908988080461937
18q	6909	0.574097735028592	0.908988080461937
4q	7438.5	0.614193119750597	0.909124846886511
10q	7009	0.674796721249106	0.909124846886511
12q	7027.5	0.705136819593786	0.909124846886511
6p	7381.5	0.721824453758936	0.909124846886511
11q	7024	0.722555661936071	0.909124846886511
20q	7025.5	0.732375277475882	0.909124846886511
7p	7031	0.741916631424831	0.909124846886511
8p	7046.5	0.765578818430746	0.909124846886511
6q	7061.5	0.791054407305129	0.910911135684694
9p	7314	0.82016646757152	0.916656640226993
19p	7284	0.86753369267325	0.941893723473814
10p	7256.5	0.898469583232576	0.94838456007883
1p	7213	0.97590571667975	0.992238812718308
16q	7192.5	0.992238812718308	0.992238812718308
