estimate	p_values	FDR
9p	4639	0.00134145011359179	0.0509751043164879
15q	2689.5	0.0164093707753704	0.311778044732038
5q	4136.5	0.0590012001285081	0.520999806182699
11p	4129	0.0592192679901935	0.520999806182699
4q	4080.5	0.0817679913997738	0.520999806182699
3p	4090.5	0.082263127292005	0.520999806182699
18q	4008	0.158002090965046	0.704533914962524
14q	3949.5	0.179525566232184	0.704533914962524
12q	3091	0.190209362673754	0.704533914962524
6p	3034.5	0.192733067971009	0.704533914962524
2p	3158	0.251643254148339	0.704533914962524
9q	3879	0.258254434842476	0.704533914962524
1q	3112.5	0.275944630174476	0.704533914962524
7q	3125.5	0.281175957607095	0.704533914962524
19q	3119	0.284047789328859	0.704533914962524
16p	3873.5	0.296645858931589	0.704533914962524
1p	3761.5	0.4392694461416	0.848964893509489
8p	3772	0.445506592033003	0.848964893509489
10q	3727	0.473738508095012	0.848964893509489
11q	3733	0.498886104676805	0.848964893509489
22q	3278	0.531341443291099	0.848964893509489
10p	3697.5	0.53854293701747	0.848964893509489
17p	3708.5	0.549235963252343	0.848964893509489
12p	3309.5	0.569459314965762	0.848964893509489
7p	3306.5	0.580301504129806	0.848964893509489
13q	3325.5	0.615898728564567	0.848964893509489
2q	3353	0.618422332763474	0.848964893509489
16q	3355.5	0.683848787321023	0.848964893509489
17q	3631	0.70482661522984	0.848964893509489
19p	3637.5	0.70575437588088	0.848964893509489
4p	3627	0.712230027343946	0.848964893509489
3q	3627	0.714917805060622	0.848964893509489
21q	3604.5	0.767779461415351	0.884109682841919
8q	3590.5	0.805592414700006	0.893757588197516
6q	3582.5	0.823197778602976	0.893757588197516
5p	3553.5	0.886419833910306	0.925496820909199
20q	3463	0.912615549732779	0.925496820909199
20p	3535	0.925496820909199	0.925496820909199
