Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2439	0.17	0.22	-0.569	1	0.24	0.29	1.46	0.182
1q	2242	0.48	0.50	9	0	0.04	0.08	-4.32	1
2p	1102	0.25	0.26	-0.671	1	0.03	0.04	-7.07	1
2q	1931	0.21	0.23	-0.985	1	0.07	0.09	-5.27	1
3p	1252	0.09	0.14	-3.94	1	0.34	0.37	3.08	0.00444
3q	1319	0.25	0.30	0.845	0.473	0.17	0.23	-1.29	1
4p	567	0.16	0.21	-2.45	1	0.26	0.31	0.398	0.729
4q	1191	0.11	0.16	-3.63	1	0.28	0.31	1.12	0.312
5p	355	0.49	0.52	6.89	3.51e-11	0.05	0.09	-5.16	1
5q	1707	0.19	0.24	-0.612	1	0.22	0.27	0.116	0.907
6p	1407	0.24	0.34	1.97	0.072	0.30	0.40	3.81	0.000537
6q	1013	0.06	0.12	-4.14	1	0.50	0.53	8.02	2.11e-14
7p	740	0.46	0.48	6.31	1.32e-09	0.05	0.10	-4.85	1
7q	1491	0.41	0.44	5.66	5.67e-08	0.07	0.12	-4.05	1
8p	620	0.16	0.25	-1.34	1	0.35	0.41	3.58	0.00108
8q	1037	0.47	0.51	7.31	2.47e-12	0.08	0.15	-3.42	1
9p	541	0.10	0.18	-3.18	1	0.41	0.46	5.14	1.31e-06
9q	1321	0.10	0.14	-3.9	1	0.30	0.33	1.73	0.123
10p	518	0.16	0.19	-3.33	1	0.17	0.21	-2.87	1
10q	1483	0.13	0.16	-3.36	1	0.19	0.22	-1.78	1
11p	977	0.21	0.26	-0.817	1	0.18	0.23	-1.64	1
11q	1785	0.23	0.29	0.771	0.492	0.20	0.26	-0.078	1
12p	647	0.28	0.33	0.956	0.429	0.13	0.19	-3.18	1
12q	1708	0.22	0.24	-0.671	1	0.10	0.12	-4.38	1
13q	857	0.06	0.11	-4.74	1	0.42	0.45	5.24	1e-06
14q	1564	0.23	0.28	0.244	0.852	0.17	0.22	-1.44	1
15q	1547	0.14	0.20	-2.08	1	0.29	0.33	2.13	0.053
16p	1024	0.37	0.43	4.68	7.74e-06	0.15	0.24	-1.14	1
16q	815	0.26	0.37	2.21	0.0428	0.30	0.40	3.32	0.00247
17p	779	0.14	0.21	-2.44	1	0.31	0.36	2.25	0.0418
17q	1882	0.35	0.37	3.86	0.000242	0.07	0.11	-4.31	1
18q	505	0.07	0.13	-4.17	1	0.48	0.52	7.08	1.4e-11
19p	1111	0.25	0.35	1.87	0.0836	0.29	0.39	3.11	0.00437
19q	1925	0.33	0.42	5.15	8.36e-07	0.21	0.31	1.58	0.154
20p	455	0.32	0.38	2.28	0.0388	0.16	0.23	-1.97	1
20q	930	0.38	0.43	4.53	1.4e-05	0.10	0.17	-3.2	1
21q	616	0.21	0.28	-0.487	1	0.26	0.33	0.866	0.432
22q	1075	0.28	0.38	2.8	0.00965	0.26	0.36	2.35	0.0356
