estimate	std_error	t_value	p_values	r_sq	FDR
amp22_11q13.3 	7.88234116096688e-16	6.47072031600819e-17	12.1815513204402	8.3049512736503e-27	1	5.14906978966319e-25
del16_5q35.3  	6.66877602368335e-16	1.63775279015265e-16	4.07190637303799	6.36718229039796e-05	1	0.00197382651002337
amp26_12q15   	-9.64916586140588e-16	2.47890225732578e-16	-3.89251566207993	0.000129143797793999	1	0.00266897182107598
amp29_16q22.1 	3.50210325334329e-16	1.15752443826503e-16	3.02551128734048	0.00275696612416168	1	0.0427329749245061
amp12_6p22.2  	-3.21663829234137e-16	1.11370564957814e-16	-2.88823020118448	0.00423424126326026	1	0.0515290553928583
amp9_5p15.33 	3.82213435886755e-16	1.34840896983341e-16	2.83455127070221	0.00498668277995403	1	0.0515290553928583
amp10_5p13.1  	4.7856710723829e-16	1.91453737854111e-16	2.49964880603669	0.0131119722204501	1	0.116134611095416
del36_16q13   	7.95733351997768e-16	4.04946683587542e-16	1.9650323962358	0.0505835652865815	1	0.392022630971007
del3_1p13.1  	-9.16165875271204e-16	5.64107554240036e-16	-1.62409786641744	0.105689760254083	1	0.704095661126857
del25_9p21.3  	7.04977004332902e-16	4.62492801369763e-16	1.52429832906583	0.128773112261244	1	0.704095661126857
del34_15q25.3 	1.00911397527946e-15	6.80673317583827e-16	1.48252318580886	0.139535227466148	1	0.704095661126857
amp6_3q26.33 	1.79615563756531e-16	1.30158319253105e-16	1.37997759027029	0.168899447636514	1	0.704095661126857
amp24_12p12.1 	-6.23749521427805e-16	4.55826320522088e-16	-1.36839294561442	0.172490390670783	1	0.704095661126857
amp7_4p16.3  	-3.79154022134384e-16	2.81177113886916e-16	-1.34845264215519	0.178805495160143	1	0.704095661126857
del12_4p16.3  	-3.79154022134384e-16	2.81177113886916e-16	-1.34845264215519	0.178805495160143	1	0.704095661126857
del4_2p23.3  	9.32512773656715e-16	7.00776870138824e-16	1.33068429252236	0.184577175367546	1	0.704095661126857
del42_19p13.3 	-9.04390197360521e-16	6.92854768016e-16	-1.30530991357721	0.193058487728332	1	0.704095661126857
amp33_19q13.2 	-9.5371988530175e-16	7.79703470562853e-16	-1.22318281411942	0.222480624746698	1	0.766322151905294
amp8_4q12    	-2.91962377848022e-16	2.53544966696501e-16	-1.15152109565443	0.250683172181492	1	0.81801877238171
