estimate	std_error	t_value	p_values	r_sq	FDR
amp10_5p13.1  	7.11518738641602	1.35209027073425	5.26236120503416	3.19238506901287e-07	0.0948246183339865	2.64967960728068e-05
del11_3q27.3  	7.06571027444622	1.62866773637461	4.33833747463702	2.12902127953625e-05	0.0633120943591797	0.000883543831007542
del5_2q37.3  	13.9465980640781	3.35500256335314	4.15695600844469	4.51442951400425e-05	0.0576135383057175	0.00124899216554118
amp34_20q11.21	7.57106446222189	1.88492982310299	4.01662935639606	7.93831325182378e-05	0.0533265571218383	0.00164719999975343
amp16_7q31.2  	5.7851566066443	1.49815888735888	3.86151072189881	0.000145567184166869	0.0487158482021922	0.00241641525717002
del10_3q22.2  	7.95660252072466	2.08836296880085	3.80997108241839	0.000177324738010553	0.0472144508793595	0.00245299220914598
del22_7q36.2  	8.76850009739467	2.38352013207419	3.67880261609712	0.000290287688045358	0.0434638029715165	0.00344198258682353
amp9_5p15.33 	3.98254894681137	1.11352286667117	3.57653090566252	0.00042233309045553	0.0406109549036625	0.00393632012704834
amp35_20q13.32	6.32489126421946	1.76988916322333	3.57360867315586	0.000426829893294399	0.0405303753512053	0.00393632012704834
amp32_19q12   	4.06959343934345	1.23080491766916	3.30644879697933	0.00109216953476019	0.033388437049597	0.00906500713850959
amp33_19q13.2 	4.17176021910986	1.3985076835264	2.98300843695802	0.00315385022433301	0.0253592139380937	0.0237972335108763
del44_19q13.32	5.5143888727969	1.87111423123725	2.94711502950336	0.00352912858168008	0.0245113721947535	0.0244098060232872
del14_4q35.2  	-8.21690573662753	2.9861802898127	-2.75164422076569	0.00639001003730333	0.0200501086635152	0.0407977563920136
del23_8p12    	-7.1891901305583	2.67553509021192	-2.68701021969735	0.00772229811578255	0.0186338028136659	0.0457821959721394
amp6_3q26.33 	2.80658026721654	1.05618911847315	2.65727057600611	0.00841560638395938	0.0179920900336041	0.0465663553245752
del33_15q14   	-7.86337203758607	2.99117203258386	-2.62885984220488	0.00912974711058792	0.0173849507968474	0.0473605631361748
amp5_2q31.2  	5.68651585124515	2.20567401254074	2.57813068427767	0.0105413824707064	0.0163152720687998	0.0514667497099196
del15_5q14.3  	-7.95552661030423	3.36688281955348	-2.3628760003472	0.0189458325581494	0.0119845802280739	0.0873613390181333
del3_1p13.1  	-5.94955572006139	2.70725988217042	-2.19763006841131	0.0289476512192059	0.00889287761669744	0.121885121161459
del2_1p36.11 	6.88224885123122	3.13996474968121	2.19182360309298	0.0293699087136045	0.0087879767581116	0.121885121161459
del40_17q25.3 	5.04752364046515	2.34061901031222	2.15649091895218	0.032056060106545	0.00815516074743716	0.126697761373488
del26_10p14   	-6.6152085508263	3.21893051122444	-2.05509517144251	0.0409707564942096	0.00639199222758746	0.154571490409972
del1_1p36.31 	6.38285105262175	3.25700492439678	1.95973024320923	0.0512043587012111	0.0048058291515044	0.184780946617414
amp2_1q21.3  	2.31554019639095	1.20782364712063	1.91711778611973	0.0564304244903565	0.00411986752027582	0.195155218029149
amp3_2p21    	5.3464355332545	3.03298159983704	1.76276556822559	0.0792343509199328	0.00175415982438287	0.263058045054177
amp11_5q35.3  	-3.45644519945853	1.99526265161632	-1.73232591541696	0.0845220467244883	0.00130979863683034	0.268592244507563
del4_2p23.3  	4.75096167869659	2.76773727160608	1.71655081840181	0.087373380743424	0.0010824042491141	0.268592244507563
del28_12p13.1 	3.6338911973812	2.16335473762202	1.67974818654827	0.0943295840237349	0.00055959779721293	0.27737300380393
del31_14q24.1 	-4.20019982003058	2.54694801231824	-1.64911093580098	0.100455349015774	0.000132611349412115	0.27737300380393
del8_3p13    	-4.78371067185896	2.91559641493084	-1.64073142886356	0.102185238076728	1.71336575320868e-05	0.27737300380393
del20_6q26    	-4.34102626246702	2.65672581784449	-1.63397601412594	0.103597145999058	-7.55534805012559e-05	0.27737300380393
amp24_12p12.1 	2.94973423008244	1.8589533641187	1.58677150649278	0.113903311531549	-0.000713012234836885	0.285543878620403
amp14_7p22.1  	2.83658785985999	1.79333631123928	1.58173781575848	0.115048660881709	-0.000779932743340206	0.285543878620403
del45_21q22.3 	-3.2250401649033	2.06907276975752	-1.55868861262006	0.12041006929776	-0.00108375747349787	0.285543878620403
del46_21q22.3 	-3.2250401649033	2.06907276975752	-1.55868861262006	0.12041006929776	-0.00108375747349787	0.285543878620403
amp25_12q13.2 	2.79445194608784	2.10630050423844	1.32671095148325	0.18588661245279	-0.00390203303317804	0.420269842561594
amp19_8q24.3  	1.65014469008045	1.24793762174992	1.32229741400579	0.187349206925048	-0.0039514008305277	0.420269842561594
del16_5q35.3  	-2.57049397386538	2.00621934067814	-1.28126268237276	0.201358934253328	-0.00440274658763218	0.439810303763847
