estimate	p_values	FDR
del4_2p23.3  	5869.5	0.00177419446155731	0.0856012940033953
amp5_2q31.2  	5849.5	0.00206268178321435	0.0856012940033953
amp3_2p21    	5709	0.00595617585056255	0.164787531865564
amp4_2p16.1  	5664	0.00817685697556987	0.169669782243075
del41_18q21.32	5514.5	0.0218742927159895	0.363113259085425
del5_2q37.3  	5449.5	0.0321305657615055	0.444472826367493
del14_4q35.2  	3661.5	0.0406844948343532	0.482401867321617
del44_19q13.32	5331.5	0.062352288090577	0.549741104088048
amp33_19q13.2 	5325	0.0645225636948026	0.549741104088048
amp32_19q12   	5320	0.0662338679624154	0.549741104088048
del19_6q16.1  	3806.5	0.0878573536324306	0.662923668317431
amp17_8p11.22 	5230	0.103938284067265	0.718906464798586
del35_16p13.2 	3868	0.118118362829005	0.754140316523648
del29_12q24.33	5134.5	0.16084486514206	0.871809650852125
del2_1p36.11 	3955.5	0.174463770655153	0.871809650852125
amp31_17q24.2 	5111.5	0.177546273692181	0.871809650852125
del18_6q15    	3982.5	0.195507300907462	0.871809650852125
amp34_20q11.21	5085	0.198353912626686	0.871809650852125
del31_14q24.1 	3987.5	0.199570883930005	0.871809650852125
del3_1p13.1  	4018	0.225672324526126	0.873960742803705
del30_13q12.11	4040	0.246142968359968	0.873960742803705
amp29_16q22.1 	5029.5	0.247588953596763	0.873960742803705
del13_4q13.1  	4049.5	0.255299741608881	0.873960742803705
del40_17q25.3 	5012	0.264752240349526	0.873960742803705
del20_6q26    	4059.5	0.265253299814873	0.873960742803705
del1_1p36.31 	4070	0.275883809027599	0.873960742803705
amp35_20q13.32	4993	0.284300482598795	0.873960742803705
amp9_5p15.33 	4091	0.29821123714993	0.883983310123007
del10_3q22.2  	4963	0.317089094244219	0.885920385251152
amp7_4p16.3  	4120	0.330885927021515	0.885920385251152
del12_4p16.3  	4120	0.330885927021515	0.885920385251152
amp6_3q26.33 	4913.5	0.376441247081627	0.943739238844782
del9_3p11.1  	4159.5	0.378965581728783	0.943739238844782
amp10_5p13.1  	4179	0.404226914441255	0.943739238844782
amp20_9q34.3  	4883.5	0.415549411542487	0.943739238844782
del43_19p13.2 	4194	0.424330722693802	0.943739238844782
amp11_5q35.3  	4202.5	0.435948202537748	0.943739238844782
amp28_16p13.12	4206	0.440815231798531	0.943739238844782
del6_3p24.1  	4219	0.459070596374681	0.943739238844782
amp25_12q13.2 	4851	0.460496111149029	0.943739238844782
del15_5q14.3  	4224	0.466184443284772	0.943739238844782
del25_9p21.3  	4833.5	0.485793193445363	0.959593445411486
del8_3p13    	4252.5	0.508033464843117	0.959593445411486
amp1_1p34.1  	4253	0.508700139736209	0.959593445411486
del11_3q27.3  	4802.5	0.532367455045342	0.962887936598872
del24_9p24.1  	4271.5	0.536999644101558	0.962887936598872
del39_17p12   	4282	0.553343145305594	0.962887936598872
del16_5q35.3  	4309.5	0.597256040997453	0.962887936598872
amp36_21q22.3 	4340.5	0.648605084592262	0.962887936598872
amp23_12p13.33	4351	0.666398604825162	0.962887936598872
amp18_8q21.3  	4354.5	0.672364288026717	0.962887936598872
amp15_7p11.2  	4355	0.673214706886604	0.962887936598872
del21_7p11.2  	4356	0.674925918983875	0.962887936598872
amp37_22q11.21	4369.5	0.698194975974066	0.962887936598872
del42_19p13.3 	4370	0.699067710399766	0.962887936598872
del38_17p13.1 	4382	0.719994400397479	0.962887936598872
del33_15q14   	4385	0.725254412373824	0.962887936598872
del22_7q36.2  	4677	0.741120144655249	0.962887936598872
amp24_12p12.1 	4662	0.767834524071739	0.962887936598872
del28_12p13.1 	4410	0.769626081263094	0.962887936598872
del45_21q22.3 	4419.5	0.786691765653698	0.962887936598872
del46_21q22.3 	4419.5	0.786691765653698	0.962887936598872
del26_10p14   	4425.5	0.797492420209254	0.962887936598872
amp19_8q24.3  	4639	0.809306287064137	0.962887936598872
amp13_6p21.2  	4638	0.811123779846227	0.962887936598872
del23_8p12    	4637.5	0.812021029945253	0.962887936598872
del32_14q32.33	4433.5	0.812028996689388	0.962887936598872
del37_16q24.3 	4633.5	0.819309171619328	0.962887936598872
amp14_7p22.1  	4619	0.845813641080827	0.962887936598872
amp8_4q12    	4453	0.847640162503525	0.962887936598872
del17_6p22.1  	4456	0.853158768803599	0.962887936598872
del7_3p14.3  	4462.5	0.865113254651841	0.962887936598872
del36_16q13   	4606.5	0.868806191782319	0.962887936598872
amp22_11q13.3 	4600	0.880804887086394	0.962887936598872
amp27_14q13.3 	4474.5	0.887277376826908	0.962887936598872
amp26_12q15   	4596	0.888203810809969	0.962887936598872
amp16_7q31.2  	4483	0.903028117891821	0.962887936598872
del34_15q25.3 	4587	0.904882639213397	0.962887936598872
amp21_10q21.2 	4566.5	0.943025829701062	0.990773972977065
amp12_6p22.2  	4515.5	0.963559988332161	0.993456487761729
amp2_1q21.3  	4547	0.979434901179024	0.993456487761729
amp30_17q12   	4542.5	0.987849512740793	0.993456487761729
del27_10q21.2 	4539.5	0.993456487761729	0.993456487761729
