# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
P.0000012.T03.IM3	-0.704000	1.073000
P.0000082.T01.IM3	-0.673000	0.647000
P.0000208.T01.IM3	-0.427000	0.692000
P.0000235.T01.IM3	-0.681000	0.571000
P.0000299.T01.IM3	-0.399000	0.208000
P.0000302.T02.IM6	-0.345000	0.472000
P.0000363.T01.IM3	-0.399000	0.583000
P.0000458.T01.IM3	-0.100000	0.292000
P.0000563.T01.IM3	-0.476000	0.605000
P.0000604.T01.IM3	-0.276000	0.400000
P.0000670.T01.IM3	-0.100000	0.365000
P.0000681.T02.IM5	-0.290000	1.217000
P.0000689.T02.IM5	-0.384000	0.386000
P.0000731.T01.IM3	-0.565000	1.279000
P.0000826.T01.IM3	-0.270000	0.363000
P.0000894.T01.IM3	-0.437000	0.511000
P.0000913.T02.IM5	-0.382000	0.387000
P.0000978.T02.IM5	-0.551000	1.043000
P.0001093.T01.IM3	-0.100000	0.307000
P.0001121.T01.IM3	-0.584000	0.673000
P.0001171.T01.IM3	-0.871000	1.233000
P.0001340.T01.IM3	-0.261000	0.657000
P.0001365.T02.IM3	-0.437000	0.601000
P.0001385.T01.IM3	-0.392000	0.592000
P.0001633.T01.IM3	-0.556000	0.698000
P.0001665.T01.IM3	-0.241000	0.803000
P.0001830.T01.IM3	-0.292000	0.350000
P.0001836.T01.IM3	-0.528000	1.246000
P.0001867.T01.IM3	-0.612000	1.035000
P.0001955.T01.IM3	-1.033000	0.867000
P.0001977.T01.IM3	-0.225000	0.410000
P.0002028.T01.IM3	-0.431000	1.038000
P.0002151.T01.IM3	-0.387000	0.245000
P.0002160.T01.IM3	-0.478000	0.495000
P.0002225.T02.IM5	-0.496000	1.110000
P.0002247.T01.IM3	-0.372000	0.381000
P.0002252.T01.IM3	-0.730000	2.242000
P.0002295.T01.IM3	-0.716000	1.305000
P.0002320.T01.IM3	-0.388000	0.427000
P.0002351.T01.IM3	-0.257000	0.728000
P.0002444.T01.IM3	-0.445000	0.954000
P.0002485.T01.IM3	-0.345000	0.349000
P.0002546.T01.IM3	-0.289000	0.740000
P.0002559.T01.IM3	-0.338000	0.559000
P.0002637.T01.IM3	-0.698000	1.608000
P.0002639.T01.IM3	-0.324000	0.364000
P.0002731.T02.IM5	-0.541000	1.242000
P.0002751.T01.IM3	-0.216000	0.420000
P.0002758.T01.IM3	-0.934000	1.791000
P.0002766.T01.IM3	-0.367000	0.551000
P.0002794.T02.IM5	-0.402000	0.338000
P.0002806.T01.IM3	-0.512000	0.773000
P.0002826.T01.IM3	-0.447000	0.577000
P.0002874.T01.IM3	-0.770000	1.273000
P.0002890.T01.IM3	-0.458000	1.011000
P.0002905.T01.IM3	-0.416000	0.786000
P.0002912.T01.IM3	-0.325000	1.243000
P.0002917.T01.IM3	-0.608000	0.463000
P.0002921.T01.IM3	-0.420000	0.348000
P.0002965.T01.IM3	-0.351000	0.913000
P.0002969.T01.IM3	-0.269000	0.629000
P.0003017.T01.IM3	-0.370000	0.227000
P.0003034.T01.IM5	-0.739000	1.066000
P.0003119.T01.IM5	-0.356000	0.920000
P.0003132.T01.IM5	-0.594000	0.982000
P.0003157.T01.IM5	-0.100000	0.100000
P.0003229.T01.IM5	-0.285000	0.476000
P.0003275.T01.IM5	-0.204000	0.100000
P.0003322.T01.IM5	-0.238000	0.469000
P.0003347.T01.IM5	-0.619000	1.265000
P.0003368.T01.IM5	-0.263000	0.207000
P.0003495.T01.IM5	-0.417000	0.241000
P.0003562.T02.IM5	-0.732000	2.094000
P.0003584.T01.IM5	-0.301000	0.469000
P.0003735.T01.IM5	-0.257000	0.217000
P.0003738.T02.IM5	-0.100000	0.225000
P.0003782.T01.IM5	-0.239000	0.243000
P.0003869.T01.IM5	-0.517000	1.045000
P.0003913.T01.IM3	-0.765000	1.797000
P.0003964.T01.IM3	-0.476000	0.457000
P.0003970.T02.IM5	-0.100000	0.528000
P.0004020.T01.IM5	-0.341000	0.434000
P.0004054.T01.IM5	-0.720000	0.729000
P.0004232.T01.IM5	-0.568000	1.239000
P.0004279.T01.IM5	-0.735000	1.536000
P.0004436.T01.IM5	-0.564000	0.750000
P.0004442.T01.IM5	-0.341000	0.951000
P.0004463.T01.IM5	-0.601000	0.950000
P.0004472.T01.IM5	-0.495000	1.255000
P.0004495.T01.IM5	-0.100000	0.100000
P.0004517.T01.IM5	-0.876000	0.998000
P.0004588.T01.IM5	-0.100000	0.100000
P.0004701.T01.IM5	-0.631000	0.697000
P.0004752.T01.IM5	-0.255000	0.222000
P.0004759.T01.IM5	-0.698000	1.362000
P.0004827.T01.IM5	-0.264000	0.324000
P.0004890.T01.IM5	-0.602000	1.208000
P.0004961.T02.IM5	-0.472000	0.418000
P.0004996.T02.IM5	-0.863000	0.979000
P.0005048.T01.IM5	-0.300000	0.296000
P.0005115.T01.IM5	-0.860000	0.847000
P.0005289.T01.IM5	-0.562000	0.870000
P.0005295.T01.IM5	-0.355000	0.255000
P.0005320.T01.IM5	-0.250000	0.273000
P.0005510.T01.IM5	-0.373000	0.480000
P.0005629.T02.IM5	-0.282000	0.536000
P.0005721.T01.IM5	-0.346000	0.365000
P.0005752.T01.IM5	-0.269000	0.707000
P.0005792.T01.IM5	-0.994000	0.884000
P.0005848.T01.IM5	-0.477000	0.371000
P.0005898.T01.IM5	-0.462000	0.832000
P.0005975.T01.IM5	-0.495000	0.363000
P.0005981.T01.IM5	-0.452000	0.658000
P.0006047.T02.IM5	-0.310000	0.348000
P.0006071.T01.IM5	-1.012000	1.332000
P.0006084.T01.IM5	-0.697000	1.050000
P.0006114.T02.IM5	-0.548000	0.951000
P.0006294.T01.IM5	-0.291000	0.932000
P.0006312.T02.IM5	-0.453000	0.877000
P.0006330.T01.IM5	-0.473000	0.797000
P.0006343.T01.IM5	-0.255000	0.269000
P.0006364.T01.IM5	-0.265000	0.203000
P.0006415.T01.IM5	-0.763000	0.913000
P.0006540.T01.IM5	-0.227000	0.318000
P.0006642.T01.IM5	-0.523000	0.599000
P.0006724.T01.IM5	-1.053000	1.232000
P.0006768.T02.IM5	-0.599000	1.384000
P.0006895.T01.IM5	-0.312000	0.318000
P.0006954.T01.IM5	-0.322000	0.526000
P.0006993.T01.IM5	-0.468000	0.788000
P.0007084.T02.IM5	-0.711000	1.969000
P.0007088.T02.IM5	-0.679000	1.064000
P.0007101.T02.IM5	-0.709000	1.936000
P.0007121.T01.IM5	-0.260000	0.282000
P.0007123.T01.IM5	-0.276000	0.402000
P.0007278.T01.IM5	-0.360000	1.022000
P.0007418.T01.IM5	-0.818000	1.510000
P.0007420.T01.IM5	-0.847000	0.819000
P.0007493.T02.IM5	-0.719000	1.668000
P.0007582.T01.IM5	-0.686000	1.083000
P.0007583.T01.IM5	-0.656000	1.217000
P.0007597.T01.IM5	-0.746000	1.615000
P.0007619.T01.IM5	-0.307000	0.881000
P.0007633.T01.IM5	-0.411000	0.325000
P.0007757.T02.IM5	-0.219000	0.274000
P.0007861.T01.IM5	-0.478000	0.304000
P.0007879.T01.IM5	-0.397000	0.902000
P.0007977.T01.IM5	-0.336000	0.475000
P.0007978.T01.IM5	-0.575000	0.542000
P.0008176.T01.IM5	-0.379000	0.100000
P.0008239.T01.IM5	-0.241000	0.454000
P.0008295.T01.IM5	-0.849000	3.757000
P.0008322.T01.IM5	-0.660000	0.643000
P.0008370.T01.IM5	-0.660000	0.230000
P.0008406.T01.IM5	-0.643000	1.517000
P.0008442.T02.IM5	-0.348000	0.270000
P.0008715.T01.IM5	-0.654000	1.245000
P.0008786.T01.IM5	-0.787000	2.108000
P.0008848.T01.IM5	-0.831000	3.757000
P.0008851.T01.IM5	-0.369000	0.506000
P.0008935.T01.IM5	-0.433000	0.912000
P.0008944.T01.IM5	-0.444000	0.305000
P.0008976.T01.IM5	-1.004000	0.887000
P.0009080.T01.IM5	-0.775000	1.422000
P.0009202.T01.IM5	-0.855000	0.717000
P.0009256.T01.IM5	-0.490000	0.518000
P.0009274.T01.IM5	-0.977000	1.898000
P.0009293.T01.IM5	-0.409000	0.416000
P.0009319.T01.IM5	-0.224000	0.683000
P.0009379.T01.IM5	-0.277000	0.100000
P.0009419.T01.IM5	-0.215000	0.249000
P.0009426.T01.IM5	-0.566000	0.855000
P.0009469.T01.IM5	-0.480000	1.169000
P.0009473.T01.IM5	-0.442000	0.383000
P.0009501.T01.IM5	-0.468000	0.888000
P.0009505.T01.IM5	-0.488000	1.229000
P.0009521.T01.IM5	-0.589000	0.765000
P.0009586.T01.IM5	-0.703000	0.912000
P.0009655.T01.IM5	-0.290000	0.315000
P.0009680.T01.IM5	-0.479000	0.672000
P.0009763.T01.IM5	-0.216000	0.383000
P.0009764.T01.IM5	-0.401000	0.677000
P.0009833.T01.IM5	-0.842000	1.316000
P.0009959.T01.IM5	-0.594000	1.172000
P.0010024.T01.IM5	-0.398000	0.450000
P.0010025.T01.IM5	-0.543000	0.917000
P.0010065.T01.IM5	-0.431000	0.100000
P.0010213.T01.IM5	-0.854000	1.925000
P.0010256.T01.IM5	-0.218000	0.240000
P.0010636.T01.IM5	-0.512000	1.496000
P.0010648.T01.IM5	-0.679000	1.209000
P.0010715.T01.IM5	-0.425000	2.128000
P.0010736.T01.IM5	-0.370000	1.174000
P.0010760.T01.IM5	-0.100000	0.308000
P.0010840.T02.IM5	-0.434000	0.348000
P.0010891.T01.IM5	-0.233000	0.344000
P.0010986.T01.IM5	-0.649000	0.927000
P.0011033.T01.IM5	-0.585000	1.421000
P.0011036.T01.IM5	-0.859000	0.641000
P.0011149.T01.IM5	-0.662000	0.840000
P.0011180.T01.IM5	-0.285000	0.665000
P.0011192.T01.IM5	-0.299000	0.482000
P.0011244.T01.IM5	-0.100000	0.292000
P.0011254.T01.IM5	-0.428000	0.871000
P.0011499.T01.IM5	-0.436000	0.346000
P.0011541.T01.IM5	-0.380000	1.082000
P.0011559.T01.IM5	-0.229000	0.241000
P.0012076.T01.IM5	-0.246000	0.545000
P.0012192.T02.IM5	-0.840000	1.158000
P.0012373.T01.IM5	-0.437000	0.981000
P.0012427.T01.IM5	-0.100000	0.208000
P.0012629.T01.IM5	-0.100000	0.100000
