estimate	std_error	t_value	p_values	r_sq	FDR
6q	30.5067303462555	22.9445074210123	1.32958750373163	0.18734121219143	-0.00654098684095228	0.986092609713482
20q	-33.0976574016258	28.1828788132109	-1.17438880609	0.243638654993826	-0.0112322747359488	0.986092609713482
9p	25.6154925819282	26.4375412825135	0.968906007869612	0.335441284834349	-0.0166019827360886	0.986092609713482
16q	33.0655674383435	36.1025975391104	0.91587779528947	0.362416637481644	-0.0178285334637884	0.986092609713482
14q	33.2335586300684	38.8479093205819	0.855478691422424	0.394778975162115	-0.0191447834675935	0.986092609713482
10q	27.4107216449661	33.277613346245	0.823698543515265	0.412500181911704	-0.0198025864795703	0.986092609713482
16p	40.2892489582835	51.2785007837085	0.785694752040871	0.434310782685929	-0.020557564207877	0.986092609713482
17p	25.5294746164847	34.4909437419993	0.740179068669487	0.461305391101459	-0.0214162046697879	0.986092609713482
1q	-19.2093779770922	26.2459306343168	-0.731899289254988	0.466316696992621	-0.0215670426549075	0.986092609713482
2p	-30.1046526349168	41.1762065073818	-0.731117681506669	0.466791346939737	-0.0215811963356354	0.986092609713482
10p	19.2804088362996	30.0221264076055	0.64220663701607	0.522530445987877	-0.0230947889388375	0.986092609713482
4q	30.8704301455923	49.9757050202294	0.617708747342263	0.538479082441698	-0.0234781040079626	0.986092609713482
20p	-14.5561108009516	26.5586653467288	-0.548073881383669	0.585130135459828	-0.0244876381536803	0.986092609713482
22q	-11.1102652013955	21.5969861976852	-0.514435907848395	0.60833101725289	-0.024932736789026	0.986092609713482
7p	-7.71996892902469	18.0310908513988	-0.428147636360326	0.669666102197012	-0.0259470763331271	0.986092609713482
19q	15.1424750132282	36.1253203752985	0.419165141123073	0.676191470319198	-0.0260420979246718	0.986092609713482
13q	-11.7086602867513	29.0687919048725	-0.402791430929356	0.688149871813002	-0.0262101674121327	0.986092609713482
12q	19.6990669535646	50.5112987843607	0.389993277299451	0.697552691707257	-0.0263369093243324	0.986092609713482
7q	-6.73017451938492	17.3914858433741	-0.386980996333272	0.699772777913953	-0.0263661498917087	0.986092609713482
2q	-14.3050570820753	37.0033865135436	-0.386587781008624	0.700062775613701	-0.0263699502717378	0.986092609713482
5p	-8.35826383407334	24.6337001094642	-0.339302004852373	0.735249678440211	-0.0267989746523694	0.986092609713482
15q	-10.115304848885	32.2832497099679	-0.313329820874932	0.754825699892111	-0.0270109711271296	0.986092609713482
4p	15.147845917818	49.495216792048	0.30604666267977	0.76034478815953	-0.0270674050052433	0.986092609713482
9q	7.68655127197277	29.6820278387905	0.258963144759519	0.796312647907322	-0.027400336554674	0.986092609713482
12p	9.62064544197336	38.5210936977762	0.249750059472708	0.803405242087977	-0.0274590143412483	0.986092609713482
11p	-6.88667089955675	27.8554378556278	-0.247228958857145	0.805348987984066	-0.0274747018971926	0.986092609713482
6p	4.7303486133386	19.6947113192625	0.240183698895453	0.810787281752397	-0.0275176996428197	0.986092609713482
18q	8.04111276726346	33.5018116619918	0.240020236767858	0.810913571079942	-0.0275186825518203	0.986092609713482
5q	-5.66232357305234	25.193977504569	-0.224749092199732	0.822733584296845	-0.0276075653011401	0.986092609713482
17q	8.04424794536825	36.1912696756374	0.222270398841059	0.8246560643146	-0.0276214424780359	0.986092609713482
Xp	4.80426051449826	29.6487523270881	0.162039213707787	0.871673591041837	-0.0279114324105463	0.986092609713482
11q	4.49471705980746	28.9528378005145	0.155242711984785	0.877011484504773	-0.0279384561213716	0.986092609713482
Xq	4.51713542513422	29.3863289072707	0.153715540290458	0.87821170063763	-0.027944369229248	0.986092609713482
18p	-4.14044371321114	27.5684624296481	-0.150187690872392	0.880985350507055	-0.0279578055903986	0.986092609713482
19p	5.65502221335242	39.9317565840782	0.14161716631337	0.887729758324701	-0.0279891496432199	0.986092609713482
1p	4.29568838027107	31.9863623134623	0.134297496482215	0.893496411680854	-0.028014462749266	0.986092609713482
21q	3.79494248758137	28.4834229184368	0.133233372212613	0.894335245520149	-0.0280180310185014	0.986092609713482
3p	-2.29171613648966	32.9481957880575	-0.0695551328889555	0.944717091737593	-0.0281799119288781	0.986092609713482
21p	1.69675090773589	27.0850612771334	0.062645267454808	0.950201432517207	-0.0281913653924266	0.986092609713482
8q	-0.751191127106469	16.918006058767	-0.0444018712664544	0.964692019728792	-0.0282158521009461	0.986092609713482
3q	1.30756185855512	35.5546965957087	0.036776065717094	0.970752940236377	-0.0282236143400589	0.986092609713482
8p	-0.389545263600497	22.2795243281436	-0.0174844515467694	0.986092609713482	-0.0282367401042971	0.986092609713482
