estimate	std_error	t_value	p_values	r_sq	FDR
20q	-79.1768251128031	51.6792572852805	-1.53208132763461	0.129351509001077	0.00215722578141442	0.966973201965013
18p	-64.2334376048447	50.355053730869	-1.27561054642402	0.205695070321174	-0.00643492703483228	0.966973201965013
9p	60.4405205742308	48.5813923200128	1.24410844745042	0.217004238582516	-0.00739111275292759	0.966973201965013
6q	50.6651120500055	42.4033264027036	1.1948381494612	0.235594743096453	-0.00884214026235575	0.966973201965013
19p	-82.3021280010439	73.0932668638949	-1.12598781710355	0.263455343394189	-0.010778091824976	0.966973201965013
17p	70.3254571636289	63.3504322575896	1.11010224646421	0.270199747456955	-0.0112094677417998	0.966973201965013
3q	68.7534759578913	65.1339466878887	1.05557055044349	0.294264598261662	-0.0126463050367887	0.966973201965013
4q	90.4873455697866	91.8436669278967	0.985232282165139	0.327408163962066	-0.0143982717049722	0.966973201965013
20p	-47.5717856138645	48.7904512159281	-0.975022456819054	0.332416750629927	-0.0146430198641796	0.966973201965013
3p	58.85468180182	60.4204296304121	0.974085787900389	0.332878759040453	-0.0146653517298365	0.966973201965013
22q	-37.9971533237278	39.674823610202	-0.957714486573225	0.341021972528377	-0.0150523629344481	0.966973201965013
18q	-52.104879570958	61.5415409279306	-0.846661925998512	0.399647771781669	-0.0175113160508567	0.966973201965013
2p	-60.6772014563924	75.8942272196834	-0.79949692722684	0.426312231851433	-0.0184672870941855	0.966973201965013
Xq	-42.0927405535449	54.006091581366	-0.779407272791213	0.437983544869325	-0.0188583584250412	0.966973201965013
16q	51.5986147098025	66.6816336439614	0.773805497707317	0.441271032821499	-0.0189656824191191	0.966973201965013
Xp	-39.0570693642617	54.5203668220742	-0.716375762689262	0.47579468416997	-0.020022529295354	0.966973201965013
16p	66.7699670633807	94.642778450385	0.705494578208985	0.482501883560194	-0.0202138244514349	0.966973201965013
7q	-20.7224126402156	32.0231771862588	-0.647106703987749	0.519370312505223	-0.0211914164866374	0.966973201965013
14q	45.713843240188	71.7899348764421	0.636772317997868	0.5260468569198	-0.021355838457199	0.966973201965013
4p	57.5433149241206	91.1160955946805	0.631538418635665	0.529445188621527	-0.0214381208685579	0.966973201965013
5q	-25.1971614161535	46.3968431874345	-0.54307922016077	0.588548491357928	-0.0227277905000378	0.966973201965013
15q	-32.0697729963387	59.4711015116932	-0.539249689028093	0.591175775646711	-0.022779303125769	0.966973201965013
10q	31.8586926877592	61.5276386661888	0.517794821618378	0.605995615442315	-0.0230612514472059	0.966973201965013
7p	-16.2056262061431	33.244218440453	-0.487472016680752	0.627224597822971	-0.0234404631958092	0.966973201965013
1q	-21.9292206123791	48.5034776862235	-0.452116459653524	0.652378823695248	-0.0238540463453543	0.966973201965013
8p	-17.8826541347532	41.0432924773803	-0.43570223184723	0.664197603223393	-0.0240355831452355	0.966973201965013
10p	22.7917451020827	55.4525582554526	0.411013410726485	0.682134857447302	-0.0242961057079856	0.966973201965013
11p	-17.578311407509	51.3569675373175	-0.342277051205098	0.733018156334335	-0.0249419690416801	0.966973201965013
1p	18.9269846838211	58.9627206891558	0.32099917477692	0.749027710124065	-0.0251181515342338	0.966973201965013
13q	-14.3601224925521	53.6418934111123	-0.267703497758662	0.789599772987877	-0.0255100455838986	0.966973201965013
11q	-13.2278130111502	53.386325999576	-0.247775301324449	0.804927658419526	-0.0256384204015376	0.966973201965013
6p	7.52388218123312	36.3267348380955	0.20711694058842	0.836432002466716	-0.0258696331022099	0.966973201965013
2q	-10.925336849165	68.2978014425485	-0.159966157305302	0.873301126510101	-0.02608610230404	0.966973201965013
21q	8.28471503010069	52.5304260464992	0.157712694406232	0.875070916649716	-0.0260950575383549	0.966973201965013
19q	-9.31404697348999	66.6902644631524	-0.139661269129262	0.88927009297251	-0.0261622135490625	0.966973201965013
9q	6.04473037299267	54.7616369539107	0.110382572713817	0.912375686998558	-0.0262538156720706	0.966973201965013
5p	-4.46789641474505	45.4617688983558	-0.0982781031845559	0.92195130604744	-0.0262854221535966	0.966973201965013
12q	-8.19487470492894	93.2412476692276	-0.0878889430351702	0.930179228351448	-0.026309626683253	0.966973201965013
17q	-5.27043246969426	66.7660538840568	-0.0789388044236773	0.937273618801481	-0.0263283132534131	0.966973201965013
21p	3.92922715362644	49.9529834059367	0.0786585081754989	0.937495882532844	-0.0263288661014631	0.966973201965013
8q	2.20040399805401	31.2017410158045	0.0705218339239288	0.943950030489656	-0.0263440577491649	0.966973201965013
12p	-1.62132592375398	71.0722306930251	-0.0228123685994437	0.981855363176679	-0.0263997919443508	0.981855363176679
