estimate	std_error	t_value	p_values	r_sq	FDR
17q	20.1612128432479	6.25085327911641	3.22535371460484	0.00146330795622757	0.0476172794265586	0.0614589341615578
4q	-20.824622467648	7.66110960497549	-2.71822536700473	0.00712263529448645	0.0341646889174808	0.125422252199769
3p	14.7872959696147	5.91136656918439	2.50150211402892	0.0131453110967537	0.0290172245575847	0.125422252199769
22q	10.6939006887792	4.32443422257317	2.47290168803077	0.0142116580322146	0.0283659663852668	0.125422252199769
4p	-16.7091085177807	6.80709129158036	-2.4546620284714	0.0149312204999725	0.0279540928624614	0.125422252199769
10p	11.2616792398935	5.21229928988476	2.16059719781411	0.0318806475065207	0.0216918916420255	0.223164532545645
1q	8.02335500401731	4.04820495054999	1.98195375531253	0.0488139507962491	0.018243155790701	0.292883704777494
10q	9.26699349263984	5.62579739938908	1.64723199837345	0.101034903058167	0.012529069426144	0.530433241055379
21q	-6.56912920361497	4.4072334525588	-1.49053352274793	0.137613590961884	0.0101973107018992	0.642196757822124
5p	6.98285523606861	4.88000905118036	1.43091030422979	0.153971134331758	0.00936860738873202	0.646678764193382
Xq	7.03404344550018	5.57114753473766	1.26258430631049	0.208165997172967	0.00720507027865536	0.698079533673652
9p	6.07483985776452	4.85461121687525	1.25135455474737	0.212224331306166	0.00707004085059104	0.698079533673652
8q	-3.64001445535057	2.93348346400581	-1.24085051100985	0.216072236613273	0.00694479662695746	0.698079533673652
16p	9.70176368872534	8.39020670140752	1.15631998519152	0.248889528786429	0.00597426673428925	0.746668586359286
17p	-6.28925022437909	5.81699886651534	-1.08118470859298	0.280879041811501	0.00516762481885158	0.786461317072202
11q	-5.72525076096329	5.66909244384946	-1.00990605068978	0.31372504603627	0.00445136565570026	0.823528245845209
15q	-5.22051730048954	5.7323114688257	-0.910717662304381	0.363508569036449	0.00353439948151502	0.89807999409005
20p	-4.31809731910621	5.00140826733538	-0.86337629089552	0.388934704402334	0.00312959634718823	0.907514310272114
12p	5.04389238967366	6.24122316084476	0.808157673533814	0.419932090545064	0.0026843529663354	0.928009587283405
1p	4.36252510966219	5.66222885558526	0.770460753340792	0.441909327277812	0.00239707733561323	0.928009587283405
Xp	4.15170239288927	5.95698153982346	0.696947332325007	0.486621494528385	0.00187590038686647	0.969683451714429
16q	4.33222068456492	6.68926215307657	0.647638048177319	0.517940193667019	0.00155530959869166	0.969683451714429
14q	-3.48456014376977	5.8540603997581	-0.595238160493485	0.552337604001308	0.00124019487083915	0.969683451714429
18p	-3.2804206358475	5.53572470678755	-0.592590999300464	0.554104829551102	0.00122497578723735	0.969683451714429
2p	-3.96169038325744	7.31049293099162	-0.541918365923386	0.588460424364183	0.000946643672263714	0.976853835689366
7q	-1.72303554524619	3.48188611236471	-0.494856950986257	0.621228475006115	0.00071029393191524	0.976853835689366
2q	-3.74468125747481	7.86414257627824	-0.476171587830877	0.63445676815462	0.000622375491520333	0.976853835689366
3q	2.89139767273781	6.38690233621954	0.452707356481867	0.651235890459578	0.000516743370944095	0.976853835689366
21p	-1.92502530446699	4.6996009719555	-0.409614628125756	0.682514275689798	0.000336595899754211	0.986088373530525
9q	2.11423511059572	5.56401235352714	0.379983899434635	0.704348838236089	0.000223138992810235	0.986088373530525
12q	2.08713058354979	7.85692227205928	0.26564225930706	0.790780392967799	-0.000135017355493483	0.992295762621414
19p	1.51471780999868	7.02660062211373	0.215569076920587	0.829536947468616	-0.000251976584890068	0.992295762621414
6p	0.522308796540603	3.64535638416347	0.143280585352278	0.886208643334663	-0.000377921495912092	0.992295762621414
6q	0.567835931733025	4.71892024460681	0.120331750124829	0.90433763399483	-0.000407297500604198	0.992295762621414
13q	0.616155018737044	5.5172238936071	0.111678451086785	0.911187106027394	-0.000417046771330476	0.992295762621414
20q	-0.468641690216908	5.02963631654802	-0.093176059007493	0.925854250226087	-0.000435453176167444	0.992295762621414
5q	0.50773828707118	5.46795876138906	0.092857007382074	0.926107404994336	-0.000435741416521029	0.992295762621414
8p	0.32455862140548	3.94719336100003	0.0822251639892433	0.934547501187727	-0.000444781203988498	0.992295762621414
18q	-0.403253967875533	5.7522760897003	-0.07010337500969	0.944179386508727	-0.0004537485419569	0.992295762621414
11p	0.253897348417279	5.64753037148992	0.0449572347054588	0.964184945897235	-0.000467800069527069	0.992295762621414
7p	-0.0657205149453256	3.17245039035642	-0.0207160102944721	0.983492248891233	-0.000475531823359132	0.992295762621414
19q	0.060622336464422	6.27060182087044	0.009667706257899	0.992295762621414	-0.000477162153535993	0.992295762621414
