estimate	std_error	t_value	p_values	r_sq	FDR
7q	-2.61907488039121	1.9153148720677	-1.36743828317051	0.175224494838144	0.0181128678721835	0.999089606610766
17q	-4.8278516189341	3.99301454735519	-1.20907438770336	0.230108946892691	0.0133126387916364	0.999089606610766
16p	6.57535704148588	5.6813143299014	1.15736547208434	0.250483296070675	0.0118639016186195	0.999089606610766
7p	-2.21025809943836	1.9937929680885	-1.10856951289049	0.270856809493506	0.0105511765556898	0.999089606610766
20q	-3.33826069328275	3.14079419727516	-1.06287151707645	0.29096037735812	0.00937008833538411	0.999089606610766
5p	-2.8421422705013	2.72505989951487	-1.04296506326605	0.300029601624071	0.0088702922293552	0.999089606610766
5q	-2.66430629446798	2.78888340509816	-0.95533082867414	0.342218368545233	0.0067769354439382	0.999089606610766
18p	-2.9110599625554	3.05125537175928	-0.95405320364154	0.342860752949335	0.00674771172782573	0.999089606610766
17p	3.51962272283059	3.83116556851718	0.918681967637547	0.36095638911313	0.00595352021791851	0.999089606610766
16q	3.64671776106326	4.017733683995	0.907655421659799	0.366720051395626	0.00571182289443117	0.999089606610766
9p	2.65518637985194	2.9441034222336	0.901865865105217	0.369769565641016	0.00558604021090869	0.999089606610766
4q	4.88744567840217	5.54785205773777	0.880961789812959	0.380913353552204	0.0051383242181765	0.999089606610766
1q	-2.43051556854147	2.9177594361002	-0.8330075257301	0.407260214874067	0.0041494990954325	0.999089606610766
14q	3.32636269315394	4.32654055235933	0.768827346675399	0.444204581807516	0.00290990474553476	0.999089606610766
21p	1.95528498733602	3.00625801118803	0.6504049153663	0.517248912232519	0.00087673661912635	0.999089606610766
22q	-1.42337235935191	2.40197399476279	-0.592584417006762	0.555089974785455	4.77252540653783e-06	0.999089606610766
6q	1.48324766013595	2.57535518042188	0.575939067128199	0.566233732965762	-0.00023147169200266	0.999089606610766
10p	1.918023115806	3.34244299558012	0.573838691742027	0.567647627866681	-0.000260811479525946	0.999089606610766
2q	2.2600475273583	4.11379331280387	0.54938285798756	0.584235825452174	-0.000594661730886958	0.999089606610766
20p	-1.60170992854986	2.95547478164069	-0.541946741856716	0.589324866227429	-0.000693333668756901	0.999089606610766
10q	1.97325221169865	3.71191311136256	0.531599784935244	0.59644043520286	-0.000828424701367458	0.999089606610766
Xp	1.64962176842933	3.29470461738369	0.500688820395465	0.617931418029706	-0.0012166946475769	0.999089606610766
8q	-0.892563153661613	1.88001672990287	-0.474763410061637	0.636217635680114	-0.001524625873631	0.999089606610766
15q	-1.62222904800586	3.59004939424942	-0.451868169447575	0.652556949939066	-0.00178310174858387	0.999089606610766
3p	1.62736553454014	3.66206052162645	0.444385210165062	0.657934739353417	-0.00186483888081312	0.999089606610766
1p	-1.46397919899702	3.55604818957814	-0.411687109102617	0.681642898939792	-0.00220613515683743	0.999089606610766
21q	1.18064101028941	3.16719570093175	0.372771726717765	0.710280164565251	-0.0025786120405018	0.999089606610766
12p	-1.58487998084533	4.28454856158438	-0.369905944130381	0.712406229136494	-0.00260459114053013	0.999089606610766
8p	-0.901841578395923	2.47719056061765	-0.364058216890291	0.716751588991666	-0.00265698451915064	0.999089606610766
Xq	1.12126416231127	3.26813355315892	0.343090067793428	0.732408727679434	-0.00283802935347244	0.999089606610766
4p	1.75755800824123	5.50737931583933	0.319127829671448	0.750441119364753	-0.00303185274320095	0.999089606610766
19q	1.03693258513813	4.02257340565032	0.257778412118371	0.797223755747278	-0.00346443107438965	0.999089606610766
18q	-0.956911044916851	3.72777559994218	-0.256697598678336	0.798055191013409	-0.00347123023257878	0.999089606610766
11p	-0.633152367017231	3.10002174683531	-0.204241266263242	0.838671031774452	-0.00376697117255143	0.999089606610766
9q	-0.498243257120798	3.30380384683162	-0.150808970574515	0.880496781896114	-0.00399913376837091	0.999089606610766
19p	0.638021450544642	4.44345019606661	0.143586947617737	0.88617892577988	-0.00402515938054915	0.999089606610766
3q	-0.51943450361109	3.95601835197135	-0.131302349331177	0.895857749776603	-0.00406649821556448	0.999089606610766
12q	0.618547882068853	5.62551524554942	0.109953996224295	0.91271451312853	-0.00412955440469975	0.999089606610766
6p	-0.156870268637604	2.19226051660616	-0.0715563991821809	0.943129178753746	-0.00421489473691672	0.999089606610766
2p	-0.237461858270201	4.59677851538856	-0.0516583205989269	0.958926583216331	-0.00424491900355695	0.999089606610766
13q	-0.0877754473232205	3.23785680167293	-0.0271091196120437	0.978438568079092	-0.00426860032822485	0.999089606610766
11q	0.0036878351559233	3.22224333783741	0.00114449306562873	0.999089606610766	-0.00427758479056273	0.999089606610766
