estimate	std_error	t_value	p_values	r_sq	FDR
18q	0.456378773053513	0.252865929788722	1.80482508432367	0.0725987549070998	0.0150867890455629	0.974297291662576
3q	0.428820892189271	0.279962341028454	1.53170919565103	0.127166579691169	0.0106730708393191	0.974297291662576
21q	-0.293207600335032	0.20292736701868	-1.44488939388861	0.150046096882067	0.00941415916924582	0.974297291662576
20q	-0.293788636067184	0.22591533939358	-1.30043686655273	0.19494035092395	0.00747605789022221	0.974297291662576
2p	-0.396121127863685	0.321218142137922	-1.2331841695716	0.218947299284406	0.00664098796926371	0.974297291662576
4p	-0.377022299767318	0.311985240707135	-1.20846197375482	0.228289389571909	0.00634482145519499	0.974297291662576
16p	0.428653992301372	0.372847956514525	1.14967504799687	0.251643831329818	0.00566398483412112	0.974297291662576
15q	0.282424935782917	0.250707353199473	1.12651237460198	0.261291836719293	0.00540480543382049	0.974297291662576
8p	-0.196517032067546	0.177537902078686	-1.10690184893842	0.269659308646583	0.00518939361500215	0.974297291662576
16q	0.306144556302781	0.297959864402042	1.02746910869074	0.305434490275387	0.00435467756569397	0.974297291662576
8q	-0.134964370238296	0.131858499003327	-1.02355457750881	0.307275998262947	0.00431511346879354	0.974297291662576
9q	0.248827638272462	0.247211541927777	1.00653730134153	0.315367341190806	0.00414483956799871	0.974297291662576
17q	0.285662773527387	0.290685505877069	0.982721077425145	0.326926136924192	0.00391123433224205	0.974297291662576
11p	-0.205040387082506	0.247648422659614	-0.827949497438666	0.408681061374033	0.00252717717626028	0.974297291662576
7q	-0.113952328487489	0.153061544233322	-0.744486990891612	0.457451426180561	0.00187768544790246	0.974297291662576
7p	-0.0984476653539134	0.141284600018681	-0.696803935750226	0.486730576309712	0.00153723366182201	0.974297291662576
Xq	0.145499549192978	0.246382724713622	0.590542820573548	0.555490177345819	0.000858885162299483	0.974297291662576
20p	-0.130027329353225	0.220275236319045	-0.590294812644732	0.555656081952581	0.000857431932497987	0.974297291662576
21p	-0.112486104652834	0.208085498504127	-0.540576375871784	0.589398118906398	0.000578350417767326	0.974297291662576
22q	0.101495635867785	0.194481838348763	0.521877192901549	0.602330454012585	0.000479700389526605	0.974297291662576
19q	-0.148664966019071	0.286005682507274	-0.519797245690357	0.60377686982904	0.000468940780663729	0.974297291662576
2q	-0.173244448926452	0.344268622710215	-0.503224626056842	0.615357353833	0.00038473740444589	0.974297291662576
3p	0.119319555551247	0.263915382075589	0.452112925790253	0.65167515582547	0.000142147586282282	0.974297291662576
6q	0.0906577902305485	0.2069045787957	0.438162319839548	0.661739145751934	8.04248809350705e-05	0.974297291662576
14q	0.106411461380502	0.267054305074991	0.398463755716728	0.690711315957233	-8.46694980571883e-05	0.974297291662576
10q	0.0947701386066321	0.251050042149444	0.377495011732433	0.706204064667395	-0.000165568652553905	0.974297291662576
5q	-0.0781371235660328	0.240815762322495	-0.324468476699599	0.745920805740679	-0.000350689870954657	0.974297291662576
12p	-0.0884709137588019	0.274849983378154	-0.321888008401582	0.747872049991849	-0.000358986526195482	0.974297291662576
Xp	-0.0627491081390396	0.263029999045712	-0.238562553194301	0.811687848201816	-0.000591341446394056	0.974297291662576
5p	0.0510076241921845	0.217182998345975	0.234860116034169	0.814556390632535	-0.000600064695293057	0.974297291662576
6p	-0.0318970885886356	0.160659565362072	-0.19853837222048	0.842824534194709	-0.000678413683508294	0.974297291662576
12q	0.0671997488081003	0.345808802347437	0.194326310816646	0.846116646425888	-0.000686650408612488	0.974297291662576
19p	0.0620795597272728	0.324043148498489	0.191578066115359	0.848266115415673	-0.000691929483932929	0.974297291662576
17p	-0.0403837682466136	0.255829708768154	-0.157854099279812	0.874730235933921	-0.000750590831697817	0.974297291662576
13q	0.0366893521569795	0.249209436795788	0.147222964863262	0.883103601901231	-0.000766737098937043	0.974297291662576
9p	0.0295465013737487	0.216228330178267	0.136644913038867	0.891448241155674	-0.000781686314504038	0.974297291662576
10p	0.0251131282630765	0.233132224037191	0.107720536561562	0.914324826707618	-0.000816876538266786	0.974297291662576
1p	-0.0203418532538996	0.248326402543039	-0.081915789241839	0.934795191459905	-0.000841241470486365	0.974297291662576
4q	0.0234334485601752	0.341655471545142	0.0685879504700952	0.945385793375258	-0.000851229182076807	0.974297291662576
18p	-0.0121983129183095	0.244073326477508	-0.0499780664047024	0.96018949556878	-0.000862216001092708	0.974297291662576
1q	-0.00772459155804627	0.179677873758496	-0.0429913344167732	0.965751118551092	-0.000865450361108078	0.974297291662576
11q	0.00805070727450287	0.249562512518723	0.0322592812247749	0.974297291662576	-0.000869471696218094	0.974297291662576
