estimate	std_error	t_value	p_values	r_sq	FDR
8q	2.44385129992536	1.22874472594432	1.98890074425117	0.0500470212013128	0.011162262728466	0.999959359909328
9q	3.57227559330556	2.17252375119635	1.64429760150535	0.103943463161956	-0.00345381747434725	0.999959359909328
6q	2.38055956162704	1.70428380472943	1.3968093547688	0.166239899629	-0.0124499821030442	0.999959359909328
12q	-5.08391804883718	3.71733113087227	-1.36762582343431	0.175165978275017	-0.0134238703255609	0.999959359909328
10p	-2.76401045135742	2.21713181278332	-1.24666040847051	0.216071467144851	-0.0172595064133372	0.999959359909328
7q	1.5163895775252	1.28352871730648	1.18142239988786	0.240850048251897	-0.0191917059854874	0.999959359909328
19q	-2.96325515546059	2.66916043805463	-1.11018248030841	0.270165382983934	-0.0211907671096796	0.999959359909328
2p	-2.76987628749729	3.05654733858712	-0.906210825701677	0.367479459692433	-0.0262619623601887	0.999959359909328
9p	-1.68096673501708	1.96837560580773	-0.853986774707711	0.395600264544063	-0.0274022932760172	0.999959359909328
16p	3.08678215183152	3.81217086360417	0.809717681151669	0.420445947338257	-0.0283177647849338	0.999959359909328
11q	-1.64911528911534	2.14552614327043	-0.768629780759323	0.444321237829063	-0.0291252085300027	0.999959359909328
12p	-2.12090877174935	2.85591905444263	-0.742636164162318	0.459824159783207	-0.0296149318755312	0.999959359909328
4q	2.73194684262526	3.7125775542797	0.735862565207829	0.463914107292442	-0.0297398550304557	0.999959359909328
3p	-1.68833852989843	2.44298658297142	-0.691096112302383	0.491457014626399	-0.0305374006152399	0.999959359909328
1p	1.61396605968716	2.3720719295558	0.680403506983615	0.498165652367376	-0.030720667553565	0.999959359909328
3q	1.7891619710167	2.63646604541239	0.678621283262853	0.499288640593943	-0.0307509425762851	0.999959359909328
5q	-1.22979216464043	1.86906660275766	-0.657971290496533	0.512399558794823	-0.0310960640414548	0.999959359909328
16q	1.40762726235496	2.6937939804136	0.522544512531295	0.602700220114809	-0.0330996956204901	0.999959359909328
17p	-1.29277640974901	2.56932732251233	-0.50315753793678	0.616202398619042	-0.033349454459648	0.999959359909328
7p	0.66095313752772	1.34029872722937	0.493138674311826	0.62323268360979	-0.0334748708318302	0.999959359909328
17q	1.29673607722627	2.68817179996104	0.482385864342845	0.630817064789436	-0.0336067012290355	0.999959359909328
10q	-1.05395794053104	2.48200270117619	-0.424640126310735	0.672211159838081	-0.0342654611375031	0.999959359909328
1q	0.813324664599548	1.95594327930607	0.415822213867112	0.678626324157093	-0.0343587408943256	0.999959359909328
11p	-0.753238829789715	2.07042414009423	-0.363808948709143	0.716937025385462	-0.0348694342534699	0.999959359909328
14q	-1.05432753997688	2.89924491931369	-0.363655906733971	0.717050885288934	-0.0348708370492206	0.999959359909328
20p	0.717415035384395	1.97692204136139	0.362894955073875	0.717617111822445	-0.0348778032897534	0.999959359909328
4p	1.26591789198404	3.67989744802132	0.344009013801384	0.731720102296515	-0.0350460505316925	0.999959359909328
19p	-0.938326914742472	2.96786899249972	-0.316161837707047	0.752683051786905	-0.0352778189420917	0.999959359909328
22q	0.386172691105983	1.60796985456523	0.240161648559263	0.810804317345588	-0.0358112517906388	0.999959359909328
13q	-0.398600681711098	2.16323675669332	-0.184261237461771	0.854263445902804	-0.0361108234913228	0.999959359909328
21q	0.356465897666213	2.11788280705149	0.168312380873653	0.866751988969461	-0.0361818502034101	0.999959359909328
18q	0.302722785243065	2.49183607116448	0.121485834781097	0.903603448723978	-0.0363532979579606	0.999959359909328
6p	-0.147128992520239	1.46491819036846	-0.100434954994471	0.920244175943636	-0.0364123328537158	0.999959359909328
Xq	-0.198513894498331	2.18536406714357	-0.0908379054469411	0.927842921172065	-0.0364355316851572	0.999959359909328
5p	-0.143419943011281	1.8329720549314	-0.0782444787553776	0.937824200397884	-0.0364624432095446	0.999959359909328
Xp	-0.167972477683197	2.20494786537103	-0.076179795595726	0.939461616489601	-0.0364664729582744	0.999959359909328
20q	-0.157769399260243	2.1131496297968	-0.0746607798310115	0.940666452845247	-0.0364693689168538	0.999959359909328
21p	0.0903512057386783	2.01406107425558	0.0448602114869199	0.964327797724809	-0.0365143884196759	0.999959359909328
18p	-0.0917898575746494	2.05024004413676	-0.044770297915675	0.964399247331097	-0.0365144902863155	0.999959359909328
15q	-0.0474991431956205	2.40200433667589	-0.0197747949370292	0.984271063273913	-0.0365348834481021	0.999959359909328
8p	0.0130071079381459	1.65670167403413	0.00785120709540489	0.993754777111243	-0.0365390472948666	0.999959359909328
2q	0.000140706211334793	2.7540677943909	5.10903223302503e-05	0.999959359909328	-0.0365398264542227	0.999959359909328
