estimate	std_error	t_value	p_values	r_sq	FDR
7q	-11.9778956318316	6.93538634489398	-1.72706970256243	0.0879203655349727	0.0462857384959457	0.966090286140286
9p	15.9237670644226	10.6398962811713	1.49660923787404	0.138334226396625	0.0378747127359854	0.966090286140286
18p	-15.8837825173504	11.0448455575624	-1.43811721355169	0.154206443203953	0.0359101574441785	0.966090286140286
18q	-15.9066148415653	13.4790775198084	-1.18009669565217	0.241373891561528	0.0281001901667575	0.966090286140286
3q	15.0174644016727	14.3253741017037	1.04831219729799	0.297574837922241	0.024665519292452	0.966090286140286
10q	13.9184285120147	13.4656341867554	1.03362591906029	0.304349915486198	0.0243065168593559	0.966090286140286
4q	19.8526384724488	20.1985426495047	0.982874795322702	0.328560212811196	0.0231029864421449	0.966090286140286
17p	13.4622383221982	13.9571764216532	0.964538808960879	0.337611838042216	0.022682358772025	0.966090286140286
3p	12.4184400138708	13.2935810309655	0.934168151150829	0.352959925406775	0.0220023155017288	0.966090286140286
21q	-10.4588099106744	11.496209577043	-0.909761590599372	0.365614648269755	0.0214709255313348	0.966090286140286
16q	12.1261245889943	14.6568180219908	0.827336777382406	0.410447415513874	0.0197764625461356	0.966090286140286
20q	-9.44734666658281	11.4793502053647	-0.822986188030722	0.412902831844557	0.0196913377971666	0.966090286140286
16p	17.0254734542977	20.7917857625448	0.818855756246204	0.41524217623208	0.0196109224490529	0.966090286140286
9q	9.28951289169554	12.0001373541301	0.774117213624922	0.441087720108617	0.0187650350406732	0.966090286140286
7p	-5.26674927772374	7.2984143353315	-0.72162925201814	0.472575143674767	0.0178315066127945	0.966090286140286
5q	-6.7833808428148	10.194299226465	-0.665409234330179	0.507656150773005	0.0169025125986314	0.966090286140286
Xq	-7.90751230950234	11.8887393926574	-0.665126221404608	0.507836206352097	0.0168980222638629	0.966090286140286
11q	7.70729700828128	11.7140712487345	0.657952034320595	0.512411869529422	0.016784819712191	0.966090286140286
1q	6.05242929187328	10.6590881330435	0.567818674198833	0.571709590800644	0.0154652715156371	0.966090286140286
10p	6.86882681977486	12.1839227386661	0.56376152140036	0.574455041312965	0.0154103624764399	0.966090286140286
21p	-6.17095403911497	10.9647650820609	-0.562798563665632	0.575107600887156	0.015397386839904	0.966090286140286
19q	-7.68993283626218	14.6434596226132	-0.525144537865011	0.60089977666193	0.0149071492693769	0.966090286140286
22q	-4.5418241207017	8.7594802414618	-0.518503837613972	0.605503170068095	0.0148241623124826	0.966090286140286
Xp	-5.83433640830004	12.0101434314749	-0.485784074235951	0.628415838678707	0.0144305032655982	0.966090286140286
20p	-4.55821700994664	10.7801197953876	-0.422835469035968	0.673522117846015	0.013744548152952	0.966090286140286
4p	8.36779585795032	20.0653782400389	0.417026569738567	0.677748724336292	0.013685994059941	0.966090286140286
14q	6.34274492724496	15.8113016732303	0.401152609590878	0.68935121661114	0.0135300806041182	0.966090286140286
2p	6.58636360458938	16.7395569190618	0.393461047770583	0.695000166347539	0.0134566932207922	0.966090286140286
6q	3.33100292229212	9.3988407692018	0.354405719182644	0.723944629145731	0.0131058265534374	0.966090286140286
11p	3.52869140522867	11.2956125515518	0.31239486916926	0.75553348891481	0.0127690842977697	0.966090286140286
8q	-1.92929554701663	6.85869106302704	-0.281292090471436	0.779194975634993	0.0125469872796113	0.966090286140286
17q	-3.18809852103434	14.6793225782382	-0.217182945877941	0.828605248835557	0.0121623811180718	0.966090286140286
13q	2.49748906583486	11.7986916568956	0.211675085548594	0.8328857547335	0.0121339410302495	0.966090286140286
2q	3.08509987110783	15.0183228364128	0.205422396675867	0.837751229541339	0.0121025384623961	0.966090286140286
12p	3.17110465802984	15.6261133691354	0.202936237765521	0.83968758033717	0.0120903134141406	0.966090286140286
12q	3.55186652888471	20.502543697434	0.173240285756798	0.862889486089598	0.0119557789947249	0.966090286140286
6p	1.33153183407657	7.98960061702243	0.16665812196415	0.868049332425785	0.011928830577257	0.966090286140286
15q	2.08251216733221	13.0998534223231	0.15897217321405	0.874081687460259	0.011898682276819	0.966090286140286
19p	1.82083176456123	16.1969906647456	0.11241790541526	0.910766806068309	0.0117464614188635	0.980825791150487
1p	-0.802135669401798	12.9747430229552	-0.0618228559889504	0.950854343396643	0.0116402204388484	0.982002646883422
8p	-0.470274639768843	9.03640796315574	-0.0520422098787815	0.958621631481436	0.0116267975833683	0.982002646883422
5p	0.198961208250643	9.99837760181043	0.0198993492918907	0.98417200552584	0.0115989255031742	0.98417200552584
