estimate	std_error	t_value	p_values	r_sq	FDR
9q	30.3383400107849	15.4111930768624	1.96859126087605	0.0523786307114971	0.000400377789556372	0.917399804132638
3q	34.2658075064325	18.5009485984726	1.85211084307652	0.067608591851825	-0.00480689314989347	0.917399804132638
5q	-17.2815706048552	13.2483928455688	-1.30442769974438	0.195737183495128	-0.0255603129787336	0.917399804132638
19q	-24.4707544771715	19.0163685051525	-1.28682584535218	0.201775903849801	-0.0261194688068223	0.917399804132638
22q	13.1475886192044	11.3969724512972	1.15360361494143	0.252014113093902	-0.0301229272896417	0.917399804132638
17p	19.5276401515149	18.2529741558044	1.06983333153437	0.287833400243963	-0.0324305781573364	0.917399804132638
2p	-23.2145464720315	21.7903788476685	-1.06535763486808	0.289841049167029	-0.0325492572984798	0.917399804132638
20p	14.6741265613516	14.0384279877694	1.04528274633997	0.298963915713871	-0.0330757783400977	0.917399804132638
13q	14.6227513694666	15.369680420245	0.951402434510314	0.344196050074036	-0.0354115732136155	0.917399804132638
18q	-16.702747170863	17.7038985009173	-0.943450233291701	0.34822213859263	-0.035599796420406	0.917399804132638
18p	-13.5932073481768	14.5670305623371	-0.933148817805182	0.353482735412823	-0.0358413753183586	0.917399804132638
21q	13.0907475363396	15.0605254117667	0.869209219361755	0.387269818920726	-0.0372838467807053	0.917399804132638
17q	-15.7352737949627	19.1490100311753	-0.821727795293077	0.41361470163573	-0.0382911804158552	0.917399804132638
12p	-16.4378058770868	20.3864391810029	-0.806310789792286	0.422395975858148	-0.0386064922767861	0.917399804132638
20q	12.1093514312914	15.0344867544702	0.805438298563196	0.42289623707566	-0.0386241637740214	0.917399804132638
8q	-6.62227063987207	8.95578770927823	-0.739440332312854	0.461751259955061	-0.039907035537539	0.917399804132638
21p	10.0610329508084	14.3427880677691	0.701469819066582	0.484995954365841	-0.0405967442888122	0.917399804132638
15q	11.2338134232795	17.1116245543866	0.656501864424072	0.5133394339011	-0.0413676225000887	0.917399804132638
9p	-8.9550140322235	14.0869822256533	-0.635694280632784	0.526745889024684	-0.0417074083628659	0.917399804132638
2q	12.337685720207	19.6238930710558	0.628707345455547	0.531288110066943	-0.0418190986007279	0.917399804132638
19p	12.8402239750365	21.1636924948674	0.606710004794792	0.545719540246645	-0.0421628283798534	0.917399804132638
3p	10.1477389202178	17.4640389838064	0.581064834407854	0.562790498616769	-0.0425483749938826	0.917399804132638
10p	-9.14058985109287	15.9534941041603	-0.57295221920753	0.568244884454118	-0.0426669301119602	0.917399804132638
10q	-10.1132555742174	17.7121947944866	-0.570976984589479	0.569576788965421	-0.0426955472595212	0.917399804132638
11q	-8.1464202782605	15.3533519682862	-0.530595553015897	0.597133158659071	-0.0432592497623969	0.917399804132638
7p	-4.83196796689726	9.57250739738189	-0.504775579303163	0.615070343032511	-0.0435983146745964	0.917399804132638
7q	4.65815831008102	9.23107197906644	0.50461726662347	0.615181064684417	-0.0436003421187159	0.917399804132638
16q	8.99553641578192	19.2470129510064	0.467373115957276	0.641472591798251	-0.044059841610824	0.917399804132638
1p	-7.59741290276902	16.9697319188539	-0.447703766865525	0.655547540854479	-0.0442884535085175	0.917399804132638
8p	-5.13791439327235	11.8195084763519	-0.434697805205022	0.664923630938944	-0.0444342730479454	0.917399804132638
11p	-6.02959559849792	14.7851021201844	-0.407815620716371	0.684471871165139	-0.0447221644532614	0.917399804132638
1q	-4.72950291418467	13.9754357092959	-0.33841541777755	0.735915130860163	-0.0453810574219784	0.917399804132638
16p	8.56661124542818	27.3209785439251	0.313554334507283	0.75465576691566	-0.0455874470513864	0.917399804132638
Xp	3.9479997754905	15.743525486785	0.250769738887546	0.802619429238718	-0.0460388820811826	0.917399804132638
6q	2.96285378485744	12.312595197881	0.240636010300034	0.810437856293498	-0.04610236207867	0.917399804132638
4p	-6.09120444736575	26.2942978010136	-0.231654957795866	0.817383127588403	-0.0461564391395797	0.917399804132638
Xq	3.38559566551925	15.6054324272114	0.216949814195199	0.828786326139595	-0.0462405528381227	0.917399804132638
12q	4.6689308010906	26.8474703517009	0.173905799687187	0.86236810835939	-0.0464551315695583	0.917399804132638
6p	-1.71047395747968	10.462225482958	-0.16349045050366	0.87053456853692	-0.0464999626601641	0.917399804132638
14q	-3.3038494262331	20.7215521438994	-0.159440248649799	0.873714099173941	-0.0465166496018785	0.917399804132638
5p	0.619024073545542	13.0924492782994	0.0472809984126934	0.962404236677019	-0.0468125466712588	0.974559173245806
4q	0.851034139956345	26.6046055878303	0.0319882261417787	0.974559173245806	-0.0468280220212083	0.974559173245806
