estimate	std_error	t_value	p_values	r_sq	FDR
4q	-707.940283926927	223.451264395941	-3.16820889709759	0.00176708147616549	0.0375376139227449	0.0742174219989508
17q	520.725081334155	184.487819837558	2.82254450072994	0.00523134515079403	0.0282228135337037	0.107978916155345
9p	378.227009227906	140.56188680346	2.69082194205859	0.00771277972538178	0.0249132251955125	0.107978916155345
4p	-495.51412960435	199.70896514115	-2.48118119912208	0.0138953213648933	0.0199298695197297	0.119114381551782
22q	312.390297647034	126.928351826162	2.46115460535465	0.0146714613423967	0.0194724198680865	0.119114381551782
3p	417.844661311762	173.675445111218	2.40589371194174	0.0170163402216831	0.0182272134258107	0.119114381551782
10p	331.081645809206	152.961469970387	2.16447740645603	0.0315777845605119	0.0130856462210407	0.189466707363071
21q	-244.951179391573	128.91173851528	-1.90014642741428	0.0588104955097275	0.0080269949839874	0.308755101426069
8q	-147.288028301797	85.7998056921871	-1.71664757412392	0.0875467136305869	0.00487619312001386	0.35901081239254
1q	202.472493156997	119.099210834391	1.70003219785005	0.0906341431358059	0.00460575139586672	0.35901081239254
10q	277.673862257193	165.056510742777	1.68229572409851	0.0940266413409034	0.00431980476581661	0.35901081239254
5p	226.539778725639	143.057583812721	1.58355658391523	0.114828653529268	0.00277993584399638	0.374102537482761
17p	-268.756097866177	170.170483806152	-1.57933439369149	0.115793642554188	0.00271606261880697	0.374102537482761
9q	222.062605338961	162.612271007645	1.36559562179979	0.17355514863386	-0.000303861656892224	0.499211945434877
Xq	220.707095173032	163.408285250266	1.35064813167222	0.178289980512456	-0.000499283335117617	0.499211945434877
Xp	211.958347241741	174.403933096906	1.21533008733219	0.225631255164896	-0.00217366879264125	0.592282044807852
15q	-181.073816415645	168.094134032353	-1.07721674797286	0.282643301978658	-0.00370542658458173	0.698295216653156
12p	168.460763931525	183.078104106332	0.920157900661256	0.358566507185867	-0.00522765433349437	0.817677396611276
16p	221.552362605489	246.546008577851	0.898624820103423	0.369901679419387	-0.00541801844317757	0.817677396611276
18p	-136.844781300925	162.317895841821	-0.843066505952497	0.400169073311247	-0.00588867468873899	0.824130941481937
3q	149.095281575094	187.24442251633	0.796260201353078	0.426797470372711	-0.00626219819768448	0.824130941481937
19p	157.708585501244	205.942966501499	0.765787675007079	0.444679187768785	-0.00649405090298782	0.824130941481937
20p	-106.378402361492	146.856862943864	-0.724367933708043	0.469661761307782	-0.00679485115607892	0.824130941481937
12q	153.889485314091	230.370548266367	0.668008504004405	0.504875898985124	-0.00717755010847831	0.824130941481937
11q	-109.125417368281	166.611225307345	-0.654970378898417	0.513217505536104	-0.00726170966013906	0.824130941481937
6q	87.0116600389291	138.360273934841	0.628877477359624	0.530125985203028	-0.00742519471748415	0.824130941481937
21p	-82.6102008540915	137.857240697379	-0.599244554991749	0.54966827553379	-0.00760286107608765	0.824130941481937
7p	53.4829619657266	93.028746228553	0.574907908941712	0.565980929567436	-0.00774240506741708	0.824130941481937
20q	83.6558816248178	147.494865276248	0.567178263922179	0.571210605321772	-0.0077855235101989	0.824130941481937
11p	89.7051054151431	165.623401398798	0.541620958496955	0.588664958201383	-0.00792396008838381	0.824130941481937
5q	73.090923801698	160.393044966795	0.455698835425374	0.649086544545387	-0.00834281384071223	0.853482269976113
19q	83.5149059037911	183.93404303016	0.454048117074755	0.650272205696086	-0.00835015729104827	0.853482269976113
16q	68.363787170449	196.454639333362	0.347987644386668	0.728204792769113	-0.00876629418389974	0.926806099887962
2p	-33.4751580105296	214.684347749709	-0.155927334067022	0.876242992192302	-0.00924017265789678	0.975962702564806
1p	-25.2597767758281	166.401778224525	-0.151799920922391	0.87949330562206	-0.0092463945523138	0.975962702564806
14q	-25.9802156741534	171.93975160196	-0.151100693307372	0.880044147463928	-0.00924743208211742	0.975962702564806
7q	-14.1788280797465	102.240336983197	-0.138681351197784	0.88983743027727	-0.00926506239220348	0.975962702564806
8p	-15.3100456379083	115.836950684865	-0.132168928372082	0.894979680579276	-0.00927370357258539	0.975962702564806
6p	9.34285619653683	106.985173337907	0.0873285138962941	0.930495219069547	-0.00932192329902115	0.975962702564806
18q	10.7505407939725	168.814843040975	0.0636824381098	0.949284839672574	-0.00933941860164778	0.975962702564806
13q	9.6110363040192	161.919831179399	0.0593567584280068	0.952725495360882	-0.00934202631847514	0.975962702564806
2q	4.48121967520029	230.919102226652	0.0194060154919617	0.984535994676383	-0.00935744389828286	0.984535994676383
