estimate	std_error	t_value	p_values	r_sq	FDR
8q	-2.4556630364807	1.53417603580094	-1.60063967835261	0.113302633600085	0.0491592185484163	0.982974117587151
10q	3.85439789706932	3.04752916745527	1.26476161023515	0.209539537224311	0.0382128369133767	0.982974117587151
18q	-3.38476961929233	3.06346903070516	-1.10488129155763	0.272442467358002	0.0338343385266308	0.982974117587151
10p	3.00661143880253	2.75165313327958	1.0926564116819	0.277744450126063	0.0335223482494387	0.982974117587151
20q	-2.72437905803787	2.59968006096081	-1.04796705523486	0.297732871971304	0.0324097345587334	0.982974117587151
Xp	-2.58460090647385	2.7157650186221	-0.95170270209357	0.344044623885444	0.0301631090999486	0.982974117587151
6p	-1.63517191507519	1.80526984859561	-0.905777004112291	0.367707709618289	0.0291641653096143	0.982974117587151
6q	-1.85226320216746	2.12574245995335	-0.871348828497362	0.386107715735412	0.0284464347337151	0.982974117587151
Xq	-2.3286527478367	2.69426477876858	-0.864299888484239	0.3899444618985	0.0283027865749385	0.982974117587151
4p	3.88324060641559	4.54029626979912	0.855283526814298	0.394886352132821	0.028120684632373	0.982974117587151
4q	3.5802893684653	4.59586706274057	0.779023700988063	0.438208191398641	0.0266543751573446	0.982974117587151
22q	-1.53054307369194	1.98483997069525	-0.771116612064109	0.442854146651821	0.0265099300117608	0.982974117587151
5q	1.69272846959586	2.31322927797363	0.731759919223692	0.466401312774154	0.0258122877465488	0.982974117587151
18p	-1.84011065751759	2.53092083470491	-0.727051843062544	0.469264822544359	0.0257312138806147	0.982974117587151
7q	-1.12609021613337	1.59817281007102	-0.704611046463321	0.48304878347696	0.0253517919541997	0.982974117587151
20p	-1.5649818669763	2.44409929877102	-0.640310263892807	0.523756142822207	0.0243290145549511	0.982974117587151
7p	-0.997101865149495	1.65864563051424	-0.601154247059003	0.549395492716997	0.0237531603305809	0.982974117587151
11q	1.56280841476663	2.66100125342519	0.587300893885342	0.558615349543185	0.0235579690036491	0.982974117587151
21p	-1.36398357642414	2.48970834341383	-0.54784873900285	0.585284020961193	0.0230266323905276	0.982974117587151
21q	-1.33749163162212	2.61909531124141	-0.510669323823947	0.610954712043496	0.0225592302331711	0.982974117587151
12p	-1.78035432982578	3.54321724314248	-0.502468295804178	0.616684906571803	0.0224604936223721	0.982974117587151
8p	-0.888974822126489	2.04932388877456	-0.433789322905942	0.665580583192241	0.0216957001948248	0.982974117587151
5p	0.919034806707574	2.26778273334298	0.4052569909785	0.686343992349216	0.0214106545846252	0.982974117587151
9p	0.946152630878799	2.44623838750396	0.386778588592183	0.699922048777132	0.0212363117296746	0.982974117587151
19q	-1.22184418358073	3.32752513592839	-0.36719307403213	0.71442095090262	0.0210603409769017	0.982974117587151
3q	1.18348496195098	3.2715676889694	0.361748578805592	0.718470432309328	0.0210130367520303	0.982974117587151
2q	-1.17894748050845	3.40817471497204	-0.345917559721736	0.730290609523356	0.0208794796277991	0.982974117587151
9q	0.839703558942944	2.73289433723219	0.30725796731438	0.759426005853468	0.0205783109825932	0.982974117587151
11p	0.782597996477852	2.56464324837809	0.305148872839439	0.76102598980696	0.0205629011101308	0.982974117587151
16q	-0.862576171281386	3.34020865181596	-0.258240206285446	0.796868583612505	0.0202474942353298	0.982974117587151
16p	-1.20514351512295	4.73799163978497	-0.254357459182357	0.799856183911645	0.0202237326322494	0.982974117587151
3p	0.715016035979849	3.03318542513708	0.235731066770352	0.814229125604042	0.0201147337268773	0.982974117587151
17p	0.583558360697954	3.18613280529227	0.183155692609123	0.855127967937273	0.0198516689223174	0.982974117587151
1p	-0.439240803440218	2.94547501629992	-0.149123927722867	0.881821991023691	0.0197165399829967	0.982974117587151
13q	-0.390008225153541	2.67917882716529	-0.1455700609452	0.884618045105538	0.0197040230471547	0.982974117587151
17q	-0.40970444015674	3.33346750675458	-0.122906384815979	0.902481970453919	0.0196312953368188	0.982974117587151
14q	-0.317354618812407	3.59317224724445	-0.0883215712956098	0.929836440976046	0.0195439637986915	0.982974117587151
12q	-0.390030449104214	4.65558179324457	-0.0837769512867678	0.933437960974351	0.0195346129329869	0.982974117587151
1q	-0.12582213082542	2.42476912958592	-0.0518903549580023	0.958742260376131	0.0194828894788956	0.982974117587151
2p	0.105429490219207	3.80414304123481	0.0277143864140779	0.977957288185218	0.0194598771764095	0.982974117587151
19p	-0.0844963353946026	3.67766135679007	-0.0229755616945527	0.981725584720734	0.0194570048009142	0.982974117587151
15q	-0.0636743687142074	2.9746609693705	-0.0214055885258354	0.982974117587151	0.0194561716164829	0.982974117587151
