HR	lower_CI	upper_CI	z_scores	p_values	FDR
18q	-0.600441529467441	0.548569373071684	0.304051434072098	-1.97480249122937	0.0482905662329835	0.529302918670091
8p	0.401144698647382	1.49353336512289	0.214931178949546	1.86638672252176	0.0619872793932202	0.529302918670091
21q	0.300889441924289	1.351059962691	0.175849083475065	1.71106630741669	0.0870688730241428	0.529302918670091
20q	0.405478668365483	1.50002034052389	0.239373995845188	1.69391276998911	0.090281859991854	0.529302918670091
22q	-0.397267288031453	0.672154342809071	0.237789044695636	-1.67067111329685	0.0947866575978729	0.529302918670091
8q	0.186827044654062	1.20541878339702	0.117088172980709	1.59560987158663	0.11057592217689	0.529302918670091
9q	-0.438244761286463	0.645167851417034	0.275367559078007	-1.59149016229002	0.111499307659708	0.529302918670091
10p	-0.425161086238721	0.653664480295979	0.270755615255359	-1.57027615415376	0.116350879304693	0.529302918670091
14q	-0.460506885761116	0.630963737900948	0.316980074900751	-1.45279442534457	0.146280840224349	0.529302918670091
3q	-0.492105182241691	0.611338060542942	0.355826899579354	-1.38299038893192	0.166667812887957	0.529302918670091
10q	-0.389039386535152	0.677707576934999	0.283125304114655	-1.37408907251047	0.169414031467835	0.529302918670091
9p	-0.333351668496855	0.716518172975482	0.242796990766386	-1.37296458018131	0.169763358197549	0.529302918670091
4p	0.508514577369931	1.6628193700261	0.376116625162457	1.35201302827358	0.176371147560778	0.529302918670091
15q	-0.393083275377523	0.674972536652865	0.290781723307949	-1.35181561930986	0.176434306223364	0.529302918670091
7p	0.158361856124977	1.17159006505401	0.151841135384732	1.04294436236744	0.296974061779322	0.792551665616567
7q	0.16841759573951	1.1834307030948	0.168525443897707	0.999360048217629	0.317620306152058	0.792551665616567
2q	-0.379462117830114	0.684229345015228	0.382204021844552	-0.992826072312882	0.320794721797182	0.792551665616567
17p	-0.264173062721842	0.767840643565642	0.297412540914023	-0.888237805675482	0.374412846681974	0.866247985268848
Xq	-0.240580132190095	0.786171645268254	0.280978147257468	-0.856223640657878	0.391874088574003	0.866247985268848
12q	-0.273472936728973	0.760732923998579	0.371750114880341	-0.735636455195176	0.461951970728832	0.867511557448002
5p	-0.187992645119156	0.828620801617529	0.262078533522914	-0.717314167597476	0.473180267316289	0.867511557448002
13q	0.195018185981393	1.21533308831369	0.281293497747432	0.693290771180554	0.488127093504112	0.867511557448002
11q	-0.18852031986989	0.828183674683149	0.274614443661708	-0.686490911971567	0.492403593249442	0.867511557448002
Xp	-0.196190587574647	0.821855584288332	0.298877535122519	-0.656424670707426	0.511550921142479	0.867511557448002
4q	0.245215950425656	1.27789724586412	0.386801634485735	0.633957896149219	0.526108300044794	0.867511557448002
2p	0.21988934356685	1.24593885180967	0.35620631016051	0.617308950725116	0.537030964134478	0.867511557448002
5q	0.15815319526655	1.17134562556867	0.285136461957788	0.554657914251469	0.579128667786683	0.886990534412164
6q	-0.114398516854892	0.891902446890945	0.224054530767202	-0.510583367643457	0.609642824714104	0.886990534412164
17q	-0.160141179700977	0.852023492052836	0.316118902173164	-0.506585270922062	0.612445845189352	0.886990534412164
16p	-0.180113820656983	0.835175145817368	0.41939128251576	-0.429464865308006	0.667584957494019	0.918659711160048
20p	0.103110914909703	1.1086143641192	0.254569602996118	0.405040168567475	0.68544798489905	0.918659711160048
19p	-0.133188948220524	0.87529969016418	0.345574317380515	-0.385413329410903	0.699931208502893	0.918659711160048
1q	-0.0597758329219865	0.941975669851935	0.212524368580512	-0.281265782936987	0.778506552621686	0.939894841892496
3p	-0.0729670252490476	0.929631483887047	0.308544124047055	-0.236488137553771	0.813053911126184	0.939894841892496
18p	-0.0695301390969833	0.932832018246209	0.314943723960739	-0.220770041779435	0.82527149123178	0.939894841892496
21p	-0.0401877568037436	0.960609061332269	0.242483245306081	-0.165734159294245	0.86836616256709	0.939894841892496
11p	-0.0421904228585585	0.958687207231503	0.255075600132605	-0.165403601272036	0.868626319313099	0.939894841892496
6p	-0.0272464889887493	0.973121348262964	0.182091814831844	-0.149630498295108	0.88105614490249	0.939894841892496
12p	-0.0329369122189072	0.967599601375353	0.320204572696133	-0.102862092010671	0.918072424253427	0.939894841892496
16q	0.0315614128706235	1.03206475570877	0.339419274174885	0.0929865074614518	0.925914280263708	0.939894841892496
19q	0.0299000419754181	1.03035153690166	0.32213728677174	0.0928176997920911	0.9260483893119	0.939894841892496
1p	0.0211895859672633	1.02141567936195	0.28102141529061	0.0754020327787146	0.939894841892496	0.939894841892496
