estimate	std_error	t_value	p_values	r_sq	FDR
10q	-0.300169992009907	0.0932005135641003	-3.22069032166287	0.00293296802593185	0.317984438468491	0.123184657089138
9p	-0.242682823437579	0.0997023631330539	-2.43407293279213	0.0206903806025242	0.237991808896504	0.290340792339445
10p	-0.228205225696004	0.0937931584951611	-2.43306899306283	0.0207386280242461	0.237893617153326	0.290340792339445
9q	-0.211803578380816	0.104327858619089	-2.03017277632556	0.0507204896027147	0.19995406466223	0.390494899633894
1q	0.181989989524163	0.0918206609768242	1.98201567695203	0.0561211295756338	0.19565158468903	0.390494899633894
12q	-0.288276269096511	0.151378105458469	-1.90434586443943	0.06588880128581	0.188836580861995	0.390494899633894
17p	-0.241745580682343	0.128788433585289	-1.8770752462196	0.069650645121642	0.186481836755826	0.390494899633894
7p	0.0990830366008347	0.0537171396299716	1.84453299791025	0.0743799808826465	0.183698831918655	0.390494899633894
6p	0.11711654068147	0.0662856189933612	1.76684690374845	0.0867916763225769	0.177178183877658	0.405027822838692
20q	0.144042333720749	0.0866475191815039	1.66239420448978	0.106200185720696	0.168700068724749	0.446040780026924
20p	0.13963072399787	0.0917963066920987	1.52109304861487	0.138057416696307	0.157802271572806	0.499542530057738
4q	-0.187013830254767	0.125600463946893	-1.48895811669806	0.146288649309542	0.155421468660042	0.499542530057738
5p	-0.176427070144178	0.12101663437952	-1.45787453971729	0.154620306922633	0.153154482993064	0.499542530057738
6q	-0.16782028586258	0.120972562969327	-1.38725907547426	0.174949593750172	0.148139223833862	0.520206575804884
13q	0.111369441923118	0.0833236564928534	1.33658851052306	0.190783123663123	0.144659343044117	0.520206575804884
4p	-0.160211868890022	0.121922810324346	-1.31404343833461	0.198173933639956	0.143143807263896	0.520206575804884
22q	0.0828408502412024	0.0815450727434203	1.01589032242156	0.317301467878801	0.125123775137314	0.78392127358292
14q	-0.10035922990953	0.103589462567379	-0.968816976381672	0.339902487218044	0.122642282841113	0.79310580350877
21q	-0.0824829373613749	0.0977144280768065	-0.844122398143095	0.40486755245852	0.116579203507329	0.864550467160148
3q	0.100032664904435	0.120261633268385	0.831792003699088	0.411690698647689	0.116020789179688	0.864550467160148
5q	-0.108480867290244	0.144823309161693	-0.749056680987226	0.4592941851982	0.112470003670996	0.909028673813439
11q	-0.0729538681536181	0.107695828227645	-0.677406630825194	0.503016471112444	0.10967535886225	0.909028673813439
16p	0.134342837486624	0.203235010725223	0.661022119206899	0.513329493756019	0.109073441131909	0.909028673813439
15q	0.0724522165464042	0.111226884931923	0.651391222461631	0.519444956464822	0.108726138144464	0.909028673813439
12p	-0.0698220665681221	0.124583602876136	-0.560443468933395	0.57908003922916	0.10568627169134	0.944861935012341
7q	0.0410928513636883	0.0767049245432706	0.535726377522308	0.595851943046777	0.104935794700101	0.944861935012341
1p	-0.0638476738490633	0.129903720529078	-0.491499963119006	0.62642736973093	0.103674589199108	0.944861935012341
8q	0.0363153596918481	0.0788064352592836	0.460817185454027	0.64804641720527	0.102861534912052	0.944861935012341
3p	-0.0502380655755386	0.110489546500374	-0.45468614151085	0.652404669413283	0.102705181604481	0.944861935012341
2q	0.0480089421302288	0.120462112936047	0.398539764579064	0.692879259382621	0.101368522573917	0.948997379190674
18p	0.0535300946751706	0.146056876621226	0.36650170750941	0.716402987484046	0.100683091775465	0.948997379190674
17q	0.0441999961424137	0.125220766852302	0.352976564937887	0.726420626444873	0.100410674486272	0.948997379190674
8p	-0.0359205434869795	0.120397141074575	-0.298350468843194	0.767364453017336	0.0994132335164649	0.948997379190674
19q	-0.0492974459819957	0.165873979317337	-0.297198187352121	0.768235973630546	0.099393973603312	0.948997379190674
Xp	0.0234953842082114	0.0981527557944248	0.239375695751438	0.812340889754483	0.0985223394690675	0.955375844785531
21p	-0.0208827748375632	0.104148415360845	-0.200509770265926	0.842350855697341	0.0980413137242006	0.955375844785531
18q	0.0207178383041001	0.120179198328973	0.172391217383462	0.864215677301366	0.0977460432509853	0.955375844785531
2p	0.0328614018204293	0.190865329518809	0.17217061843173	0.864387669091671	0.0977439020998769	0.955375844785531
Xq	-0.01097908092299	0.0951878345211162	-0.115341219581526	0.908895418085223	0.0972834036997127	0.978810450245625
16q	0.0118418293045605	0.183004981033219	0.0647076884886048	0.948809292321827	0.0970262615124294	0.986631017275601
11p	0.0040074085535986	0.0860382847463842	0.046577039110104	0.963139802578563	0.0969693310611899	0.986631017275601
19p	0.000461905790018437	0.168608615512621	0.00273951475500883	0.997831193675062	0.0969083224467918	0.997831193675062
