estimate	p_values	FDR
15q	1002	0.0389079172748777	0.697828214351415
12q	1082	0.0607553022341477	0.697828214351415
22q	1699	0.102781277806236	0.697828214351415
14q	1102	0.115535082132829	0.697828214351415
10p	1067	0.126838986779706	0.697828214351415
8q	1692	0.128975709059359	0.697828214351415
12p	1154	0.172482432435729	0.697828214351415
3q	1145	0.183833618588009	0.697828214351415
21p	1155	0.192486259287756	0.697828214351415
2q	1186	0.202255939525337	0.697828214351415
2p	1189	0.249494240378095	0.697828214351415
19p	1570	0.253873167003313	0.697828214351415
4q	1198	0.265359692021872	0.697828214351415
18p	1178	0.26667267380281	0.697828214351415
21q	1189	0.277966564940942	0.697828214351415
19q	1554	0.288951426276189	0.697828214351415
20p	1172	0.294701960175641	0.697828214351415
16q	1194	0.299069234722035	0.697828214351415
6p	1559	0.369359006982044	0.816477804907677
1p	1228.5	0.390473848478541	0.819995081804935
6q	1526.5	0.463470268025716	0.84028263140733
11q	1249	0.491198980599624	0.84028263140733
5q	1259	0.510087465697188	0.84028263140733
10q	1506.5	0.537247123405001	0.84028263140733
9p	1250	0.544425562664046	0.84028263140733
Xq	1267	0.546472192838864	0.84028263140733
3p	1275	0.555790883060504	0.84028263140733
17q	1271.5	0.560991067440965	0.84028263140733
18q	1287	0.620683092454512	0.84028263140733
Xp	1288	0.621284316316126	0.84028263140733
9q	1285	0.645220110197554	0.84028263140733
16p	1311.5	0.660315300883222	0.84028263140733
1q	1293	0.672991495547938	0.84028263140733
17p	1302	0.681723924622712	0.84028263140733
11p	1314.5	0.720139121460214	0.84028263140733
20q	1306.5	0.720242255491997	0.84028263140733
7p	1330.5	0.813588419349496	0.923532800342671
8p	1419	0.844236998930769	0.925231794072101
13q	1409	0.8708268950724	0.925231794072101
7q	1410	0.881173137211525	0.925231794072101
5p	1356	0.904794659320103	0.926862821742545
4p	1382.5	0.985561206040193	0.985561206040193
