estimate	std_error	t_value	p_values	r_sq	FDR
3q	101.699764599309	62.5841116033883	1.62500931935899	0.107998301359852	0.00324648268099026	0.985900551729049
18p	-71.9831518137065	48.6631287643936	-1.47921339300271	0.142914806367746	-0.00211192155477091	0.985900551729049
14q	94.8049565249269	68.9921232980619	1.37414174246164	0.173142081450493	-0.00569335097250701	0.985900551729049
5q	-59.5787608029318	44.586029238561	-1.33626523420938	0.185158948884375	-0.00692560603813774	0.985900551729049
17p	79.7465109109487	61.2568877398468	1.30183745621596	0.196617264144688	-0.0080183029094929	0.985900551729049
4q	99.6215788204153	88.9023238243735	1.12057339487793	0.265740686785203	-0.0133346586092158	0.985900551729049
3p	65.4949435257271	58.4781946574653	1.119989149962	0.265988115914691	-0.0133505916196999	0.985900551729049
16p	100.400198170981	91.3768953747934	1.09874818748413	0.275093540955324	-0.0139245476891512	0.985900551729049
6q	44.9446589602025	41.1740735036921	1.09157669221561	0.278216145054375	-0.0141159929976402	0.985900551729049
16q	67.2806122052309	64.4657692703778	1.04366414869025	0.299707886218772	-0.0153646379517867	0.985900551729049
6p	34.8459885069738	35.022131915894	0.994970511522735	0.322677651270338	-0.0165791674431841	0.985900551729049
9q	49.0800282630966	52.8254511462248	0.929098137320955	0.355565229324489	-0.0181340703028827	0.985900551729049
2p	-60.3951940490876	73.5743208145585	-0.820873279976468	0.414098520460408	-0.0204664264921122	0.985900551729049
18q	-48.6025449631426	59.6923102466313	-0.814217857582174	0.417878416725537	-0.0206007665111549	0.985900551729049
10q	39.3414831107218	59.5986956566921	0.660106444901774	0.511035500329055	-0.0234137564090546	0.985900551729049
4p	49.641100918052	88.3941799972949	0.561587888700039	0.575928535016251	-0.0249101672850982	0.985900551729049
9p	25.9055663756211	47.4626079001113	0.545810007535644	0.586678370990366	-0.0251277625185453	0.985900551729049
12q	45.0176627715345	90.2775064885288	0.498658686117507	0.619354883542094	-0.0257415788752318	0.985900551729049
8p	-19.6829868665428	39.7837394182463	-0.494749542259353	0.62209994500255	-0.0257900116151066	0.985900551729049
12p	33.7810073088078	68.8133339678073	0.490907871497861	0.624802850986641	-0.0258372414327297	0.985900551729049
20p	21.9703511548166	47.5205062890729	0.462334113638613	0.6450661721232	-0.026177104921248	0.985900551729049
10p	20.6894925720564	53.7756124439442	0.38473746056585	0.701427990838012	-0.0269981902701955	0.985900551729049
19q	-24.6640450596922	64.6155603037078	-0.38170442140818	0.703667970099657	-0.0270272533810585	0.985900551729049
2q	22.7598549523938	66.1866007361968	0.343874057577135	0.731821219911099	-0.0273705481588005	0.985900551729049
1p	18.6706686227619	57.1710909615806	0.326575342690394	0.744821188457057	-0.027515668609422	0.985900551729049
7p	-9.46971225058858	32.2645049445311	-0.293502481035083	0.769879656435818	-0.0277723749368024	0.985900551729049
Xq	-14.6625649035776	52.5348900178209	-0.279101467588563	0.780869670288613	-0.0278756316058353	0.985900551729049
11p	-13.214542080396	49.8117284811666	-0.265289771773173	0.791452027583146	-0.0279698015397438	0.985900551729049
5p	-11.5527632279353	44.0654773040789	-0.262172656118398	0.793845826001089	-0.027990395841208	0.985900551729049
17q	16.4468264217025	64.7157154457799	0.254139605942887	0.800023901095749	-0.028042350702338	0.985900551729049
8q	7.650523903985	30.2434353535365	0.252964777795667	0.800928519708684	-0.0280498139882417	0.985900551729049
21p	-11.096522780403	48.4225112922397	-0.229160414944884	0.819314838934576	-0.028193607288473	0.985900551729049
22q	5.99376742393667	38.6790119357634	0.154961751191858	0.877232272251743	-0.0285508795826674	0.985900551729049
21q	-7.33356784448847	50.9366537556575	-0.143974275963778	0.885874029533989	-0.0285920683053877	0.985900551729049
Xp	-7.42703392416702	53.023709662951	-0.140070054912745	0.888948125058803	-0.0286059757053534	0.985900551729049
7q	-3.41520532585897	31.1277074740331	-0.109715928444391	0.912902732921789	-0.0287010706094299	0.985900551729049
1q	-3.74552845112666	47.0874605180588	-0.0795440741530369	0.93679368107913	-0.0287727018830795	0.985900551729049
11q	-3.91487820085002	51.7828476010545	-0.0756018330820861	0.939920022013545	-0.028780374770224	0.985900551729049
15q	-3.3210592773286	57.7662845509543	-0.0574913083495818	0.954293694803399	-0.0288106145081539	0.985900551729049
19p	3.67061867094587	71.418485872108	0.0513959183833581	0.959135032287928	-0.0288189414594882	0.985900551729049
13q	-2.03895419857237	52.0353217578076	-0.0391840413337394	0.968838900472255	-0.0288328196074557	0.985900551729049
20q	-0.900869029272469	50.8220926880843	-0.0177259333810094	0.985900551729049	-0.0288481413835582	0.985900551729049
