estimate	std_error	t_value	p_values	r_sq	FDR
9q	26.2856455912759	11.2681831418598	2.33273148477932	0.0221134862661505	0.0238266206050042	0.655454592737631
3q	29.6836786307177	13.5416032620972	2.19203576239764	0.0312121234636967	0.0166675070270349	0.655454592737631
16p	32.5384285539547	19.8470229872059	1.63946142325376	0.104948386314891	-0.00791570290146781	0.939572756781759
3p	17.9056727878732	12.7592729163187	1.40334585719006	0.164289226101864	-0.0165395755160385	0.939572756781759
20p	14.379612039669	10.304787252305	1.3954302682428	0.166653714174982	-0.0168078438037793	0.939572756781759
2p	-22.0505495545431	16.0037697101061	-1.37783471981721	0.172002943391362	-0.0173992409683819	0.939572756781759
8p	11.432862406357	8.63878030861668	1.32343479032027	0.189368967714469	-0.0191843517551249	0.939572756781759
17p	17.5240657726883	13.4220314485198	1.30561948389868	0.195333242998839	-0.0197546421418855	0.939572756781759
19q	-17.4776099147107	14.0393097831184	-1.24490521148887	0.216712695838775	-0.0216446806880246	0.939572756781759
20q	12.658190112779	11.0482548006708	1.14571851764411	0.255244331043448	-0.0245524065599536	0.939572756781759
4q	19.707392633367	19.508155936904	1.01021299486776	0.315364931838872	-0.0281577001065993	0.939572756781759
5q	-9.51645897842998	9.81956940550765	-0.969132004209099	0.335329211370946	-0.0291657039971229	0.939572756781759
10q	-11.1541801550109	13.0360601946072	-0.855640430352196	0.394690002182599	-0.0317419271541821	0.939572756781759
16q	11.8195428543273	14.1594407670436	0.83474644576624	0.40628588707272	-0.0321825730693495	0.939572756781759
18p	-8.63179836111328	10.762434426906	-0.802030285967075	0.424853675661139	-0.0328513801839232	0.939572756781759
11p	-8.50781501997817	10.8791080171442	-0.782032406201944	0.436447894391971	-0.0332474331336945	0.939572756781759
5p	7.03440541566758	9.62854089537254	0.730578546854207	0.467118908334115	-0.0342217898408028	0.939572756781759
18q	-8.98541212925823	13.0952140923747	-0.686160002110268	0.494547822492184	-0.0350109541422357	0.939572756781759
7q	4.63335299214274	6.80209483766232	0.681165597175809	0.497685873454448	-0.0350966650936437	0.939572756781759
10p	-7.50950434828396	11.764938747561	-0.638295235480148	0.525060174549758	-0.0358071718927893	0.939572756781759
21q	-6.8188403442951	11.1374001020715	-0.612247048844626	0.542068371152066	-0.0362167721037487	0.939572756781759
11q	-6.58151210959139	11.3239325871973	-0.581203752222295	0.562697323970175	-0.0366830273432606	0.939572756781759
8q	3.55749153426705	6.61798170351152	0.537549315432443	0.592344090020939	-0.0372982991955753	0.939572756781759
22q	4.34801486109554	8.46311040943629	0.513760857503116	0.608800861928268	-0.0376136480537173	0.939572756781759
7p	3.55395596955697	7.06272693578606	0.503198835502116	0.616173493377926	-0.037749146287017	0.939572756781759
1p	-6.23960255503936	12.516720532314	-0.498501387718194	0.619465236960623	-0.0378085158854053	0.939572756781759
4p	8.87990087543931	19.3816607734606	0.458159957458268	0.648049395929631	-0.0382957106045467	0.939572756781759
21p	-4.33508976539522	10.6031041846517	-0.408851001546359	0.683714854368783	-0.0388359337430386	0.939572756781759
14q	-5.52932100784882	15.2786699807871	-0.361898058849489	0.718359144541668	-0.039293670544533	0.939572756781759
1q	-3.57374057029252	10.3108160300589	-0.346601138054841	0.729778843948153	-0.0394308319801382	0.939572756781759
12p	-5.18596140216442	15.0898944489612	-0.343671151558083	0.73197325867313	-0.0394564321418438	0.939572756781759
2q	-4.65696369095635	14.5043770426844	-0.321072989019214	0.748971976486561	-0.0396466163470042	0.939572756781759
17q	3.86616947490382	14.179890019472	0.272651584010507	0.785806484721095	-0.0400107834925649	0.939572756781759
12q	-5.28252942501944	19.8033018046105	-0.266749932770786	0.790331379434429	-0.0400511232236425	0.939572756781759
19p	-3.67279200319005	15.6444622032299	-0.234766267799974	0.814975390550219	-0.0402544348535678	0.939572756781759
13q	-2.44871217580797	11.3990603000921	-0.214817020994983	0.830443331439334	-0.040368149931111	0.939572756781759
6q	-1.79371019672944	9.08536132656719	-0.197428603250409	0.84398071881699	-0.0404590539169802	0.939572756781759
15q	1.7778096796695	12.6566815812941	0.140464123099772	0.888637766679671	-0.0407032224190977	0.939572756781759
Xq	-1.53688211077893	11.515843664609	-0.133458056182384	0.894158120326559	-0.0407275736099366	0.939572756781759
9p	1.38146218355947	10.4179296238102	0.132604292162057	0.894831196935009	-0.0407304559907498	0.939572756781759
Xp	-0.520515028348037	11.6199872799328	-0.0447948019054155	0.964379775264843	-0.0409281559765167	0.980514531503072
6p	0.189136158040427	7.72032826034146	0.0244984606434419	0.980514531503072	-0.0409460090293867	0.980514531503072
