estimate	std_error	t_value	p_values	r_sq	FDR
20q	-4.89102919611286	2.53427792015003	-1.92994981222237	0.0570707218247755	0.00987549839671653	0.824934979542098
7p	-2.90565162886209	1.61430543999057	-1.79993919173008	0.0755480667532804	0.0042427257671469	0.824934979542098
7q	-2.71212806610062	1.55866441812425	-1.74003334814334	0.0856049132653981	0.00175923782623433	0.824934979542098
17q	-5.23867073473414	3.24977321187292	-1.61201117530136	0.110802037874161	-0.0033044532059463	0.824934979542098
6q	3.12294215559756	2.08616547127632	1.49697720463513	0.1382385941851	-0.00756391513928456	0.824934979542098
21q	3.61083736383847	2.56656968300254	1.40687291202406	0.163243973872054	-0.0107031230297623	0.824934979542098
12p	-4.81153566252466	3.47322773210365	-1.38532110003925	0.169711225431272	-0.01142787949109	0.824934979542098
20p	-3.31870650344363	2.39817208091191	-1.38384836094901	0.170160206222003	-0.0114770348058708	0.824934979542098
8q	-2.06887140118944	1.52556628082934	-1.356133409074	0.178779355506192	-0.0123931946080471	0.824934979542098
21p	3.01512846933805	2.44708912944176	1.2321285861892	0.221422458724646	-0.0162837823196214	0.824934979542098
8p	-2.45704685663682	2.01321766417157	-1.22045762878197	0.225789536003912	-0.0166322109346222	0.824934979542098
1q	-2.84339492770233	2.38024976836688	-1.19457838647463	0.2356957084406	-0.0173938203710524	0.824934979542098
17p	2.87270017564837	3.13933722576192	0.915065814552995	0.362840171926501	-0.0246360699074444	0.977195873132938
18p	-2.25061081618359	2.50168466755882	-0.899638090031453	0.370947258239389	-0.0249824858896799	0.977195873132938
18q	-2.6319458561813	3.04186787771231	-0.865240030793415	0.389431381212573	-0.025734462335633	0.977195873132938
22q	-1.54646926077897	1.96495120954125	-0.787026799072543	0.433535014285833	-0.0273388646022446	0.977195873132938
9p	1.79671248793862	2.41616493841156	0.74362162093115	0.45923085127867	-0.0281656598840381	0.977195873132938
16q	2.33998418454965	3.29847283636977	0.709414417104915	0.480079668706554	-0.0287850808483243	0.977195873132938
15q	-1.8282894938088	2.93837570159905	-0.622210935386464	0.535529514519362	-0.030235124501454	0.977195873132938
10q	1.75040245808413	3.04059589824904	0.575677438456098	0.566409757825148	-0.0309326384045681	0.977195873132938
10p	1.12322117821602	2.74144698166424	0.409718366150619	0.683080931420417	-0.0329844617745692	0.977195873132938
12q	1.76086001215712	4.60571706772989	0.382320491307347	0.703212773503873	-0.0332573406023797	0.977195873132938
1p	-1.03888746548435	2.91453624666589	-0.356450350093534	0.722418870995589	-0.0334977939263781	0.977195873132938
16p	1.60621424334324	4.68971634014232	0.342497099364969	0.7328531936199	-0.0336205363777491	0.977195873132938
9q	0.854507095293564	2.70582807948235	0.315802434668	0.752954861963428	-0.0338417782944433	0.977195873132938
6p	-0.539830190600413	1.79537887049293	-0.300677589266828	0.76442139450905	-0.0339592062830754	0.977195873132938
19p	1.00854297044792	3.6396643670105	0.277097794947588	0.782402351712992	-0.0341308319054434	0.977195873132938
14q	0.809473547374204	3.55674731425144	0.227588151716808	0.820532934879353	-0.0344457505702389	0.977195873132938
2q	0.704471925267373	3.37609501334547	0.20866472136674	0.835227441773806	-0.0345498387682508	0.977195873132938
2p	-0.744500505478695	3.76570962566644	-0.197705234732999	0.843764973953024	-0.034606000746928	0.977195873132938
5q	-0.39593735664615	2.29744370518495	-0.172338219105254	0.863596281295267	-0.0347243937317083	0.977195873132938
19q	0.560312604522869	3.29680350588004	0.169956323913002	0.865463097708711	-0.0347346781682303	0.977195873132938
5p	-0.279484258234876	2.24743123518962	-0.124357201172073	0.901336802434709	-0.0349039949332728	0.977195873132938
3p	0.362279158569168	3.00399353479807	0.120599180515054	0.904303532997134	-0.0349156109468054	0.977195873132938
4q	0.536767650632572	4.56692097981462	0.117533816110468	0.906724463004938	-0.0349248222189817	0.977195873132938
11q	0.308428993448077	2.64004825298299	0.11682702886191	0.907282787792597	-0.0349269124603147	0.977195873132938
13q	0.284297763092968	2.65288754359741	0.107165403139347	0.914919524751073	-0.0349542222630077	0.977195873132938
11p	0.26137986164688	2.54060306479632	0.102881030598078	0.918308580929293	-0.0349655790053549	0.977195873132938
3q	0.213014348166218	3.24176986604313	0.0657092751701776	0.94776922595589	-0.0350446714239228	0.977195873132938
Xq	0.170397497211222	2.67972511389712	0.0635876778284221	0.949453296622237	-0.0350481338067106	0.977195873132938
Xp	0.104573858154071	2.70374069013671	0.0386774732264667	0.96924154402112	-0.0350802884525316	0.977195873132938
4p	0.129467169748115	4.51546005708917	0.0286719776304642	0.977195873132938	-0.0350887945135927	0.977195873132938
