estimate	std_error	t_value	p_values	r_sq	FDR
20q	-1.35626844136423e-15	3.42255078035491e-16	-3.96274161700995	0.000102119682862879	1	0.00132763974198908
20p	1.35610360322078e-15	3.42214882816319e-16	3.96272538488239	0.00010212613399916	1	0.00132763974198908
12p	8.45145597710498e-16	2.40058412612537e-16	3.52058313021753	0.000530036845632471	1	0.00459365266214808
2q	1.06912348243675e-15	3.39343385498451e-16	3.15056526257717	0.00187207069194903	1	0.0121684594976687
21p	-3.20587140131601e-16	1.31981385983437e-16	-2.42903298630181	0.0159968938446809	1	0.0831838479923408
7q	-9.45087969888135e-16	5.09380521437259e-16	-1.85536731404941	0.0649724337060937	1	0.281547212726406
1p	-7.70579205988579e-16	4.36330056374132e-16	-1.76604658499126	0.0788692497988554	1	0.29294292782432
18p	-1.49986655642801e-15	1.09220867657096e-15	-1.37324175187558	0.171170017347092	1	0.556302556378048
4q	-1.05811055013827e-15	8.26470059743207e-16	-1.28027692916914	0.201887506521604	1	0.559722028334648
9q	3.79501907474836e-16	3.05309245389881e-16	1.24300823904042	0.215277703205634	1	0.559722028334648
19p	-2.39791779741831e-16	2.18739624319147e-16	-1.09624298975648	0.27425234887175	1	0.624898970421107
4p	-9.38875102338107e-16	9.03370770109409e-16	-1.03930206002171	0.299882584872121	1	0.624898970421107
5q	1.85637628955584e-16	1.8333163517145e-16	1.01257826442216	0.312449485210553	1	0.624898970421107
22q	-5.94553808317997e-16	7.74967517782634e-16	-0.767198359512095	0.443841987162358	1	0.720412147125503
16p	-2.87322310325882e-16	3.88186192573132e-16	-0.740166229049355	0.460041866483738	1	0.720412147125503
2p	9.86899391289623e-16	1.36739955682426e-15	0.721734467708667	0.47127615274037	1	0.720412147125503
21q	-6.03180859608018e-16	8.49656362770867e-16	-0.709911543110144	0.478561807612202	1	0.720412147125503
18q	-3.91651867824897e-16	6.38476580094805e-16	-0.613416184767094	0.540277894234181	1	0.720412147125503
17p	-3.96949654104846e-16	6.61425276804311e-16	-0.600142855172871	0.549070648002159	1	0.720412147125503
3q	-4.31726942443438e-16	7.2864857742584e-16	-0.592503651031114	0.554163190096541	1	0.720412147125503
1q	2.77710835028034e-16	5.03571038065238e-16	0.551482936935814	0.581900357897479	1	0.720448062158783
Xq	-1.88669424720948e-16	5.7048979698948e-16	-0.330714809829329	0.741196042972894	1	0.875958959877057
19q	2.14064452130568e-16	7.58445032293337e-16	0.282241221203987	0.778041914103961	1	0.879525642030564
3p	-5.124842663533e-17	2.15556675734284e-16	-0.237749197331767	0.812311922059512	1	0.880004582231138
6p	-3.10234972178614e-17	2.17669610897182e-16	-0.142525624454374	0.886804143274132	1	0.922276309005097
6q	5.03994314242153e-18	2.00586683291284e-16	0.0251260106589564	0.97997877571561	1	0.97997877571561
