estimate	std_error	t_value	p_values	r_sq	FDR
5q	-0.398863314107458	0.0926177227038135	-4.30655497094224	4.56690305877642e-05	0.152176632679738	0.00121004158492688
5p	-0.385443696457247	0.0908388654269661	-4.24315841733119	5.76210278536607e-05	0.147581442311613	0.00121004158492688
18p	-0.379197142751118	0.104098144313523	-3.64268878424048	0.000471504130453316	0.105213256447824	0.00660105782634642
1q	0.3435966108234	0.100212965724927	3.42866422860426	0.000951416972964664	0.0907692456229089	0.00998987821612897
4q	0.600063334059855	0.192776934056756	3.11273408821405	0.00255194782343993	0.0702756577295309	0.0214363617168954
2p	0.468003805904972	0.159969960151242	2.92557306048275	0.00444597883908283	0.0586731113742277	0.0311218518735798
16p	0.568230606321933	0.199841016931986	2.84341330446354	0.00563235697794488	0.0537203587289632	0.0337941418676693
2q	0.361630622392559	0.145335158336444	2.4882528531424	0.0148621478845702	0.0334023662152921	0.0780262763939937
18q	-0.320160998853443	0.131720666421454	-2.43060567146733	0.0172550337655573	0.0302844782142586	0.0805234909059342
17p	0.307023447132992	0.136686360818779	2.24618934393936	0.0273810700654928	0.0206761817884951	0.11500049427507
9p	0.218398179036826	0.105479227670579	2.07053259546898	0.0415485228980681	0.0120702216204048	0.158639814701714
13q	0.232309739506587	0.115599693600765	2.00960514920473	0.0477618636012445	0.00921578120761368	0.167166522604356
12q	-0.373532779656741	0.20156830386145	-1.85313252381928	0.0674603712201186	0.00220637198379259	0.217329098823891
16q	0.263456213955358	0.144774300830233	1.81977196535934	0.072443032941297	0.000773274481993047	0.217329098823891
10p	-0.207088682551268	0.120327671313019	-1.72103956048938	0.0890148133242692	-0.00333824125197335	0.249241477307954
6p	0.118569261882461	0.0790991989954862	1.49899447008594	0.137715241307555	-0.0118534370258385	0.361502508432331
9q	-0.171204812571668	0.119351911202357	-1.43445388387117	0.155245603190355	-0.0141324756113042	0.38354796082323
7q	-0.0944064755415803	0.070067717712062	-1.3473605052977	0.181575472464495	-0.017063937536467	0.403463906816188
17q	-0.195918655828435	0.145727051631482	-1.34442201111622	0.182519386416847	-0.0171599284943829	0.403463906816188
14q	0.202588766004831	0.157211220375241	1.28864062960189	0.201146976804795	-0.0189456706559639	0.408109964292437
8q	0.0872776536422236	0.0681705163933308	1.28028447281591	0.204054982146218	-0.0192071874315332	0.408109964292437
22q	-0.104587341322073	0.0872694731410285	-1.19844130550735	0.234197472738764	-0.0216852858597536	0.447104266137641
10q	-0.154105072421844	0.134912920109355	-1.14225585138126	0.256672074983871	-0.0232982195176941	0.468705528231417
21q	-0.126012286011007	0.115087302467531	-1.09492779228671	0.27675396777596	-0.0246005018153888	0.48431944360793
4p	0.208415685163459	0.200216778001378	1.04095015035166	0.300958165358518	-0.0260222730260891	0.50560971780231
Xq	-0.101095492744656	0.119082425867138	-0.848953924212539	0.398378558744201	-0.0305229197226333	0.62368391061601
3q	0.121639583436499	0.144065792494356	0.844333559899476	0.400939656824578	-0.0306203942932806	0.62368391061601
21p	0.0828854385720632	0.109844329498872	0.754571846814487	0.452667570230256	-0.0324117986212464	0.679001355345383
3p	0.0950575893651522	0.133674775799093	0.711110894309781	0.479033449063725	-0.0332088904041026	0.684242286749309
15q	0.0911509236967375	0.131069034369847	0.695442093816991	0.488744490535221	-0.0334849559233859	0.684242286749309
20q	-0.0489898104814015	0.115523827726241	-0.424066718058317	0.672627591288368	-0.0373056024591358	0.896732650192627
20p	-0.0442968853367675	0.10816745307119	-0.409521386323236	0.68322487633724	-0.0374586691491758	0.896732650192627
8p	-0.0236190154871061	0.0906289502973136	-0.260612259213227	0.795044882300797	-0.038720148440035	0.999783943263322
12p	-0.0161341757246361	0.1568107030079	-0.102889505723491	0.918301875359421	-0.0394463037435018	0.999783943263322
1p	0.0115775879844707	0.130176224755228	0.088937807239687	0.929348197345284	-0.0394802259302802	0.999783943263322
19p	0.0102572363912786	0.162517816708545	0.0631145347569714	0.949828897336527	-0.0395299979969863	0.999783943263322
Xp	-0.00711138516783992	0.120672068016245	-0.0589314933003599	0.95315005442558	-0.0395364697301064	0.999783943263322
11p	0.00510199961229516	0.11339827240006	0.0449918636705127	0.964223181155552	-0.0395548342491434	0.999783943263322
7p	-0.00194707644477945	0.0734590047622491	-0.0265056197137598	0.978918450972086	-0.0395715902072	0.999783943263322
19q	-0.00350075041731305	0.147168545251868	-0.0237873549087666	0.981080017797682	-0.0395733233591433	0.999783943263322
11q	-0.0011429170032349	0.117840536053013	-0.0096988442306537	0.992285121012516	-0.0395793043304233	0.999783943263322
6q	2.56331616410847e-05	0.0943735700604133	0.000271613775177474	0.999783943263322	-0.0395804959647492	0.999783943263322
