estimate	std_error	t_value	p_values	r_sq	FDR
5q	-1.57669759178589	0.360526819664159	-4.37331567525164	3.5680009640846e-05	0.174958814871018	0.00149856040491553
5p	-1.3974566293991	0.359932114838142	-3.88255610374619	0.000208251786802795	0.140523557051698	0.0043732875228587
7q	-0.820801223042435	0.261267221098203	-3.14161577404277	0.00233779107197251	0.0918335531862523	0.0327290750076152
2q	1.59353272020577	0.561462266501173	2.83818310736371	0.00571694489214232	0.0735354881522052	0.0600279213674944
18p	-1.13226273984773	0.419804374657841	-2.69711991631953	0.00848746741979599	0.0654322858517395	0.0712947263262863
16p	1.94651531864565	0.78894293308277	2.46724476134123	0.015697344405312	0.0528370463965333	0.0959797288667107
2p	1.55795707633829	0.633326135258004	2.45996018418475	0.0159966214777851	0.0524509520948934	0.0959797288667107
16q	1.33124331328256	0.557413854951444	2.3882494155057	0.0192266911171787	0.0486947463349666	0.100940128365188
12q	-1.7592649182927	0.779347176860163	-2.25735714522048	0.0266444856034389	0.0420530379834707	0.124340932816048
13q	0.977036738318365	0.449493120003073	2.17364114118518	0.0326160631790069	0.0379556352633118	0.128078384418025
9p	0.888207145118705	0.410854262059204	2.16185452395456	0.0335443387761493	0.0373884353890021	0.128078384418025
1q	0.799451266938625	0.408896514787604	1.95514326492582	0.0539728975245388	0.0278430328353076	0.188905141335886
17q	-1.04823540152721	0.563359994447429	-1.86068484070363	0.0663731412050661	0.0237429551335459	0.214436302354829
18q	-0.919502969756312	0.522644613875068	-1.75932736193108	0.082251931993867	0.0195335106723584	0.246755795981601
17p	0.862406198523094	0.541460023960898	1.59274214228117	0.115065797130168	0.0130570715154164	0.322184231964471
10p	-0.655773034759231	0.472632038859795	-1.38749170780139	0.16905114139774	0.0058636679048889	0.443759246169067
21p	0.566004771463634	0.425736359188009	1.32947247574333	0.187378971727306	0.00399287249176394	0.462936283090992
4q	0.914241919824443	0.789359436948887	1.15820737300394	0.250141607630368	-0.0010988507686307	0.583663751137524
8q	0.258241094731784	0.267255859411401	0.966269159825081	0.336750734754152	-0.00602105276586284	0.7263341670977
20p	-0.381792124132839	0.420591431536969	-0.907750599525185	0.36667005244468	-0.00735309688130292	0.7263341670977
22q	-0.309624393605844	0.341950996020812	-0.905464225017199	0.367872330291328	-0.00740352164081726	0.7263341670977
19p	0.539198736935292	0.631657677537336	0.853624923926331	0.395799619094817	-0.00851395980816294	0.7263341670977
7p	-0.24079426827123	0.285537489894984	-0.843301761739904	0.401512961934313	-0.00872755606789744	0.7263341670977
10q	-0.432623038379202	0.528697070679301	-0.818281511988222	0.415568040125426	-0.00923482922477503	0.7263341670977
15q	0.403409382374481	0.511241173012349	0.789078430435289	0.432341766129583	-0.00980819921600262	0.7263341670977
4p	-0.571043430217976	0.784229063271181	-0.728158974159968	0.468590562702081	-0.010939128560387	0.756953985903362
6q	0.241419976036725	0.36745287126113	0.657009360705634	0.513014725541927	-0.0121477938595642	0.790345562581645
8p	-0.214696944648173	0.353151902004285	-0.607945032802252	0.544904078110701	-0.0129104305805592	0.790345562581645
14q	0.369938847988095	0.618562125323122	0.598062559673934	0.551446471368453	-0.013057013251027	0.790345562581645
9q	-0.272332002083807	0.470780125032093	-0.578469624360719	0.564532544701175	-0.0133406448941955	0.790345562581645
6p	0.155466271476203	0.312521117350047	0.497458452710153	0.62019713363122	-0.0144145381030589	0.830583103517212
Xq	-0.221740763722976	0.466274000260606	-0.475558928010231	0.635653076853083	-0.0146774200499382	0.830583103517212
20q	-0.191098110086651	0.450986641255201	-0.423733416038179	0.672869695236136	-0.0152528715604054	0.830583103517212
21q	-0.191460519510014	0.452059973784639	-0.423529024052072	0.673018178587862	-0.0152550109663627	0.830583103517212
3q	0.224218492346586	0.564305463946341	0.397335320446067	0.692152586264343	-0.0155207126111327	0.830583103517212
11q	-0.157341713291428	0.459701918977914	-0.34226899387598	0.733024196881731	-0.0160243761002532	0.846621807714987
Xp	0.139455237096431	0.470841930242461	0.296182706210168	0.767839375255807	-0.0163885641459378	0.846621807714987
11p	0.122700877686562	0.442486094760182	0.277298832979289	0.782248531531162	-0.0165226705050183	0.846621807714987
3p	0.142421448564711	0.523214406267442	0.272204753651054	0.78614882144963	-0.0165573399747387	0.846621807714987
19q	-0.104624795938017	0.574407389596257	-0.18214388922043	0.855919340605135	-0.0170644097198547	0.891950395791403
12p	-0.0999334525646034	0.612103018393179	-0.163262473083268	0.870713481605893	-0.0171452743034328	0.891950395791403
1p	0.0599655052292584	0.508167758655926	0.118003364455596	0.906353570416562	-0.0173031511242818	0.906353570416562
