estimate	std_error	t_value	p_values	r_sq	FDR
6q	43.1107199643558	16.6787266878605	2.58477285293809	0.0115151995799837	0.0404022802853682	0.483638382359317
6p	24.1038373006523	14.4930368459271	1.6631322722005	0.100103734338612	-0.00391813987837497	0.952036785336806
18p	-27.4952142935585	20.3973629210235	-1.34797887354444	0.181377308572124	-0.0152843250450478	0.952036785336806
14q	38.8371492298665	28.868039310307	1.34533380713529	0.182226100293441	-0.0153706259988029	0.952036785336806
8q	15.872198151196	12.5316509690403	1.26656880170128	0.208895481918862	-0.0178691688626214	0.952036785336806
3q	32.5637711977882	26.3483806618528	1.23589269548295	0.220027222571798	-0.0188046401752158	0.952036785336806
16p	45.2194239639552	38.1715756193869	1.18463603427962	0.239583587208767	-0.0203201819405374	0.952036785336806
5q	-21.4465647404499	18.699752595024	-1.14689029341259	0.254762454239601	-0.0213979360652856	0.952036785336806
17p	29.155519391265	25.6818123057206	1.13525942188942	0.25957408687517	-0.021723446330266	0.952036785336806
1p	26.8142058293589	23.7422499419005	1.12938773262752	0.262027370067441	-0.0218865935337134	0.952036785336806
4q	38.8266257877067	37.2190380199417	1.04319262004847	0.299924855468002	-0.0241897400889701	0.952036785336806
16q	25.6225084322728	26.992077101316	0.949260345400522	0.345277571145494	-0.0265019277020686	0.952036785336806
18q	-23.3206062969761	24.9331642619845	-0.935324776748572	0.35236730259238	-0.0268272228304647	0.952036785336806
20q	-16.9905915847722	21.1723741100041	-0.802488728779076	0.424590049373684	-0.0296953950272596	0.952036785336806
3p	18.0041604585238	24.5633389853319	0.732968773881885	0.465667669273978	-0.0310270940892874	0.952036785336806
2p	-22.3046640269412	30.7988007986875	-0.724205600495059	0.471000733482796	-0.0311866306570325	0.952036785336806
8p	-11.9926623841356	16.6108460030442	-0.721977819909819	0.472361960859579	-0.0312268900533674	0.952036785336806
15q	-16.2549829357081	24.0932861424145	-0.674668571137432	0.501784143098792	-0.0320532491507033	0.952036785336806
19p	-14.9321515304685	29.8242632177083	-0.500671262906586	0.61794372253225	-0.0346193199645755	0.952036785336806
4p	17.969702403033	36.9869025604507	0.485839612378021	0.628376627735977	-0.0348034012995724	0.952036785336806
9q	10.7641788695925	22.1773233983116	0.485368710924422	0.628709126611084	-0.0348091562355919	0.952036785336806
22q	-7.69141360918869	16.1567700024728	-0.476048963252651	0.635305418588952	-0.0349219185721388	0.952036785336806
5p	-8.05534109175625	18.4157421703065	-0.437416044233321	0.66295955258612	-0.0353662745233994	0.952036785336806
11q	-9.41164168554605	21.6329276769281	-0.435060932394451	0.664661115447474	-0.0353921592963535	0.952036785336806
21p	8.24258529896415	20.2377572932556	0.407287486430675	0.684858140006389	-0.0356869643182793	0.952036785336806
21q	8.47053245614528	21.285370745174	0.397950900529453	0.691700543012546	-0.0357817383355816	0.952036785336806
9p	7.38851735367149	19.8695532622268	0.371851206524985	0.710962830035197	-0.0360350978347634	0.952036785336806
20p	-6.72513677026814	19.8865122600693	-0.338175778754917	0.736095033219379	-0.0363367756101187	0.952036785336806
11p	-6.52866856902885	20.8292095226191	-0.31343813417111	0.75474371672036	-0.0365402528035319	0.952036785336806
12p	-8.15601951832718	28.8079644276958	-0.283116828292319	0.777800790089856	-0.0367686792416271	0.952036785336806
Xq	-6.20223884655805	21.9714129703701	-0.282286753925301	0.778434915941648	-0.0367746074265425	0.952036785336806
2q	7.79530876225488	27.6877761242606	0.281543332598116	0.779002971762941	-0.0367799020386315	0.952036785336806
7p	-3.59430579127742	13.4952249620345	-0.26633907929576	0.79064665780094	-0.0368851344775498	0.952036785336806
13q	-5.05882712104495	21.755750256249	-0.232528276959416	0.816707117343181	-0.0370982774838595	0.952036785336806
1q	-4.29534356125513	19.6884219879424	-0.218165963929749	0.827841824274243	-0.037180097666907	0.952036785336806
12q	6.82301994724619	37.8064328884485	0.180472460001137	0.857226956396959	-0.0373700801339267	0.952036785336806
17q	4.82890449468268	27.071440932327	0.178376337881457	0.858867387593228	-0.037379592300731	0.952036785336806
Xp	-3.66753264795336	22.1750457081463	-0.165390082898726	0.869044030342144	-0.0374360504160649	0.952036785336806
10p	-2.38330237726343	22.5093110068347	-0.105880734267689	0.91593557062187	-0.0376402601240626	0.952036785336806
19q	-1.98407283374097	27.0472579145089	-0.0733557849010882	0.941701645043828	-0.0377140246563641	0.952036785336806
10q	1.70826200686575	24.991373128905	0.0683540675438109	0.94567018982235	-0.0377229939508066	0.952036785336806
7q	-0.785494495696303	13.0191989144089	-0.060333550540269	0.952036785336806	-0.037736055281798	0.952036785336806
