estimate	std_error	t_value	p_values	r_sq	FDR
8q	18.8199785364477	8.27464405950525	2.27441547951889	0.025553019404337	0.0243682482241752	0.484920432924236
6p	21.2088755346387	9.65529577142146	2.19660547296899	0.0308716454467632	0.0204590930264439	0.484920432924236
6q	24.4456290605702	11.3788604421266	2.14833718937865	0.0346371737803026	0.0180873173835476	0.484920432924236
9q	28.8691620771582	14.6311132530998	1.97313502928711	0.051849106392666	0.0098325354119877	0.544415617122993
3q	29.5559754884837	17.6303875394079	1.67642233742279	0.0974642858984923	-0.00281005011828506	0.818700001547336
1p	24.5637115633766	15.902425623337	1.54465187545534	0.12628123375276	-0.00785396020671492	0.845430612196057
7q	12.7486692491992	8.66469774515053	1.47133456055457	0.14502803997985	-0.0105018683505984	0.845430612196057
17q	25.5121799962392	18.0376326633227	1.41438627077239	0.161034402323058	-0.0124787938802733	0.845430612196057
3p	17.3000210851802	16.5056837268374	1.04812508051704	0.297660508084353	-0.0234678792932843	0.970655020118264
12q	23.8714688006439	25.3592200727875	0.941332924755835	0.349299221086731	-0.0260912919003733	0.970655020118264
2p	-18.5477565404739	20.7313110186841	-0.894673594147406	0.373580210110956	-0.0271529045279799	0.970655020118264
4q	22.0444782747921	25.1431550282566	0.876758634706656	0.383179129930564	-0.0275467349906811	0.970655020118264
1q	11.5199721914746	13.2175965900555	0.871563306761978	0.385991344115295	-0.0276595111906597	0.970655020118264
19q	-15.0461002550038	18.1612343391268	-0.828473438206142	0.409807357391737	-0.0285699459004192	0.970655020118264
20p	10.8030242746568	13.3645926750381	0.808331726774903	0.421238586220621	-0.0289802127840768	0.970655020118264
16p	19.0975346236128	25.8704839109513	0.738197812199738	0.462501743026072	-0.0303322943376161	0.970655020118264
7p	6.69617806716435	9.0729418660331	0.738038242285363	0.462598173559504	-0.0303352346599084	0.970655020118264
22q	6.93977611149697	10.8817152187159	0.637746529109764	0.52541556448846	-0.0320604029538742	0.970655020118264
8p	7.12684438104401	11.2077254785684	0.635886772447461	0.526621036085084	-0.0320900687150734	0.970655020118264
5q	-7.46889098122974	12.6821484006795	-0.58892947356061	0.557527516665318	-0.0328109184071843	0.970655020118264
14q	10.7081824708634	19.6422113029558	0.545161759320448	0.587122055784123	-0.0334338460642032	0.970655020118264
16q	9.46919551083525	18.2690998405594	0.51831757412659	0.605632521252609	-0.0337924603406765	0.970655020118264
4p	11.9243556336415	24.9393701752313	0.478133792066821	0.633827240746362	-0.0342958651009475	0.970655020118264
17p	6.34080016340162	17.4373347055571	0.363633563871483	0.717067508428812	-0.0355096161240269	0.970655020118264
21p	-4.95343031516467	13.6480490756762	-0.362940541003238	0.717583186735478	-0.0355159646173717	0.970655020118264
18p	-4.4967708683148	13.8954951460502	-0.323613575554594	0.74705451571036	-0.0358564934238221	0.970655020118264
5p	3.88235363068774	12.4238091849258	0.312493018276417	0.755459177000625	-0.035945746934138	0.970655020118264
13q	-4.1169717740226	14.6665018715258	-0.280705774975249	0.779643102119969	-0.0361837371817511	0.970655020118264
10q	4.51812556544949	16.8434066094935	0.268242979000633	0.789185948824385	-0.0362701124254741	0.970655020118264
9p	3.01026811107905	13.4041211923093	0.2245778046834	0.82286640056459	-0.0365418916762252	0.970655020118264
20q	3.03058883146198	14.3274109533494	0.211523829485292	0.833003377208416	-0.0366138144785777	0.970655020118264
11p	-2.93803829370591	14.0486602058166	-0.209132988531495	0.834863090168336	-0.0366265216877628	0.970655020118264
19p	-4.12648696902437	20.1344247122808	-0.204946852368097	0.838121531354158	-0.0366484236738305	0.970655020118264
21q	-2.85243109142501	14.3619581309823	-0.198610180130772	0.843059290616118	-0.0366807364994157	0.970655020118264
12p	3.83181477554813	19.4285169158808	0.197226313883795	0.844138491819645	-0.0366876585561995	0.970655020118264
11q	2.14602523994638	14.6008001785139	0.146979974638953	0.88350859875316	-0.0369062549040442	0.970655020118264
10p	0.955453994864565	15.1774669572486	0.0629521380317187	0.949957817255091	-0.0371293072072405	0.970655020118264
18q	-1.02258588583712	16.9001286881976	-0.0605075798358419	0.9518986082569	-0.037133124235059	0.970655020118264
Xq	-0.853262819020444	14.8210178268841	-0.0575711350588011	0.954230302464048	-0.0371375095072475	0.970655020118264
15q	-0.893349901167359	16.2895098546015	-0.0548420369391903	0.956397710504443	-0.0371413896071955	0.970655020118264
Xp	-0.738525062168197	14.9536906610986	-0.0493874775736426	0.960730605977972	-0.0371485801484683	0.970655020118264
2q	0.689175317303899	18.6772176483346	0.0368992496784097	0.970655020118264	-0.0371622091715231	0.970655020118264
