estimate	std_error	t_value	p_values	r_sq	FDR
17q	598.182485348603	191.079165574811	3.13054792524935	0.00199815805387593	0.0430107124459082	0.0786358526013174
4q	-683.830186015099	233.202097959526	-2.93235006030599	0.00374456440958654	0.0376520146084095	0.0786358526013174
22q	336.639648779296	131.882865683977	2.55256546810231	0.0114174268739033	0.0282190407594365	0.12842886490171
3p	454.628012129964	180.410413347024	2.51996547037158	0.0124953510250284	0.0274622811710514	0.12842886490171
4p	-508.286993148612	207.813714213273	-2.44587800700666	0.0152891505835369	0.0257743895134299	0.12842886490171
10p	342.732086638847	159.121049352248	2.15390790868992	0.0324086596906887	0.0195628951599832	0.226860617834821
1q	257.664370729659	123.449249133012	2.08720889385107	0.0380993077556032	0.0182444454253317	0.228595846533619
Xq	288.821611746633	169.530943014523	1.70365130170893	0.089954240270333	0.0114111809226495	0.472259761419248
10q	282.382261595851	171.736556425276	1.64427578771627	0.101644440711804	0.0104695753105889	0.474340723321753
5p	227.168540533863	148.866137338288	1.52599203953038	0.128545695310031	0.00868842250170321	0.509681831985592
21q	-202.644376797827	134.519396194936	-1.50643239956391	0.133488098853369	0.00840610637624228	0.509681831985592
9p	193.942213290003	148.138556978273	1.30919469749153	0.191926836321703	0.00575496331325653	0.671594407802044
17p	-221.834520918428	177.40022752384	-1.25047483881393	0.212544668206837	0.005034999023666	0.671594407802044
8q	-109.259937882886	89.5583140517677	-1.21998654217329	0.223864802600681	0.00467381770290931	0.671594407802044
16p	301.709383660441	256.087175416606	1.17815108534668	0.240095565839069	0.00419231321390767	0.672267584349393
11q	-174.962816241416	173.053220142454	-1.01103473311499	0.31318585766487	0.00243252604505684	0.822112876370283
15q	-157.411439591512	174.992557468901	-0.899532196502054	0.369419549275381	0.00140493687814347	0.874795336738651
20p	-135.747352628636	152.655777335061	-0.889238226016737	0.374912287173707	0.00131601761779354	0.874795336738651
Xp	144.10099369882	181.779456931963	0.792724305215381	0.428850477246137	0.000531424810462755	0.922153719794859
12p	147.705618040229	190.543052995363	0.775182383814452	0.439120818949933	0.00039836886290523	0.922153719794859
2p	-152.399594109156	223.065844467103	-0.683204524086751	0.495245283218308	-0.00025106189317059	0.931921100998564
1p	114.137991173306	172.910738884153	0.660097758588472	0.509928478115554	-0.000401458163162394	0.931921100998564
16q	134.101421263881	204.189898895244	0.656748556071713	0.512075610476813	-0.000422831642752586	0.931921100998564
18p	-105.48244412823	168.967217019409	-0.624277572827122	0.533136060800173	-0.000624458766651959	0.931921100998564
14q	-105.734242004392	178.70231729584	-0.591678068893478	0.554714941070574	-0.000816677269430244	0.931921100998564
9q	93.0650250905208	169.782249184187	0.54814343394379	0.584186914601815	-0.00105740498115825	0.933893777183137
7q	-55.7643905036038	106.279884718286	-0.52469374286035	0.600360285332016	-0.00117949571052023	0.933893777183137
3q	87.6842066493687	194.967236363895	0.449738162599336	0.653372116229739	-0.0015341244941649	0.969770127445796
2q	-101.339726885228	240.088341756976	-0.422093493351738	0.673396959122796	-0.00165120028980148	0.969770127445796
21p	-56.7768442062231	143.463452388391	-0.395758245469474	0.692692948175569	-0.00175584835730702	0.969770127445796
12q	70.9949088113745	239.829728388585	0.296022137407189	0.767511374311542	-0.00209122330886213	0.995826464361486
19p	48.7217528833187	214.490669466047	0.227150919919298	0.820531657242192	-0.0022664557064529	0.995826464361486
20q	-24.7679511062774	153.527734231475	-0.161325582183962	0.871995083153574	-0.00239085529979377	0.995826464361486
13q	20.9278845970414	168.417035076352	0.124262278976434	0.90122878021676	-0.002442356955344	0.995826464361486
6p	13.6816656642625	111.279262048856	0.122948925184782	0.902267410728304	-0.00244393678478594	0.995826464361486
5q	18.8086824013024	166.912734884922	0.112685724155619	0.910389452536182	-0.00245570439004217	0.995826464361486
18q	-11.6580376209844	175.59364542006	-0.0663921384688817	0.947130018700013	-0.00249604583047791	0.995826464361486
6q	8.30642544914967	144.053207857349	0.0576622039363069	0.954073593529312	-0.00250131608265192	0.995826464361486
19q	5.5422837487657	191.415445130414	0.0289542139349814	0.976929138421822	-0.00251341701878838	0.995826464361486
7p	-2.40525454260045	96.8418729467922	-0.0248369271412374	0.980209079016619	-0.00251449483211519	0.995826464361486
8p	1.60779928542394	120.493572060788	0.0133434444504046	0.989366701412842	-0.00251663040728056	0.995826464361486
11p	0.902863985052571	172.39680600126	0.00523712710226182	0.995826464361486	-0.00251736341235009	0.995826464361486
