estimate	std_error	t_value	p_values	r_sq	FDR
del36_16p12.2 	140.57089680654	61.6315066663648	2.28082849844162	0.0251529888545377	0.0348255239092755	0.997015051493744
amp21_17q25.1 	-60.5895286494016	30.6150984642051	-1.97907345358508	0.051163932095095	0.0203850241642588	0.997015051493744
del16_9p21.3  	65.4779808297802	36.2122802757979	1.80817060762511	0.0742461729141674	0.0129491097150636	0.997015051493744
amp3_1q21.2  	-48.2527084021603	27.766954232069	-1.73777462226778	0.0860046979359246	0.0100511051091812	0.997015051493744
del45_19q13.42	-60.8941098453951	38.2289272496413	-1.59288042397178	0.115034737099901	0.00439984602666299	0.997015051493744
del41_17q11.2 	93.315331681195	58.9550712214525	1.58282111695999	0.117311784786895	0.00402348154315835	0.997015051493744
del27_11q24.3 	66.4146894405152	46.0778531353578	1.4413581562799	0.153291594728421	-0.00104431903373969	0.997015051493744
del13_6q27    	66.8051360639989	48.4837273313902	1.37788779330806	0.171986614035408	-0.0031793425804949	0.997015051493744
amp24_22q11.21	-40.6814264564575	29.9545847448955	-1.35810350244932	0.178155951661018	-0.0038269912612845	0.997015051493744
del37_16q12.1 	72.4461500537798	55.6948158583362	1.3007700795358	0.196980781534276	-0.00565543022642223	0.997015051493744
amp20_16p11.2 	-63.4227968202385	48.854803937002	-1.29818956805193	0.197861698390916	-0.00573602472140178	0.997015051493744
del38_16q24.3 	69.113042732859	54.2808364514252	1.27324940533492	0.206527297668189	-0.00650736019006137	0.997015051493744
amp25_22q13.2 	-36.7003069233669	29.8427695393786	-1.22978890665424	0.22229295154807	-0.00781843747390831	0.997015051493744
del3_1q21.3  	-35.7211364961453	30.906451351457	-1.15578252870048	0.251126637513153	-0.00995350734641964	0.997015051493744
del30_12q24.33	66.0823669965362	64.3708877711046	1.02658778346381	0.307633442476223	-0.0133820909011448	0.997015051493744
del6_3q28    	59.500178264181	58.5151670180274	1.01683343475462	0.312223517987306	-0.0136253525809118	0.997015051493744
amp10_7q34    	-26.392622413487	26.0911245522002	-1.01155557173029	0.314726172675397	-0.0137560560531662	0.997015051493744
del18_9q34.3  	52.0325785427642	53.8063711573159	0.967033781011442	0.336370682239574	-0.0148328264223601	0.997015051493744
del14_7q34    	-24.9537435590433	27.7513051512311	-0.89919171091441	0.371183517234175	-0.0163844363787924	0.997015051493744
del11_5q31.3  	-37.8495297670004	43.5184611563305	-0.869735021903331	0.38698403441684	-0.0170243921888973	0.997015051493744
amp27_xq28    	-43.3646370997742	49.934270220038	-0.868434382012305	0.387691197776762	-0.0170521759226989	0.997015051493744
del43_19p13.2 	-34.2559691606324	39.631621081451	-0.864359524689376	0.389911903136834	-0.0171389619240712	0.997015051493744
amp16_12q15   	-18.4697375932995	22.7016752650498	-0.813584785160524	0.418239040333182	-0.0181872968330425	0.997015051493744
del12_6p22.1  	-27.475929818201	33.8004473309497	-0.812886573635445	0.418636986131589	-0.0182012850250355	0.997015051493744
del20_10q11.22	45.8089275282302	57.3231244897907	0.799135216999361	0.426520725313045	-0.0184744135463313	0.997015051493744
del23_10q26.3 	48.0240346614914	61.0348256662572	0.786830045588895	0.433649549793509	-0.0187149888229146	0.997015051493744
amp17_14q11.2 	-26.8693527725579	35.7340100913727	-0.751926601684287	0.454248100792524	-0.0193776520380022	0.997015051493744
del32_14q11.2 	-26.8693527725579	35.7340100913727	-0.751926601684287	0.454248100792524	-0.0193776520380022	0.997015051493744
amp7_5q31.3  	-23.3497609180901	31.1218331681685	-0.750269458483321	0.455239853651632	-0.019408387291876	0.997015051493744
del40_17p11.2 	37.150081030998	50.3113339260575	0.738403817430032	0.462377267812782	-0.0196265330464376	0.997015051493744
del21_10q11.23	44.645348638624	61.0265326137236	0.731572755758766	0.466514959054612	-0.0197505841256413	0.997015051493744
amp6_5p15.33 	-19.0325023810834	28.2228426828308	-0.674365179828669	0.501975963412848	-0.02074529732694	0.997015051493744
amp8_6p22.1  	-21.823758186016	33.1106603394831	-0.659115763994354	0.511668163493355	-0.0209970932828283	0.997015051493744
del15_8p21.3  	-24.774822368753	37.8100206455196	-0.655244878097911	0.514144153075647	-0.0210601117111759	0.997015051493744
amp15_12q14.1 	-15.8530364879663	24.8500356540401	-0.637948239136184	0.525284904977295	-0.021337260144223	0.997015051493744
del7_4q13.2  	34.2137078255588	54.2395420996757	0.630789024042357	0.529932693773864	-0.0214498476417444	0.997015051493744
amp19_15q26.3 	-20.4987524996878	32.6565789920053	-0.62770667143996	0.531940302511852	-0.0214979377141065	0.997015051493744
del1_1p36.13 	30.700549028445	57.5053449533366	0.533872965258401	0.594873764029555	-0.0228510211371038	0.997015051493744
del17_9q21.11 	-21.4996936161114	46.5895210012894	-0.461470587248929	0.645682849981153	-0.0237476195426871	0.997015051493744
del8_4q13.2  	26.3285342180482	60.4182338321813	0.435771331733708	0.664147667676529	-0.024034832856952	0.997015051493744
del46_22q13.33	13.8934339537534	34.0143389531413	0.408458149749529	0.684002049174678	-0.0243222091691173	0.997015051493744
amp4_1q44    	-13.8873577425463	39.1228602123733	-0.354967854271407	0.723525037290824	-0.0248315375218702	0.997015051493744
del22_10q23.31	18.7447214461353	55.0743644166463	0.340352932706195	0.734461137580852	-0.0249583632146084	0.997015051493744
amp23_20q13.33	-15.9033780932366	47.3696087535813	-0.335729563990419	0.737932302620814	-0.024997380229324	0.997015051493744
del10_5p15.2  	-13.99049239961	43.1155416471271	-0.324488383194003	0.746394638932662	-0.0250900313891695	0.997015051493744
amp2_1p12    	-8.46654388056887	26.5664381593341	-0.318693226009078	0.750769493697383	-0.0251365695708352	0.997015051493744
amp18_15q25.1 	-10.1449701346519	33.4482763330165	-0.303303226559327	0.76242697351135	-0.0252561079711668	0.997015051493744
del42_17q21.2 	-14.6532764647861	48.3177824472699	-0.303268811659092	0.762453104543423	-0.0252563686829008	0.997015051493744
del9_4q35.1  	19.2133575308035	70.2563937501975	0.273474861222143	0.785175845702861	-0.0254710200373665	0.997015051493744
del39_17p12   	9.07548644653	33.7294656875389	0.269067008964891	0.788553970543148	-0.0255009004481206	0.997015051493744
amp22_19q13.43	-12.2994175679993	46.2862879791739	-0.265724863776792	0.791118056015416	-0.0255232340359701	0.997015051493744
amp9_7p21.3  	-8.25259738980047	31.5421762759614	-0.261636905380237	0.794257457340407	-0.0255501732153682	0.997015051493744
amp5_3p13    	-7.59826223069836	35.4012555474011	-0.214632563540707	0.83058667594002	-0.0258300003738159	0.997015051493744
del35_15q14   	8.93174880038832	48.6173297968675	0.183715330268175	0.854690316192043	-0.025984009328089	0.997015051493744
del31_13q34   	-7.69830677730081	42.0563632175877	-0.183047372343442	0.855212682554062	-0.0259870732915946	0.997015051493744
del47_xp22.33 	-9.19697295111717	50.6385690672945	-0.181619921741768	0.856329214975455	-0.0259935837455603	0.997015051493744
amp1_1p36.22 	9.07681815456653	54.0311580796986	0.167992293283401	0.867002987495984	-0.0260531757827511	0.997015051493744
amp12_11q12.3 	7.28319029662883	46.5839177466456	0.156345594121981	0.876144899713656	-0.026100428535655	0.997015051493744
del25_11q11   	-6.43119740487617	44.9918489779092	-0.142941389406642	0.886687132934911	-0.0261506161666736	0.997015051493744
del34_15q11.2 	4.5362834292818	32.3602213057366	0.140180853104291	0.888860861383486	-0.0261603944056541	0.997015051493744
del2_1p21.1  	-4.24720475859987	41.3578442220893	-0.102694055710269	0.918456518082266	-0.0262743161259562	0.997015051493744
del33_14q32.33	3.31943787280329	33.1253554911846	0.100208369799584	0.920423498769319	-0.0262806275871565	0.997015051493744
del4_2p11.1  	-7.10609842949426	71.3294719979607	-0.0996235949944705	0.920886317091934	-0.0262820899438876	0.997015051493744
del26_11q12.3 	4.61413847327531	46.4790805852344	0.0992734454979977	0.921163454966973	-0.0262829614742706	0.997015051493744
del29_12q13.13	-5.57840525691511	64.3718517159208	-0.086659077037789	0.931153768517656	-0.0263123132491623	0.997015051493744
amp26_xp22.2  	2.72192535870784	34.5076435968483	0.0788789113075355	0.937321111233236	-0.0263284315499874	0.997015051493744
del44_19q12   	-4.06654271835395	56.4463699100116	-0.0720425906012547	0.94274344267199	-0.0263413442947515	0.997015051493744
del28_12p13.31	2.86072679979969	49.1248014461265	0.0582338597935496	0.953704027991084	-0.0263638596960405	0.997015051493744
amp11_8q24.21 	-1.01304989326231	23.56655688366	-0.0429867586624296	0.965816591975414	-0.0263831764425033	0.997015051493744
del24_11p15.5 	1.35259462969036	44.4930659750912	0.0304001219077055	0.975821817790805	-0.0263947380681793	0.997015051493744
del5_2q37.3  	0.883451090734288	46.5363886044448	0.0189840921744819	0.984899912779288	-0.0264017947720609	0.997015051493744
del19_10p11.21	0.39377131612564	34.5887481182794	0.0113843760629643	0.990944430587557	-0.0264046836096101	0.997015051493744
amp14_12p13.31	-0.302024586328523	49.6313821785173	-0.00608535513361652	0.995159399505599	-0.0264058423507703	0.997015051493744
amp13_11q13.3 	0.124871636738955	33.2768305200874	0.00375250992319046	0.997015051493744	-0.0264061296218938	0.997015051493744
