estimate	std_error	t_value	p_values	r_sq	FDR
del27_11q24.3 	-14.3274110017121	4.78888378086107	-2.9918059525629	0.00311179876018333	0.0411838881685327	0.230273108253566
amp24_22q11.21	7.8102282319449	3.14715301468288	2.48168048884394	0.013876446672159	0.0285651639507155	0.422428691652464
amp21_17q25.1 	8.30100142384103	3.45372901938507	2.4034894970767	0.0171254874994242	0.0268130119779342	0.422428691652464
del17_9q21.11 	10.5921247609786	4.69383232343329	2.25660484463813	0.025082603431953	0.0236573163968047	0.464028163491131
del6_3q28    	11.2149122636006	5.50517216449388	2.03715922563371	0.0429130467334713	0.0192796976272157	0.618865171361804
del42_17q21.2 	9.01585597811586	4.76062426104993	1.89383901852558	0.0596476971354071	0.0166434155561208	0.618865171361804
amp27_xq28    	7.52043773268766	4.00799208535837	1.876360425002	0.0620198623299582	0.016334133415585	0.618865171361804
del46_22q13.33	6.98884177705242	3.84478144910167	1.81774747656603	0.0705554567863389	0.0153165435074848	0.618865171361804
del19_10p11.21	7.3497754600315	4.19742486249237	1.75102013753912	0.081430888990864	0.014194950848272	0.618865171361804
del40_17p11.2 	-6.42481008925983	3.69576902092164	-1.73842305969047	0.0836304285624059	0.0139876387022844	0.618865171361804
del16_9p21.3  	6.15904486248427	3.71397737863554	1.65834205073888	0.0987703174493415	0.0127027937488218	0.664454862841025
del7_4q13.2  	-7.16185384091427	4.72769759400225	-1.51487139321265	0.131337830375152	0.0105448914354486	0.728275572361249
amp6_5p15.33 	4.33928580285452	2.91965212781205	1.48623384324431	0.138746126122406	0.010136464939248	0.728275572361249
del22_10q23.31	7.67694467500377	5.3336943331201	1.43932970199155	0.151574916837047	0.00948366050193017	0.728275572361249
del14_7q34    	-4.12179765534344	2.97693206062293	-1.38457901336215	0.167679099843899	0.0087470943453728	0.728275572361249
del9_4q35.1  	-7.60398188434923	5.70082748596791	-1.33383827226236	0.183729682097826	0.00808904950162948	0.728275572361249
del1_1p36.13 	-6.27059163191749	4.7759372972542	-1.31295518379661	0.190658766200947	0.00782511200134506	0.728275572361249
del18_9q34.3  	6.53825371305244	5.03591730068714	1.2983242818861	0.195627556874218	0.00764259379108001	0.728275572361249
amp4_1q44    	3.84517970399763	3.13032238441838	1.22836539876453	0.220711366319968	0.00679726395109537	0.728275572361249
amp8_6p22.1  	-2.46821946005516	2.01548987813059	-1.22462508337897	0.22211507109894	0.00675334777608483	0.728275572361249
amp13_11q13.3 	-2.78847268926623	2.34713405149028	-1.18803299176531	0.236188331225486	0.00633057457311337	0.728275572361249
del32_14q11.2 	-4.22124152587593	3.66247337061201	-1.15256579330993	0.250424360983127	0.00593270843850813	0.728275572361249
del25_11q11   	-4.79138300120844	4.18349821719585	-1.14530537661375	0.253411507146542	0.00585271043597835	0.728275572361249
