estimate	std_error	t_value	p_values	r_sq	FDR
del44_19q12   	1.57178559351329e-15	1.68882323375606e-16	9.30698703154102	2.00909170812349e-17	1	9.24182185736805e-16
del29_12q13.13	1.45269325804683e-15	2.41161360033347e-16	6.02373969795972	7.73114142102583e-09	1	1.77816252683594e-07
del22_10q23.31	1.44108545106463e-15	3.313260771054e-16	4.34944772127367	2.14583867770671e-05	1	0.000329028597248362
del15_8p21.3  	5.36520900782751e-16	1.31602906255618e-16	4.07681650844887	6.5193751622448e-05	1	0.000728763284467569
del21_10q11.23	-1.47323936721614e-15	3.65785344418236e-16	-4.02760632621641	7.92134004856053e-05	1	0.000728763284467569
amp13_11q13.3 	-3.21401164597585e-16	8.28057921980179e-17	-3.88138505853554	0.000139809940494345	1	0.00107187621045664
del38_16q24.3 	-7.45440117546332e-16	2.49060073122655e-16	-2.99301332485848	0.00310003241846368	1	0.020371641607047
del37_16q12.1 	7.95901131545764e-16	2.86332557933471e-16	2.77963895300614	0.00594568935965073	1	0.0341877138179917
amp21_17q25.1 	-2.3794780242696e-16	9.07664452640107e-17	-2.62153928949014	0.00940648485997266	1	0.0475139521998015
del14_7q34    	8.13080373379294e-16	3.14124563276856e-16	2.58840112628403	0.0103291200434351	1	0.0475139521998015
amp1_1p36.22 	-5.60277110628752e-16	2.63416405891473e-16	-2.12696361387447	0.03461259131427	1	0.14175789965115
del42_17q21.2 	1.28280994354872e-15	6.10974079330673e-16	2.09961434854003	0.0369803216481262	1	0.14175789965115
del11_5q31.3  	6.40807534621478e-16	3.1515478472462e-16	2.03331050544389	0.043303768519325	1	0.153228719376073
amp24_22q11.21	-2.14794554986335e-16	1.13054119373132e-16	-1.89992683307198	0.058839476940636	1	0.193329709947804
del35_15q14   	-3.38043847216205e-16	2.45897240309266e-16	-1.37473623856472	0.170706729755673	1	0.523500637917398
del5_2q37.3  	-3.44835937494572e-16	2.60189793392693e-16	-1.3253246139987	0.186531516332974	1	0.536278109457301
del31_13q34   	6.08352856429325e-16	5.20869828338782e-16	1.16795564521284	0.244174636410512	1	0.62843207255499
amp26_xp22.2  	-4.50433700957063e-16	3.87415413047568e-16	-1.16266334737115	0.246311240798082	1	0.62843207255499
del27_11q24.3 	-6.62176048936877e-16	6.01820194995321e-16	-1.10028884780449	0.272490375307011	1	0.62843207255499
del47_xp22.33 	7.36458589237069e-16	6.88540738607442e-16	1.06959334131273	0.286054064656471	1	0.62843207255499
amp16_12q15   	1.62053322244165e-16	1.51773982002553e-16	1.06772794721455	0.286892902688148	1	0.62843207255499
amp2_1p12    	4.56390771085921e-16	4.65033090600542e-16	0.981415689142764	0.327538998145006	1	0.659621131978325
amp23_20q13.33	-5.96141365695739e-16	6.10296163471298e-16	-0.976806674164477	0.329810565989163	1	0.659621131978325
del3_1q21.3  	1.99130466673717e-16	2.39480078088944e-16	0.831511615758528	0.40664746379677	1	0.749825909461211
del18_9q34.3  	-6.8653880899307e-16	8.43578753548621e-16	-0.81384080159091	0.416675872094133	1	0.749825909461211
amp17_14q11.2 	1.25194744505833e-16	1.60853304225406e-16	0.778316274624956	0.437275634811789	1	0.749825909461211
del13_6q27    	3.26541431986493e-16	4.24653399985867e-16	0.768959890577493	0.442797843278764	1	0.749825909461211
amp8_6p22.1  	6.91227708427315e-17	9.26368394928281e-17	0.746169355746242	0.456415770976389	1	0.749825909461211
del2_1p21.1  	6.2784914806618e-16	8.98806265577188e-16	0.698536683723486	0.485629456678451	1	0.770308793352027
amp22_19q13.43	2.69508305059967e-16	4.09675097233024e-16	0.657858646718452	0.511363419122852	1	0.777349348142432
amp11_8q24.21 	1.57965963369977e-16	2.50720262190231e-16	0.630048652590042	0.529360985349784	1	0.777349348142432
del32_14q11.2 	-2.5109242809034e-16	4.187975417129e-16	-0.599555639852519	0.549461278233886	1	0.777349348142432
del34_15q11.2 	-1.24968874463085e-16	2.12795291278043e-16	-0.587272743266667	0.557663662797832	1	0.777349348142432
amp3_1q21.2  	8.41221935672969e-17	1.63984205240046e-16	0.512989610457641	0.60850826035553	1	0.823275881657481
amp12_11q12.3 	-1.16290047338759e-16	2.75521522787136e-16	-0.422072461571734	0.673412285248542	1	0.885056146326655
amp6_5p15.33 	1.21005044247288e-16	3.39426385487695e-16	0.356498638352541	0.721832042416487	1	0.891274594602204
del25_11q11   	-2.84124046882289e-16	8.26158457980452e-16	-0.343909868788163	0.731264847477622	1	0.891274594602204
del16_9p21.3  	1.27579131144904e-16	3.88541049294042e-16	0.328354317714199	0.742977299909077	1	0.891274594602204
del24_11p15.5 	1.65613777098989e-16	5.73963744446962e-16	0.288543969373127	0.773220509873357	1	0.891274594602204
del43_19p13.2 	-6.95841673674101e-17	2.63036220941346e-16	-0.264542149816418	0.791626679944846	1	0.891274594602204
amp18_15q25.1 	1.05337117035809e-16	4.03678205714574e-16	0.260943284885409	0.794396921275878	1	0.891274594602204
amp20_16p11.2 	1.65398135916133e-16	8.3961747789876e-16	0.196992249768383	0.844027824199023	1	0.913679212901479
del19_10p11.21	3.61161453737262e-17	2.4658603461234e-16	0.146464682927014	0.883697798930755	1	0.913679212901479
del30_12q24.33	1.04590055336121e-16	7.14349807859155e-16	0.146412939690666	0.883738592119848	1	0.913679212901479
amp25_22q13.2 	4.2744443980057e-17	3.19844361691091e-16	0.133641386560818	0.893816621316664	1	0.913679212901479
amp9_7p21.3  	-4.50163280137716e-17	5.03267745127326e-16	-0.0894480690440086	0.928812727164919	1	0.928812727164919
