estimate	std_error	t_value	p_values	r_sq	FDR
amp5_3p13    	-0.365506971802328	0.0669013753561296	-5.46337007059511	4.89655490236527e-07	0.237847021527874	3.6234506277503e-05
amp20_16p11.2 	-0.446442921231597	0.0971007463367007	-4.59772903993486	1.53357128798814e-05	0.173489098127312	0.000567421376555613
del10_5p15.2  	-0.36284748238119	0.0863512079206238	-4.20199660339121	6.6940328673058e-05	0.144608077507264	0.00165119477393543
amp21_17q25.1 	-0.25385474049936	0.0632088091415304	-4.01612914318566	0.000130378717881466	0.131293033062448	0.00241200628080712
del36_16p12.2 	0.484023489761691	0.129650673188091	3.7332894450883	0.000347564360977733	0.111446044542548	0.00342402296877397
amp25_22q13.2 	-0.22872047075951	0.0614649866305529	-3.72115058178209	0.000362155682573871	0.110607167131204	0.00342402296877397
amp17_14q11.2 	-0.271909816014537	0.0731986343453268	-3.71468427582619	0.000370164645272862	0.110160772274025	0.00342402296877397
del32_14q11.2 	-0.271909816014537	0.0731986343453268	-3.71468427582619	0.000370164645272862	0.110160772274025	0.00342402296877397
del37_16q12.1 	0.371764575667315	0.117167142843217	3.17294223146483	0.00212452168826673	0.0740973419982426	0.0174682894368598
del38_16q24.3 	0.349301728004593	0.114632313723538	3.04714889422029	0.00310788138682591	0.0661610115319187	0.0229983222625118
del31_13q34   	0.25850911403099	0.088316739039207	2.92706815087713	0.00442670224605455	0.0587640579482512	0.0297796332916397
del9_4q35.1  	0.411632588763393	0.148279528381149	2.77605811980533	0.00681486528812551	0.0497277009374857	0.0420250026101073
amp4_1q44    	0.227000713117927	0.0826736175328869	2.74574549768102	0.00741782281627393	0.0479513052163731	0.0422245298772516
del4_2p11.1  	0.397176293042783	0.151162792057575	2.62747391495327	0.010264913228958	0.0411458887945481	0.0542573984959208
del23_10q26.3 	0.325068403470944	0.130326755142949	2.49425686317742	0.0146308927506691	0.0337301305941934	0.072179070903301
amp6_5p15.33 	-0.1484958048444	0.0602542884594166	-2.46448524480406	0.015810120233866	0.0321104617693179	0.07312180608163
del27_11q24.3 	0.237955247294313	0.0995401682943617	2.39054495659108	0.0191149021932726	0.0281492645770824	0.0832060448413041
del29_12q13.13	-0.31144995855088	0.137815568499697	-2.25990402928653	0.0264789639237708	0.0213709796395684	0.108857962797724
del3_1q21.3  	0.146203262447433	0.0668253075518557	2.18784271713199	0.0315274191716342	0.017756819820965	0.12279100098426
del47_xp22.33 	0.23197818816375	0.108780306267295	2.13253847248538	0.035953584376869	0.0150451055875553	0.133028262194415
del5_2q37.3  	0.207966935490637	0.10008114060041	2.07798326680727	0.0408387658555171	0.0124239849360775	0.143908032062298
amp3_1q21.2  	0.124925929903901	0.0608410410522574	2.05331677011575	0.0432293071944202	0.0112567015068792	0.145407669653959
del33_14q32.33	0.142125790828293	0.0713903838280216	1.99082541943845	0.0498307289612708	0.00834989336187364	0.160324954049306
del42_17q21.2 	0.194517922095462	0.104487372167853	1.86164048400969	0.0662366204027239	0.00257535516906016	0.204229579575066
del44_19q12   	-0.223515806860207	0.122082125652329	-1.83086431093726	0.0707532941535898	0.00124734393188553	0.209429750694626
del14_7q34    	-0.108341274037782	0.0603598543528084	-1.79492272139224	0.0763507451301577	-0.000279895340237424	0.21730596690891
amp23_20q13.33	0.181855191291168	0.102646380505749	1.7716668663342	0.0801649354825485	-0.00125438996280391	0.219711304655874
del30_12q24.33	0.243589114380572	0.140389776684875	1.73509154393303	0.0864815859802465	-0.00276504622373253	0.228558477233509
amp9_7p21.3  	0.117208086618842	0.0684129501111672	1.71324415082796	0.090446188974722	-0.00365449431193676	0.23079372359067
amp27_xq28    	-0.182785488003673	0.108828973450898	-1.67956640780172	0.0968482209718369	-0.00500651620902604	0.238892278397198
amp10_7q34    	-0.0935289870763066	0.0569997197126389	-1.64086749106536	0.104655408972329	-0.0065313336417685	0.249822589159753
del13_6q27    	0.149062532754353	0.106950956946445	1.39374660134172	0.167159990902837	-0.015523372519697	0.385994090912873
amp24_22q11.21	-0.0910108917944034	0.0660737489487382	-1.37741377237444	0.172132500001687	-0.0160712269465269	0.385994090912873
amp11_8q24.21 	0.0682461088736866	0.0514509671274757	1.32643004949934	0.188379768771601	-0.0177434863871335	0.410003026149955
del17_9q21.11 	-0.12961922583363	0.101932687559995	-1.27161589610144	0.207104513189494	-0.0194768243598409	0.422406376067455
del11_5q31.3  	-0.120788310772098	0.0955383573010031	-1.26429126671649	0.209707400346618	-0.0197033400182285	0.422406376067455
del24_11p15.5 	0.122529799356038	0.0972372018528806	1.26011235433764	0.211203188033727	-0.019832032321748	0.422406376067455
del22_10q23.31	-0.134363307112568	0.12069833945981	-1.11321587118692	0.268868408266428	-0.0241034269309754	0.52188005774987
del39_17p12   	0.0812216323469093	0.0739144259445006	1.09886035518825	0.275044895300607	-0.02449426807199	0.52188005774987
del46_22q13.33	-0.0736567173881	0.0746870634227974	-0.986204491280307	0.326933846686953	-0.0273946033557586	0.589442443030712
del45_19q13.42	0.0838870230527255	0.0851444403121582	0.985231951084267	0.327408325565853	-0.0274183445718386	0.589442443030712
del12_6p22.1  	0.0720364663672035	0.0744565563194232	0.967496617197317	0.336140767584242	-0.0278473721590313	0.589442443030712
