estimate	std_error	t_value	p_values	r_sq	FDR
amp26_xp22.2  	3.51678456622284	1.33603462897745	2.63225554932992	0.0101328552462973	0.0442208245655363	0.749831288225998
del17_9q21.11 	2.76203450958445	1.85594191810571	1.48821171753239	0.140530828505475	-0.00927974531728681	0.987448540260455
del36_16p12.2 	3.46692271285531	2.53371257181525	1.36831728721758	0.174950355129959	-0.013401011752407	0.987448540260455
del18_9q34.3  	2.89937582279762	2.15808361395568	1.34349559213008	0.182817741020095	-0.014214970997029	0.987448540260455
amp11_8q24.21 	1.24695487460857	0.940138455780496	1.3263523760161	0.188405371698649	-0.0147691834408681	0.987448540260455
del13_6q27    	2.11953769867183	1.96336967822984	1.07954081300817	0.283511837251618	-0.0220146505735082	0.987448540260455
del1_1p36.13 	2.46797732053341	2.30648617490114	1.07001609087866	0.287751623958499	-0.022266315438203	0.987448540260455
amp16_12q15   	-0.926053456689638	0.913267493057461	-1.01400023950198	0.313565296347811	-0.0237036256301257	0.987448540260455
amp17_14q11.2 	-1.39604271331231	1.43744245639689	-0.971199025811197	0.334305297867497	-0.0247523310210427	0.987448540260455
del32_14q11.2 	-1.39604271331231	1.43744245639689	-0.971199025811197	0.334305297867497	-0.0247523310210427	0.987448540260455
del16_9p21.3  	-1.39224709881674	1.48087286695564	-0.940153020481027	0.349900376365703	-0.0254859916517085	0.987448540260455
del38_16q24.3 	1.9659908858812	2.19933854354182	0.893900982936061	0.373991026157179	-0.0265366156579838	0.987448540260455
del41_17q11.2 	2.08674182924666	2.40196614872651	0.868764045801819	0.387511882344618	-0.0270862370857745	0.987448540260455
del6_3q28    	1.99381977791073	2.36381579775565	0.843475104872295	0.401416611092344	-0.027623932507971	0.987448540260455
del25_11q11   	-1.50969704202898	1.80653566203275	-0.835686266126754	0.40575989024843	-0.0277864508562367	0.987448540260455
del14_7q34    	0.922136900672932	1.11976196257554	0.823511542178073	0.412605859104053	-0.0280375639243249	0.987448540260455
del19_10p11.21	-1.11660961173872	1.38909171197743	-0.80384153336368	0.423812690552533	-0.0284357376889928	0.987448540260455
amp15_12q14.1 	-0.800088692887738	1.00049586920876	-0.799692150173977	0.426199728512728	-0.0285185416418705	0.987448540260455
del23_10q26.3 	1.87984773213169	2.46134188507067	0.763749133565699	0.447208743769391	-0.029218409299647	0.987448540260455
amp13_11q13.3 	-1.00433776473636	1.33706681603669	-0.751150019348621	0.454712708625653	-0.0294563339094167	0.987448540260455
amp22_19q13.43	-1.39651310305593	1.86059846373139	-0.750571996203446	0.455058700883786	-0.0294671571012628	0.987448540260455
del37_16q12.1 	1.68417896943135	2.26092161642843	0.744908163641622	0.458456927297043	-0.0295727806522823	0.987448540260455
del7_4q13.2  	1.53305628916998	2.18558782339568	0.701438886490555	0.48501515022553	-0.0303574741699062	0.987448540260455
del3_1q21.3  	-0.869277480790083	1.25252521518412	-0.69401994486977	0.489631212726284	-0.0304868012569728	0.987448540260455
amp3_1q21.2  	-0.75318270649189	1.13690066662811	-0.66248769888202	0.509516501175317	-0.0310214732670062	0.987448540260455
del43_19p13.2 	-0.999664440309832	1.60133401651421	-0.624269783818062	0.534183446124454	-0.0316368745751296	0.987448540260455
del8_4q13.2  	1.51593929100853	2.43301531226351	0.623070181008523	0.534967530982759	-0.0316556108853021	0.987448540260455
amp1_1p36.22 	1.34848592467194	2.17371400770667	0.620360323341078	0.536740922221925	-0.0316978053424106	0.987448540260455
del22_10q23.31	-1.35508762054064	2.21701746469416	-0.611220994926881	0.542744021199131	-0.0318387802709836	0.987448540260455
del29_12q13.13	-1.55555616234746	2.58977915741858	-0.600652050925453	0.549728381293068	-0.0319992451906368	0.987448540260455
amp10_7q34    	0.62675123015249	1.05622253986487	0.593389372501626	0.554553850205359	-0.0321079179894117	0.987448540260455
amp18_15q25.1 	-0.790709181417689	1.3464991665236	-0.587233324071894	0.558660506440742	-0.0321990145247484	0.987448540260455
amp25_22q13.2 	-0.689382116011387	1.21186018659249	-0.568862748061548	0.571004101645194	-0.0324653050782264	0.987448540260455
amp7_5q31.3  	-0.713410452135031	1.25660566379601	-0.567728184496581	0.571770755295457	-0.0324814780902682	0.987448540260455
del42_17q21.2 	1.08020792052969	1.94552013072395	0.555228344066395	0.580250039964619	-0.032657556523165	0.987448540260455
del44_19q12   	-1.18295119184105	2.27213058781041	-0.520635212688647	0.604023928875443	-0.0331247064680813	0.987448540260455
amp21_17q25.1 	-0.650191837594988	1.26143637206043	-0.515437680406316	0.607634072665146	-0.033192333695649	0.987448540260455
