estimate	std_error	t_value	p_values	r_sq	FDR
del6_3q28    	37.474017453513	16.4440854766979	2.27887513152468	0.0252742470881167	0.0155092573909654	0.954794255001431
del17_9q21.11 	28.3911236069654	13.0630491397034	2.17339177885157	0.0326354677772476	0.0101778815859718	0.954794255001431
del36_16p12.2 	35.8864523466315	17.8684744866403	2.00836687952644	0.0478959770311287	0.00223829635927864	0.954794255001431
del46_22q13.33	17.6558838733556	9.60943180760587	1.83734941116716	0.0697807308171329	-0.0054478648783638	0.954794255001431
del44_19q12   	-29.1611657111446	15.9334916336302	-1.83018050165447	0.0708565008977748	-0.00575759613148219	0.954794255001431
del18_9q34.3  	26.7963567572849	15.2994506060564	1.751458758047	0.0836060384101891	-0.0090911359564243	0.954794255001431
del3_1q21.3  	-13.4496155372847	8.84870551243804	-1.51995289236143	0.13236947158144	-0.0181557052742674	0.954794255001431
amp5_3p13    	14.5396429643926	10.0703433749469	1.44380806324484	0.152602832675439	-0.0208883389733763	0.954794255001431
amp3_1q21.2  	-11.3623095735008	8.04483531375472	-1.4123731723972	0.161624157136487	-0.0219795872518143	0.954794255001431
amp21_17q25.1 	-10.9979410833356	8.94238826084931	-1.22986620157007	0.222264153673839	-0.0278808096893677	0.954794255001431
del11_5q31.3  	-15.0548749861425	12.4796500371341	-1.20635393952119	0.231150033099248	-0.0285863142588252	0.954794255001431
amp7_5q31.3  	-10.7339719726527	8.91455769984659	-1.20409473291506	0.232017193862425	-0.0286534369018867	0.954794255001431
amp25_22q13.2 	9.58273450766644	8.60806074112633	1.11322803077858	0.268863218014076	-0.0312555854064001	0.954794255001431
del38_16q24.3 	16.9041002597409	15.6745241978511	1.07844423514038	0.283997756164414	-0.0322009264846115	0.954794255001431
amp26_xp22.2  	10.5433325537383	9.8692764690746	1.06829842965448	0.288520827313156	-0.0324713311336193	0.954794255001431
del13_6q27    	14.1088861846468	14.0366072544761	1.00514931627424	0.317781882763451	-0.0340999004149432	0.954794255001431
del37_16q12.1 	14.8691438468725	16.1199325943535	0.922407321484759	0.359022265621583	-0.0360905679781087	0.954794255001431
del35_15q14   	12.7903238669219	13.9320451491014	0.918050704691179	0.361284785562676	-0.0361908488589116	0.954794255001431
del4_2p11.1  	17.4732788969114	20.4515265727123	0.854375287575128	0.395386289836422	-0.0376044173694188	0.954794255001431
amp22_19q13.43	-10.8728984930007	13.2808682380885	-0.81868883103727	0.415336884700226	-0.0383537912746843	0.954794255001431
del31_13q34   	9.66716766129467	12.0665258979811	0.801155837481946	0.425356794847187	-0.0387106322870134	0.954794255001431
del40_17p11.2 	11.3953607812063	14.4819276880607	0.78686767581369	0.433627642847274	-0.0389958963622707	0.954794255001431
amp11_8q24.21 	-5.30380471546292	6.76133636219188	-0.784431424698938	0.435047283589576	-0.039044039466418	0.954794255001431
amp23_20q13.33	10.5662132866505	13.6006775406945	0.77688874359644	0.439459804363026	-0.0391921728446969	0.954794255001431
del23_10q26.3 	13.4189613110744	17.5803915904806	0.763291377328616	0.447480119497574	-0.039455704962845	0.954794255001431
amp13_11q13.3 	-7.2860337798368	9.54906055899497	-0.763010532274146	0.44764666256501	-0.0394611004025738	0.954794255001431
amp19_15q26.3 	6.924239151655	9.39578465930706	0.736951665318995	0.463255112178138	-0.0399533250091633	0.954794255001431
del30_12q24.33	13.603374662883	18.5953725627187	0.731546228342635	0.466531067856476	-0.0400533431982371	0.954794255001431
amp17_14q11.2 	-7.16926100176694	10.295524410506	-0.696347336562197	0.488180523194659	-0.0406870757140847	0.954794255001431
del32_14q11.2 	-7.16926100176694	10.295524410506	-0.696347336562197	0.488180523194659	-0.0406870757140847	0.954794255001431
del5_2q37.3  	9.24697932928041	13.3623880721412	0.692015475030179	0.490882513015864	-0.0407629605353961	0.954794255001431
del47_xp22.33 	9.64133035985353	14.5466667254898	0.662786227373948	0.50932624015243	-0.0412628925845813	0.954794255001431
del22_10q23.31	-9.88110043763238	15.8336882155661	-0.624055513984309	0.534323453900344	-0.0418927894527206	0.954794255001431
amp20_16p11.2 	8.71900560222783	14.1801544667843	0.614873809918736	0.540340614796904	-0.042036663096862	0.954794255001431
del21_10q11.23	-10.3472526799164	17.5943130202161	-0.588102113906197	0.558080032033746	-0.0424442066512765	0.954794255001431
del16_9p21.3  	-5.95699182560477	10.6137313742218	-0.561253306266341	0.576155507903497	-0.042835005397166	0.954794255001431
del41_17q11.2 	-9.58660650102422	17.2024510108433	-0.557281430127686	0.578853214502375	-0.0428912920214684	0.954794255001431
amp4_1q44    	-6.12045233478177	11.2547851057008	-0.543808902373589	0.588048509891311	-0.0430792816049486	0.954794255001431
amp9_7p21.3  	-4.77163906313545	9.07186073236566	-0.525982398088596	0.600320109894476	-0.043321053563689	0.954794255001431
amp24_22q11.21	4.56257021934729	8.70808554754275	0.523946416745384	0.601729134049988	-0.0433481608637851	0.954794255001431
del12_6p22.1  	-5.09190815154732	9.75663632195797	-0.521891765104295	0.603152617256882	-0.0433754115808056	0.954794255001431
del39_17p12   	4.93755536029987	9.70222296134494	0.50890969832087	0.6121821652996	-0.043545148414011	0.954794255001431
del19_10p11.21	-4.62459951418705	9.94760466328716	-0.464895788556485	0.643238243653727	-0.0440891703218391	0.954794255001431
amp2_1p12    	-3.507964156839	7.6454005858389	-0.45883327072967	0.647567795214149	-0.0441602929487019	0.954794255001431
del45_19q13.42	-5.09417033338112	11.1638376145863	-0.456309963405886	0.649373412828906	-0.0441896228875172	0.954794255001431
del15_8p21.3  	-4.70968630933441	10.9044156787834	-0.431906344005024	0.666943056943124	-0.0444650150934367	0.954794255001431
amp16_12q15   	-2.8229325180054	6.55644285755031	-0.430558548185095	0.667918974025225	-0.0444797879627961	0.954794255001431
amp8_6p22.1  	-4.08077024916187	9.54964300805085	-0.427321759119327	0.670265014468808	-0.0445150787413804	0.954794255001431
del20_10q11.22	-7.06440703177333	16.5534148133283	-0.426764333005494	0.670669371207903	-0.0445211297293939	0.954794255001431
del43_19p13.2 	-4.30485865392802	11.4549337590637	-0.375808253847107	0.708029931369197	-0.0450411692430885	0.954794255001431
amp14_12p13.31	-5.11243737808942	14.2814496795353	-0.357977480774611	0.721280017894963	-0.0452076564273205	0.954794255001431
del28_12p13.31	-4.60331482162306	14.1378750062337	-0.325601607001996	0.745555196103481	-0.0454893895228425	0.954794255001431
amp12_11q12.3 	4.19465077612207	13.4090082402078	0.31282334241127	0.755209094674799	-0.0455932785138566	0.954794255001431
del33_14q32.33	-2.81133075202092	9.53480807108973	-0.29484922308453	0.768854265489188	-0.0457324037733491	0.954794255001431
amp27_xq28    	4.16720037549737	14.4384702342615	0.288617859640622	0.773602167149932	-0.0457787234157503	0.954794255001431
amp15_12q14.1 	-1.97856579031687	7.1705996092702	-0.27592752323794	0.783297933286186	-0.0458700074644534	0.954794255001431
del26_11q12.3 	3.6455357914153	13.379566119163	0.272470404417222	0.785945289433283	-0.0458941665754831	0.954794255001431
del25_11q11   	-3.11674361176533	12.9535737672044	-0.240608782393028	0.810458889661107	-0.0461025291239181	0.954794255001431
amp6_5p15.33 	-1.92717771911235	8.14720246966128	-0.236544719035621	0.813599904928819	-0.0461272510749076	0.954794255001431
del27_11q24.3 	3.10437978737643	13.4319400992474	0.231119239993511	0.817797879214328	-0.0461595999990012	0.954794255001431
del14_7q34    	1.8198436908935	8.02847313661551	0.226673697467297	0.821241602605305	-0.0461855481195734	0.954794255001431
del2_1p21.1  	-2.64251442152499	11.9072192092497	-0.221925402991847	0.824923729077555	-0.0462127081429475	0.954794255001431
del29_12q13.13	3.98605979772687	18.5331114883204	0.215077743434442	0.83024073013993	-0.0462508663477661	0.954794255001431
del34_15q11.2 	1.82338630082022	9.31787856658407	0.195686849510926	0.84533938555281	-0.0463524467774084	0.954794255001431
del42_17q21.2 	-2.71833441090434	13.9188817704305	-0.195298333281286	0.845642514316207	-0.0463543842325052	0.954794255001431
amp18_15q25.1 	1.80863042874194	9.63560192391557	0.187702900454295	0.851573254460736	-0.0463914891171613	0.954794255001431
del8_4q13.2  	-2.75052178143167	17.4164322223066	-0.157926821424934	0.874902721345644	-0.046522777670513	0.955954606944075
del9_4q35.1  	-3.10495708246485	20.2384107813361	-0.153419016740595	0.878444773948609	-0.0465406844854606	0.955954606944075
del1_1p36.13 	-2.10565974720532	16.5872320761823	-0.126944612430476	0.899295010235479	-0.046635396438728	0.963254401431982
amp1_1p36.22 	-1.6017636052476	15.5612993106671	-0.102932510535904	0.918267849786068	-0.046705841635331	0.963254401431982
amp10_7q34    	0.721466559352728	7.55990817679619	0.0954332436956235	0.924203547319875	-0.0467248282732058	0.963254401431982
del10_5p15.2  	0.970379692860399	12.4237085973945	0.0781070873687354	0.937933151671913	-0.0467632068630828	0.963986850329466
del7_4q13.2  	-0.671357672798208	15.6573114963557	-0.0428782216509182	0.965902847865874	-0.0468176140357197	0.966260255588028
del24_11p15.5 	-0.543628934613912	12.8128259891678	-0.0424284958738617	0.966260255588028	-0.0468181037904589	0.966260255588028
