estimate	std_error	t_value	p_values	r_sq	FDR
del27_11q24.3 	-449.655982514613	146.003764670244	-3.079756083894	0.00235415211325527	0.0416098449557609	0.17420725638089
amp24_22q11.21	234.542362561313	96.115946859899	2.44020238289061	0.0155244473750284	0.0256469245122111	0.365469436337876
del17_9q21.11 	340.837939184057	143.086407879656	2.38204274071037	0.0181268311309848	0.0243559442860758	0.365469436337876
amp21_17q25.1 	247.833498424089	105.492364945368	2.34930270595826	0.0197551046669122	0.023641439151397	0.365469436337876
amp27_xq28    	263.73560420565	122.012749358716	2.16154136015959	0.0318067225532848	0.0197162012286572	0.470739493788615
del6_3q28    	340.797919335748	168.065626091254	2.02776693403508	0.0438718702265547	0.0171015322165837	0.541086399460841
del46_22q13.33	220.267720534297	117.303297859315	1.87776238651423	0.0618267330935108	0.0143532895276478	0.578625635700402
del40_17p11.2 	-210.469847598331	112.691122244405	-1.86767017140768	0.0632282503676211	0.0141754410269158	0.578625635700402
del42_17q21.2 	264.50743729061	145.418871610317	1.81893473908543	0.0703733881257245	0.0133292193637241	0.578625635700402
del19_10p11.21	220.652659264019	128.161426141358	1.72167762100779	0.0866290787470847	0.011703295480551	0.641055182728427
del16_9p21.3  	184.24548228314	113.402519136107	1.62470361052568	0.10575474539793	0.010166127782429	0.653563246020098
del1_1p36.13 	-230.169074978224	145.517548616533	-1.58172727046663	0.115245961037284	0.00951193810756557	0.653563246020098
amp6_5p15.33 	137.067984069434	89.0911961190872	1.53851323183737	0.125457767725655	0.00887097477686694	0.653563246020098
del7_4q13.2  	-220.121712925202	144.306178125628	-1.52537968771906	0.128698223847292	0.00867953128500321	0.653563246020098
del9_4q35.1  	-254.532601150601	173.87071012811	-1.46391879899184	0.144740416459244	0.00780450668982124	0.653563246020098
del18_9q34.3  	224.606860633018	153.558259271584	1.46268173199188	0.14507847715249	0.00778724832911504	0.653563246020098
del22_10q23.31	235.014026451778	162.811166378729	1.44347609367954	0.150405390027737	0.00752110545375484	0.653563246020098
del14_7q34    	-128.438023464432	90.8557730135074	-1.41364735783313	0.15897484362651	0.00711445136589706	0.653563246020098
amp4_1q44    	125.573017694216	95.5053333160548	1.31482728067823	0.190029799396386	0.00582570442213581	0.685976290754852
amp8_6p22.1  	-74.7197635172536	61.5283503607885	-1.21439569042748	0.225986928219907	0.00460852465985961	0.685976290754852
amp13_11q13.3 	-83.822897013026	71.6558163796158	-1.16979892558828	0.243433555110469	0.00409814149993504	0.685976290754852
del3_1q21.3  	104.04088791903	89.4994118677155	1.16247566043012	0.246387255287742	0.00401610745704883	0.685976290754852
del25_11q11   	-146.834929363602	127.701870767784	-1.14982598516986	0.251548674981637	0.00387558990321057	0.685976290754852
del8_4q13.2  	-184.85929975185	161.777727381731	-1.14267459893077	0.254500029849788	0.00379681243526131	0.685976290754852
del32_14q11.2 	-127.211738601938	111.809458930306	-1.1377547107283	0.256544489393398	0.00374289465235367	0.685976290754852
del44_19q12   	-198.358565791515	177.697479578755	-1.11627112698356	0.265606462926796	0.00351011191785278	0.685976290754852
amp17_14q11.2 	-124.1018796221	111.519518018068	-1.11282654218425	0.267079826859486	0.00347319132384161	0.685976290754852
del36_16p12.2 	216.480354909251	195.357256597343	1.10812548599331	0.269099746992108	0.00342298304975297	0.685976290754852
del26_11q12.3 	-114.44839033086	104.056815983165	-1.09986442742372	0.272674843464873	0.00333525599118656	0.685976290754852
del10_5p15.2  	136.267535528959	127.283143599569	1.07058587394459	0.285608419575744	0.00302950231775234	0.685976290754852
amp12_11q12.3 	-110.365895513229	103.66129400227	-1.0646779646684	0.288268031719999	0.00296878434767123	0.685976290754852
del39_17p12   	-122.719468689245	118.870408596633	-1.03238030505702	0.303104499823546	0.00264266098383792	0.685976290754852
amp10_7q34    	-88.956448549125	86.6686820454846	-1.02639669197277	0.305908345877164	0.00258332187187915	0.685976290754852
del30_12q24.33	-181.169105980679	186.901561177673	-0.969329013835554	0.333517763391175	0.00203438288342739	0.72589160267491
amp25_22q13.2 	68.7309144917382	76.2571587583191	0.901304423228858	0.368479020551158	0.00142034701661042	0.774878352373255
amp2_1p12    	87.3711057957705	103.47597854996	0.844361242291481	0.399447077324904	0.000940151799111777	0.774878352373255
del21_10q11.23	135.332393514671	167.24058532483	0.809207844207289	0.419329250282117	0.000659132835100218	0.774878352373255
amp18_15q25.1 	-75.969815578244	93.9773602743346	-0.808384225269535	0.419801997343908	0.000652690159756553	0.774878352373255
