estimate	std_error	t_value	p_values	r_sq	FDR
amp3_1q21.2  	-3.09243506691396	1.3697815990856	-2.25761177473718	0.0266278964171593	0.0768313746790941	0.998829839210219
amp11_8q24.21 	-1.6126324048936	1.16314399057123	-1.38644262272432	0.169369923940646	0.0419099947831157	0.998829839210219
del3_1q21.3  	-1.98882290717399	1.54010523942884	-1.2913551985003	0.200208942846447	0.0389942475357096	0.998829839210219
amp25_22q13.2 	-1.62477582343515	1.49299317432897	-1.08826741566679	0.279665319946256	0.0334111351362669	0.998829839210219
del35_15q14   	2.39321142068571	2.41354982828465	0.991573238985748	0.324322753343397	0.0310686227220722	0.998829839210219
amp12_11q12.3 	2.21662968429348	2.31338006917088	0.958177911979643	0.340789688962872	0.0303077560906272	0.998829839210219
amp24_22q11.21	-1.42440206909997	1.50416577090013	-0.94697146860852	0.346435639710636	0.0300580131468853	0.998829839210219
del22_10q23.31	2.44612286411461	2.73852965505557	0.893224895191056	0.37435075176168	0.0288993914806567	0.998829839210219
del46_22q13.33	-1.49945254114667	1.69198909677096	-0.886206976160935	0.378097632358151	0.0287529040411268	0.998829839210219
del26_11q12.3 	2.01863003402753	2.31012236061206	0.873819529409128	0.384768484785872	0.0284970504152825	0.998829839210219
amp9_7p21.3  	-1.23731928829051	1.56963087044673	-0.788286795059249	0.432801959089394	0.0268254104237987	0.998829839210219
amp23_20q13.33	-1.82130157061872	2.35824150950456	-0.772313422216606	0.44214910220585	0.0265317012064336	0.998829839210219
del15_8p21.3  	-1.42685043961782	1.88623093009315	-0.756455859594751	0.45154380645831	0.0262458985861045	0.998829839210219
del9_4q35.1  	2.39204128616373	3.49956539352635	0.683525243045504	0.496201932743701	0.0250058614458587	0.998829839210219
del12_6p22.1  	-1.11407501983375	1.68997982798149	-0.659223856632894	0.511599113741302	0.0246199225795086	0.998829839210219
del27_11q24.3 	1.53006465811857	2.32350673881467	0.658515265980732	0.512051852778271	0.0246088743102556	0.998829839210219
del14_7q34    	-0.90233637263175	1.38887506854789	-0.649688653116344	0.517709221431791	0.0244722258716568	0.998829839210219
del16_9p21.3  	1.16544761733295	1.839285451447	0.633641513564994	0.528078299632285	0.0242284220295	0.998829839210219
amp8_6p22.1  	-1.00802945559115	1.6538560919785	-0.609502519886875	0.543876582636342	0.0238729447601671	0.998829839210219
del24_11p15.5 	1.33123444149669	2.21669435292277	0.600549390014651	0.54979644414761	0.0237445446429749	0.998829839210219
amp10_7q34    	-0.781493540542243	1.30799616782805	-0.597473876272836	0.551837428959671	0.0237008683257799	0.998829839210219
amp26_xp22.2  	-1.00198146782438	1.71948518510947	-0.582721780042895	0.561679650173735	0.0234944339183073	0.998829839210219
amp21_17q25.1 	-0.904291650545401	1.56151199689628	-0.579112842131732	0.564100535739225	0.0234447046582406	0.998829839210219
del23_10q26.3 	1.75311237778796	3.05283621003854	0.574256939177823	0.567365941979194	0.0233782724790448	0.998829839210219
del21_10q11.23	1.72950259263561	3.05102751563801	0.566859061011762	0.572358381216605	0.0232781224735188	0.998829839210219
del33_14q32.33	-0.932078758429545	1.65085383579224	-0.564604048051441	0.573884386158616	0.0232478490565311	0.998829839210219
del20_10q11.22	1.41003910333219	2.86906100506261	0.491463618530279	0.624411521616077	0.0223304835353288	0.998829839210219
del31_13q34   	1.00967490115155	2.09735333716043	0.481404293335964	0.631511398673587	0.0222141311561075	0.998829839210219
del34_15q11.2 	0.757780247166794	1.61378031730041	0.469568403482845	0.63990968009469	0.0220802767611988	0.998829839210219
amp18_15q25.1 	0.772653873523593	1.66883853915421	0.462988992281534	0.644598663428208	0.0220072943627277	0.998829839210219
del18_9q34.3  	-1.23281187614994	2.69841093010984	-0.456865877021835	0.648975433804885	0.0219402890186595	0.998829839210219
del40_17p11.2 	1.13725396201709	2.51726599587228	0.451781402474717	0.652619202319907	0.0218853205972755	0.998829839210219
del47_xp22.33 	-1.0918504209114	2.52603045650384	-0.432239610611259	0.666701832390773	0.0216797246673235	0.998829839210219
del6_3q28    	1.17973474646706	2.93715309142321	0.401659263152473	0.68897972675359	0.0213760773871547	0.998829839210219
amp27_xq28    	-0.9644203447551	2.50240608432766	-0.385397218618983	0.700941091053941	0.021223602938332	0.998829839210219
amp17_14q11.2 	-0.688624932887803	1.78873395093538	-0.384978958177488	0.701249751707777	0.0212197637888228	0.998829839210219
del32_14q11.2 	-0.688624932887803	1.78873395093538	-0.384978958177488	0.701249751707777	0.0212197637888228	0.998829839210219
del7_4q13.2  	1.01388803652721	2.71244837064995	0.373790722617244	0.709524744707491	0.0211186050173658	0.998829839210219
del8_4q13.2  	1.10079588313284	3.01774303066689	0.364774558982107	0.716218780147226	0.0210392411647566	0.998829839210219
del36_16p12.2 	-1.13358822124914	3.17092059360496	-0.357494988532774	0.721639767166299	0.0209765682146521	0.998829839210219
del43_19p13.2 	-0.691475974825654	1.98634503271782	-0.348114735071753	0.728646115584271	0.0208976609452016	0.998829839210219
del44_19q12   	0.837450865453926	2.81695466731263	0.297289436415693	0.766997370267588	0.0205064075627687	0.998829839210219
amp2_1p12    	0.36548704884879	1.32667715867601	0.275490571657642	0.783632397167651	0.0203574002097114	0.998829839210219
del41_17q11.2 	0.81645549051227	2.98691262912765	0.273344282839208	0.785275860550443	0.0203433401192537	0.998829839210219
del25_11q11   	0.60107233703172	2.24575481550761	0.267648245873118	0.789642158905026	0.0203065573118387	0.998829839210219
amp5_3p13    	0.472561756234191	1.76732079652445	0.267388782593129	0.789841211974302	0.0203049001779811	0.998829839210219
del37_16q12.1 	-0.742950237064666	2.80820344078866	-0.264564249966169	0.79200901637582	0.020286964144015	0.998829839210219
del11_5q31.3  	0.576192035177726	2.1819607393342	0.264070762040175	0.792387932741168	0.0202838499309732	0.998829839210219
del42_17q21.2 	-0.571400739074361	2.41304816663665	-0.236796242600822	0.813405419294481	0.0201207442561739	0.998829839210219
del30_12q24.33	-0.66643818557125	3.23380715910649	-0.206084702266349	0.837235559492299	0.0199582932423888	0.998829839210219
