estimate	p_values	FDR
amp24_22q11.21	1973	0.00717248759723182	0.530764082195155
del46_22q13.33	1852	0.0323093290660733	0.890669647912558
amp3_1q21.2  	1832	0.0403632839422888	0.890669647912558
amp25_22q13.2 	1809.5	0.0514112028451333	0.890669647912558
amp15_12q14.1 	978.5	0.0699604239352817	0.890669647912558
amp11_8q24.21 	1737	0.105315829687004	0.890669647912558
del35_15q14   	1024.5	0.108774429255634	0.890669647912558
del4_2p11.1  	1045	0.130663063112428	0.890669647912558
amp16_12q15   	1049	0.135493273650003	0.890669647912558
del39_17p12   	1068	0.159525462272182	0.890669647912558
del22_10q23.31	1678	0.176263167061435	0.890669647912558
del25_11q11   	1112	0.22729457173738	0.890669647912558
del29_12q13.13	1117	0.236135524376951	0.890669647912558
del20_10q11.22	1635	0.247067035367926	0.890669647912558
del21_10q11.23	1632	0.252663299687663	0.890669647912558
del27_11q24.3 	1127	0.254547173487014	0.890669647912558
del38_16q24.3 	1605	0.306976943204254	0.890669647912558
del23_10q26.3 	1603	0.31128450670926	0.890669647912558
amp6_5p15.33 	1163	0.328918193420625	0.890669647912558
amp9_7p21.3  	1171	0.347186919731051	0.890669647912558
del15_8p21.3  	1585	0.351854276350587	0.890669647912558
del44_19q12   	1584	0.354215464501882	0.890669647912558
del2_1p21.1  	1186	0.383139548830625	0.890669647912558
del45_19q13.42	1570	0.388126667443615	0.890669647912558
del37_16q12.1 	1567	0.395641385351615	0.890669647912558
amp2_1p12    	1565	0.400677145947811	0.890669647912558
amp7_5q31.3  	1560	0.413510577469443	0.890669647912558
del3_1q21.3  	1555	0.426567371822522	0.890669647912558
del11_5q31.3  	1553	0.431856606460847	0.890669647912558
del34_15q11.2 	1209.5	0.443902765994849	0.890669647912558
amp23_20q13.33	1212	0.450673449808828	0.890669647912558
amp8_6p22.1  	1545	0.453386956846321	0.890669647912558
del41_17q11.2 	1214	0.456123457409833	0.890669647912558
del1_1p36.13 	1543	0.458850105539325	0.890669647912558
del8_4q13.2  	1218	0.467117395076238	0.890669647912558
del7_4q13.2  	1221.5	0.476881170559817	0.890669647912558
del19_10p11.21	1528	0.5011052848443	0.890669647912558
amp4_1q44    	1233	0.509783907452805	0.890669647912558
amp5_3p13    	1234	0.51264661657312	0.890669647912558
del40_17p11.2 	1234	0.512699001429321	0.890669647912558
amp14_12p13.31	1234	0.51270088643349	0.890669647912558
del47_xp22.33 	1234.5	0.514167583371257	0.890669647912558
del16_9p21.3  	1238	0.5239084749483	0.890669647912558
del18_9q34.3  	1245	0.545311986831758	0.890669647912558
amp20_16p11.2 	1513	0.545313912160409	0.890669647912558
amp18_15q25.1 	1249	0.557422660179263	0.890669647912558
del12_6p22.1  	1500	0.585132701153538	0.890669647912558
del42_17q21.2 	1259	0.588246525960322	0.890669647912558
amp17_14q11.2 	1262	0.597646587115599	0.890669647912558
del32_14q11.2 	1264	0.603951046904152	0.890669647912558
del33_14q32.33	1269	0.619837833757889	0.890669647912558
del24_11p15.5 	1273.5	0.634298607263582	0.890669647912558
amp19_15q26.3 	1278	0.648896506919756	0.890669647912558
del14_7q34    	1281	0.658703243912485	0.890669647912558
del30_12q24.33	1282	0.661984197772847	0.890669647912558
amp27_xq28    	1461	0.711964695472897	0.905493205131594
del28_12p13.31	1299	0.71872439745318	0.905493205131594
del17_9q21.11 	1459	0.718728354037476	0.905493205131594
del5_2q37.3  	1300	0.721947285172487	0.905493205131594
del36_16p12.2 	1450	0.749432946246855	0.924300633704454
del6_3q28    	1440	0.783996913031184	0.929576206512219
amp1_1p36.22 	1434	0.804977864361484	0.929576206512219
amp21_17q25.1 	1324	0.804983051872324	0.929576206512219
amp12_11q12.3 	1325	0.80848991158965	0.929576206512219
del26_11q12.3 	1332	0.83315099894624	0.929576206512219
del10_5p15.2  	1423	0.843770645723717	0.929576206512219
amp10_7q34    	1340	0.861538069187589	0.929576206512219
amp13_11q13.3 	1342	0.868659587575544	0.929576206512219
amp26_xp22.2  	1344.5	0.877586082538792	0.929576206512219
del31_13q34   	1345	0.879371870296389	0.929576206512219
del13_6q27    	1409.5	0.891890684626589	0.929576206512219
del43_19p13.2 	1355	0.915216009386932	0.940638676314347
amp22_19q13.43	1360	0.933207253476111	0.945990914482634
del9_4q35.1  	1384	0.983734601887135	0.983734601887135
