estimate	std_error	t_value	p_values	r_sq	FDR
amp23_20q13.33	-0.00353141518500338	0.00200315068178859	-1.76293037618629	0.0816379621004681	0.0431360032105685	0.998611127066025
amp4_1q44    	-0.00283782881603994	0.00165622382095495	-1.71343316050345	0.0904112616816604	0.0411975062875424	0.998611127066025
del3_1q21.3  	-0.00188316894469556	0.00132516095932173	-1.42108694905971	0.159083302250606	0.0307402523536545	0.998611127066025
amp9_7p21.3  	-0.00167013241125368	0.00134594349600587	-1.24086368871342	0.218194491317531	0.0251740641842607	0.998611127066025
del24_11p15.5 	0.00228263891523954	0.0018988690627529	1.20210443153477	0.232783086112243	0.0240678996893786	0.998611127066025
del35_15q14   	0.00235136856353331	0.00207733932176548	1.13191356794563	0.260970044335598	0.0221480940295661	0.998611127066025
amp11_8q24.21 	-0.00112009216380575	0.00100703131329114	-1.1122714348823	0.269271749561964	0.0216302449589102	0.998611127066025
amp3_1q21.2  	-0.00129703627045306	0.00120878033607224	-1.073012384258	0.286413198123001	0.0206208030575648	0.998611127066025
del47_xp22.33 	-0.00219277205884293	0.00216704421054077	-1.01187232275973	0.314575598071767	0.0191171219786992	0.998611127066025
amp12_11q12.3 	0.00153556632383804	0.00199865016274625	0.768301703049469	0.444514996000283	0.0139674977806478	0.998611127066025
amp21_17q25.1 	0.00101795937786002	0.00134446156220328	0.757150227628527	0.451130039920849	0.0137643638035426	0.998611127066025
del26_11q12.3 	0.00136270944558973	0.0019954726086785	0.682900601924163	0.496594524735715	0.0124856422322622	0.998611127066025
del23_10q26.3 	0.0017754018382869	0.00263027683550394	0.674986683653298	0.501583057687086	0.0123569422437313	0.998611127066025
del22_10q23.31	0.001594142298838	0.0023661975458031	0.67371479683322	0.502387303665104	0.0123363950195919	0.998611127066025
del21_10q11.23	0.0017351840805511	0.00262890180433218	0.660041420220293	0.511077013266022	0.0121178976606031	0.998611127066025
del20_10q11.22	0.00162287815692072	0.00247097738877498	0.656775802276882	0.51316414832151	0.0120663625095846	0.998611127066025
del27_11q24.3 	0.00124640363197372	0.0020039961153322	0.621959105827463	0.535694279248782	0.0115324894012783	0.998611127066025
amp18_15q25.1 	0.000844733098756126	0.00143780064128647	0.587517542070575	0.558470575769607	0.0110324495909161	0.998611127066025
del43_19p13.2 	-0.000932754004175155	0.00171087891400979	-0.545189958527842	0.587102751923509	0.010456296275875	0.998611127066025
