estimate	std_error	t_value	p_values	r_sq	FDR
amp21_17q25.1 	-3.32571031360135	1.85473489589139	-1.79309200520703	0.0766454340104247	0.0336139137006286	0.994895837224887
amp25_22q13.2 	-3.0506238297737	1.78557515581935	-1.70848245722474	0.0913297607212037	0.0302423684971076	0.994895837224887
amp10_7q34    	-2.46316084236622	1.5604563025034	-1.57848754778627	0.118303782014944	0.0253381293407111	0.994895837224887
del14_7q34    	-2.54581342572908	1.65894265003357	-1.53460002109027	0.128731649819023	0.0237595165950536	0.994895837224887
del30_12q24.33	5.58362863980623	3.85972116662506	1.44664041747051	0.151809541913162	0.0207152798069467	0.994895837224887
del36_16p12.2 	5.04805480019622	3.79390905396825	1.33056821562873	0.187019512182353	0.0169468966194944	0.994895837224887
del10_5p15.2  	-3.26991084676099	2.57785635184353	-1.26846123307939	0.208222615333054	0.0150489866322184	0.994895837224887
amp6_5p15.33 	-2.13537379073663	1.69116524437281	-1.2626641884002	0.210288860810586	0.0148761012912166	0.994895837224887
del16_9p21.3  	2.67999000767132	2.20823711780163	1.21363325798062	0.228371936952962	0.0134431934215795	0.994895837224887
amp24_22q11.21	-2.17455188024809	1.81166197698608	-1.20030773282869	0.233476044856727	0.0130628683636322	0.994895837224887
del37_16q12.1 	4.00999646228472	3.3658051135085	1.19139294375387	0.236936370573942	0.0128106131005101	0.994895837224887
del23_10q26.3 	4.29651476079995	3.66580343415978	1.17205268584859	0.244569946636835	0.0122693863665697	0.994895837224887
del21_10q11.23	3.75240804092362	3.67068638716232	1.02226331675926	0.309662752556611	0.00836003171970678	0.994895837224887
del47_xp22.33 	3.10030949938463	3.03662787094835	1.02097116641967	0.310270853796412	0.00832850451405864	0.994895837224887
del20_10q11.22	3.52185224203907	3.45015237364008	1.0207816527023	0.310360108661238	0.00832388374919213	0.994895837224887
del38_16q24.3 	3.34564971998592	3.28652101362298	1.01799127591695	0.311676284406859	0.00825594249804196	0.994895837224887
