estimate	std_error	t_value	p_values	r_sq	FDR
amp3_1q21.2  	-0.309881318678936	0.115257257754361	-2.68860568710877	0.00777725309211424	0.0338704440477801	0.560902756840681
del42_17q21.2 	0.500444759097078	0.211345374728376	2.36790021896744	0.0188382963689243	0.0262873346320547	0.560902756840681
del34_15q11.2 	0.370515520768833	0.161413113025678	2.29544870192727	0.0227393009530006	0.024692402996458	0.560902756840681
del13_6q27    	0.446158234851874	0.210569872926076	2.11881324071704	0.0353340778598551	0.0209916658049701	0.569702113951808
amp8_6p22.1  	-0.193523178530892	0.0958009339757742	-2.02005523849934	0.0447049890194137	0.019040403375536	0.569702113951808
del21_10q11.23	0.488855746376217	0.243894764500768	2.00437162879188	0.046372378900232	0.0187384010822851	0.569702113951808
del20_10q11.22	0.44509015948302	0.233649479606194	1.90494821659008	0.0582144428000904	0.0168745643982698	0.569702113951808
del35_15q14   	0.419608890468971	0.223226318026286	1.87974650202114	0.0615894177245198	0.016416100083216	0.569702113951808
amp15_12q14.1 	-0.186529098702242	0.108794522824152	-1.71450817431071	0.0879767996367513	0.0135517267818676	0.701433434682452
amp14_12p13.31	-0.252014707706292	0.156128724946408	-1.61414696618318	0.108064298335982	0.0119332012363679	0.701433434682452
del17_9q21.11 	0.338060742822218	0.21348790161394	1.58351241576934	0.114876846058127	0.0114575927733895	0.701433434682452
del28_12p13.31	-0.241534778612369	0.15552791153108	-1.55299956280903	0.121996346810477	0.0109924900182242	0.701433434682452
amp9_7p21.3  	-0.180108116573375	0.116358108845291	-1.54787765425825	0.12322479257935	0.0109152622060801	0.701433434682452
amp25_22q13.2 	-0.161604633654337	0.109935335793627	-1.46999718050349	0.14312607797641	0.00977100620588256	0.756523555018166
del30_12q24.33	0.383858200372341	0.269411922982892	1.42480034336386	0.155765752525185	0.0091328874050588	0.768444379124245
amp5_3p13    	-0.199789126053513	0.151624194952375	-1.31765992964558	0.18911740479446	0.00769681043679893	0.814167439953869
del7_4q13.2  	0.273373116102878	0.209717512237075	1.30353022590619	0.193884869242639	0.00751549951911712	0.814167439953869
amp13_11q13.3 	-0.130751424379908	0.102886935485948	-1.2708263081445	0.20525928416263	0.00710309765809236	0.814167439953869
amp18_15q25.1 	-0.182552379686348	0.148506810977552	-1.22925257424013	0.220414194784085	0.00659349914920904	0.814167439953869
del45_19q13.42	0.227141073031829	0.187777613063183	1.20962807720535	0.227842409127609	0.00635866027817167	0.814167439953869
amp22_19q13.43	-0.209377643525165	0.174292199978964	-1.20130243092023	0.231047516743665	0.00626013917589396	0.814167439953869
amp2_1p12    	-0.161440720221473	0.148584235060885	-1.08652657635798	0.278547367725687	0.00496949223766097	0.838323197628288
amp27_xq28    	-0.195096823553452	0.181320498905642	-1.07597775613324	0.283227003383013	0.00485721106869286	0.838323197628288
del6_3q28    	0.262636681369498	0.247259491936191	1.06219049191153	0.289423750457704	0.00471207399519857	0.838323197628288
del43_19p13.2 	0.189683399617794	0.181645692924334	1.04424936569682	0.297624282588407	0.00452595028747271	0.838323197628288
del44_19q12   	-0.268440830737726	0.257930251577832	-1.04074969529785	0.299241971733387	0.00449000575601743	0.838323197628288
del16_9p21.3  	0.167934217343086	0.166050148318701	1.01134638567602	0.313066560603201	0.00419267550314828	0.838323197628288
amp10_7q34    	-0.120803495378501	0.126099987728589	-0.957997677513758	0.339214806014029	0.00367453647853644	0.838323197628288
del26_11q12.3 	-0.146222672478624	0.158711818993168	-0.921309285006171	0.35799344787322	0.00333420553227581	0.838323197628288
del36_16p12.2 	0.253924229111787	0.284436663241951	0.892726789217712	0.373071044570319	0.00307812238473981	0.838323197628288
del40_17p11.2 	-0.144505354792857	0.16516899647416	-0.874893944248577	0.382675828411951	0.00292237381389904	0.838323197628288
amp21_17q25.1 	-0.14070877272824	0.161366468515846	-0.871982723687248	0.384258189146908	0.00289724161464355	0.838323197628288
del37_16q12.1 	0.221013438708964	0.260390560862365	0.848776691355512	0.397015272939726	0.00269985800021821	0.838323197628288
del23_10q26.3 	0.214897168557638	0.253613234391781	0.847342091878633	0.39781227671035	0.0026878279294088	0.838323197628288
del1_1p36.13 	-0.182418235968993	0.215677515194768	-0.845791624612608	0.398674743345651	0.00267484878685786	0.838323197628288
amp12_11q12.3 	-0.131167619953133	0.158137771113708	-0.82945155372664	0.407832906954302	0.00253948935330195	0.838323197628288
del29_12q13.13	0.181643549041103	0.242445465622935	0.749214049330194	0.454604114207926	0.00191265026190346	0.850740741216464
amp16_12q15   	0.0774130353222287	0.103758876679134	0.746085904164349	0.456487204167624	0.00188948769691255	0.850740741216464
amp6_5p15.33 	-0.0957298968457015	0.128998467015368	-0.742101042443371	0.458892408413166	0.00186012032825	0.850740741216464
del18_9q34.3  	0.167674188244952	0.226433277514271	0.74050152912875	0.459859860117008	0.00184837609182764	0.850740741216464
del10_5p15.2  	-0.12847193438121	0.18451975869783	-0.696250283914559	0.487076428948099	0.0015334116288741	0.879113554686812
amp19_15q26.3 	-0.0802688734613516	0.128101628571677	-0.62660306786372	0.531630463510212	0.0010766333711093	0.936682245232279
del8_4q13.2  	0.124362506097625	0.235975971158003	0.527013430593553	0.598765419395435	0.000506453308930954	0.941445044615823
del15_8p21.3  	-0.088380739105754	0.177590118188987	-0.497666987369766	0.619262790358337	0.0003571075007196	0.941445044615823
del27_11q24.3 	-0.104381242583221	0.215540225122314	-0.484277320040783	0.628716324265007	0.000291794590688177	0.941445044615823
del11_5q31.3  	-0.101573599934101	0.213567973105364	-0.475603146188915	0.634873600511038	0.000250429497187121	0.941445044615823
del4_2p11.1  	0.119976641485481	0.253237030672248	0.473772106579314	0.636176624083572	0.000241792831646714	0.941445044615823
del25_11q11   	0.0883666490354109	0.188149287442293	0.469662416672792	0.639105332855912	0.000222528968083502	0.941445044615823
del33_14q32.33	0.0762276049949807	0.169054445954525	0.450905650925535	0.652543597321687	0.000136729998321483	0.941445044615823
del46_22q13.33	0.0773075255548019	0.172005729089169	0.449447387387459	0.653593218060538	0.000130205349123336	0.941445044615823
amp20_16p11.2 	0.0968051485575649	0.22771925760302	0.425107430862629	0.671213109327494	2.44106436929625e-05	0.941445044615823
del3_1q21.3  	-0.05470581327552	0.132049726855964	-0.414281911655838	0.679109421709808	-2.07577712403317e-05	0.941445044615823
amp24_22q11.21	-0.0587074349595897	0.142016449581682	-0.413384753192436	0.67976543363062	-2.44489791390023e-05	0.941445044615823
del9_4q35.1  	0.101801101406794	0.252287581449697	0.403512138099798	0.687000437962898	-6.45414061335448e-05	0.941445044615823
amp1_1p36.22 	-0.0678259365872222	0.186453028848092	-0.363769561729574	0.716412430651025	-0.00021616158535176	0.942444606911008
amp23_20q13.33	0.0642883592410032	0.198887033129591	0.323240576468925	0.746849089668836	-0.000354646028418282	0.942444606911008
del38_16q24.3 	0.0778070663435513	0.241249224127128	0.322517374408427	0.747395998623369	-0.000356969100383964	0.942444606911008
del19_10p11.21	0.0586906775303473	0.186223624210272	0.315162363417852	0.752965331571964	-0.000380299937828399	0.942444606911008
del39_17p12   	0.054106749503321	0.173251257202829	0.312302204191091	0.755134611207842	-0.000389227601203634	0.942444606911008
amp4_1q44    	0.0414589709542582	0.137989477285375	0.300450235553232	0.76414427587379	-0.000425356397403709	0.942444606911008
amp26_xp22.2  	-0.0468455765210247	0.166162092179136	-0.28192697808909	0.778289563059599	-0.000479027271528265	0.944154551908365
del41_17q11.2 	-0.0587164465373184	0.239652667426831	-0.245006438558608	0.806701399918831	-0.000575834108438755	0.952657437224886
del47_xp22.33 	-0.0597644072173001	0.249651664002128	-0.239391183135838	0.811046196556322	-0.000589370461210104	0.952657437224886
del24_11p15.5 	-0.0451359595229334	0.217702895338057	-0.207328246382965	0.835963412912823	-0.000660656601577436	0.958025601355985
del32_14q11.2 	-0.0322072921799036	0.16455579560817	-0.195722624419705	0.845024996397331	-0.000683939459579008	0.958025601355985
amp17_14q11.2 	-0.0263831915503648	0.164073861968936	-0.16080069813533	0.872411873381217	-0.000745916544311553	0.958025601355985
amp7_5q31.3  	0.0161929124955266	0.151624907324252	0.106795860794149	0.915057446874273	-0.00081786414465701	0.958025601355985
del2_1p21.1  	-0.0216918339087739	0.203432414038487	-0.106629191868461	0.915189506335792	-0.000818041251140045	0.958025601355985
amp11_8q24.21 	0.0101225509965527	0.103231257738161	0.0980570344519868	0.921984718661576	-0.000826777340150908	0.958025601355985
