estimate	std_error	t_value	p_values	r_sq	FDR
amp5_3p13    	-1.47699502179073	0.257751762303247	-5.73030038123673	1.60915675597383e-07	0.273461498839788	1.19077599942063e-05
del36_16p12.2 	2.1086772990143	0.495467299943233	4.25593636402623	5.49918555239024e-05	0.166611440567411	0.00146470115993718
amp17_14q11.2 	-1.16193017967729	0.280949651309689	-4.13572387173566	8.50682073895851e-05	0.15812837322383	0.00146470115993718
del32_14q11.2 	-1.16193017967729	0.280949651309689	-4.13572387173566	8.50682073895851e-05	0.15812837322383	0.00146470115993718
amp21_17q25.1 	-1.00689836265451	0.245970893572603	-4.09356712101103	9.89662945903501e-05	0.155170999223301	0.00146470115993718
amp20_16p11.2 	-1.51262373483292	0.390934984482649	-3.86924628102722	0.00021808892889675	0.139609092725307	0.00268976345639325
del38_16q24.3 	1.62420525979755	0.436767857564478	3.71869227935982	0.000365180824035956	0.129352184957764	0.00322525385160416
del37_16q12.1 	1.66703450920641	0.448343580043829	3.71820760552308	0.000365780087014579	0.129319435441389	0.00322525385160416
del10_5p15.2  	-1.27212926650153	0.344050102736466	-3.69751166002688	0.000392260603573479	0.127922699207407	0.00322525385160416
del14_7q34    	-0.748790004505209	0.225538590681562	-3.32000835086545	0.0013449653853984	0.103087273652546	0.00995274385194815
del31_13q34   	1.0720490338257	0.34245188651823	3.1305099373971	0.002418076829456	0.0911444434766375	0.0162670623072494
amp25_22q13.2 	-0.748774849078702	0.245887650812533	-3.04519095043766	0.00312608973264924	0.0858977753913065	0.018386618889799
amp10_7q34    	-0.650607413289847	0.214424164090921	-3.03420752995905	0.00323008169685658	0.0852285574133271	0.018386618889799
del4_2p11.1  	1.75057753713352	0.583250335079737	3.00141711344958	0.00355994606298134	0.0832392597348319	0.0188168577614728
del23_10q26.3 	1.35945344513085	0.505916996577718	2.68710767641112	0.00872444122494464	0.0648676082706093	0.0430405767097269
del5_2q37.3  	0.963986517026829	0.386461177390881	2.49439419383598	0.0146256412117801	0.0542832642112628	0.0643110939889582
del47_xp22.33 	1.04765843844098	0.420657322653705	2.49052704427408	0.0147741702407066	0.0540765699867937	0.0643110939889582
del29_12q13.13	-1.31943442419506	0.535024443339023	-2.46611989530914	0.0157432281005472	0.0527773727191111	0.0647221599689163
del13_6q27    	0.940189786045285	0.409477187132491	2.29607366561565	0.0242241127072868	0.0439881309026107	0.0943465442283801
amp6_5p15.33 	-0.492959235003884	0.237622513022394	-2.07454768798538	0.0411647314266035	0.033263027893602	0.152309506278433
del44_19q12   	-0.913081923247985	0.475661908653159	-1.91960278222274	0.0583859638859718	0.0262806092283268	0.205385460140991
del27_11q24.3 	0.747020268885194	0.393343360342051	1.89915565941061	0.0610605422040785	0.0253924721777853	0.205385460140991
del16_9p21.3  	0.56107533774308	0.311989212457157	1.79838057003374	0.0757967051858009	0.0211317654542185	0.243867660163012
amp4_1q44    	0.567502911718196	0.331380533223579	1.71254148877631	0.0905761315744428	0.0176583634458468	0.279276405687865
del24_11p15.5 	0.621845948928454	0.377053208900864	1.64922598256404	0.102927405239899	0.0151903095800672	0.3046651195101
amp23_20q13.33	0.636935918434177	0.402207724691722	1.58359941724731	0.117134330432619	0.0127179165610264	0.333382325077453
del33_14q32.33	0.435303127458019	0.281273745523659	1.54761379042895	0.125566284435392	0.0113997639558844	0.344144631415518
del11_5q31.3  	-0.500025630445811	0.372513125735062	-1.34230338718706	0.18320223393032	0.00440031537920482	0.455401433309554
del9_4q35.1  	0.801726331934114	0.598940666814765	1.33857387944249	0.184408961724289	0.0042815166543172	0.455401433309554
del30_12q24.33	0.738577681292778	0.552035603091429	1.33791675239188	0.184622202693062	0.00426061602603756	0.455401433309554
