estimate	std_error	t_value	p_values	r_sq	FDR
del36_16p12.2 	72.4923433767438	24.4992937302689	2.95895645706633	0.00403348964081471	0.0623355505746359	0.298478233420289
amp21_17q25.1 	-21.6891998262024	12.4806525096913	-1.73782579150895	0.0859956242259643	-0.00091855466796309	0.987950274299835
del30_12q24.33	44.452760992899	25.8088549055752	1.72238408699397	0.0887698235050944	-0.00154798569053605	0.987950274299835
del41_17q11.2 	40.669437759466	23.8513939813664	1.70511785563723	0.0919583411530959	-0.00224605950501244	0.987950274299835
del3_1q21.3  	-19.5596426279455	12.4491858067255	-1.57115838189022	0.119996737120194	-0.00745360798053341	0.987950274299835
del27_11q24.3 	28.4837298449394	18.657909215876	1.52663031615046	0.130701103423366	-0.00910148761599738	0.987950274299835
amp3_1q21.2  	-16.0206353937428	11.328499331259	-1.41418866923853	0.161092218049462	-0.0130738733708498	0.987950274299835
del6_3q28    	33.1578382070816	23.5963978715208	1.40520762480874	0.163736848231782	-0.0133793486688059	0.987950274299835
amp18_15q25.1 	18.2609386089553	13.4212456950191	1.36059938279294	0.177368538707753	-0.0148704240149633	0.987950274299835
del37_16q12.1 	25.9281805200562	22.6374090413072	1.1453687333539	0.255388300045392	-0.0214406963793901	0.987950274299835
amp20_16p11.2 	-22.6166160380442	19.8582196023568	-1.13890451867901	0.258059281798946	-0.0216217666215281	0.987950274299835
del45_19q13.42	-17.7210716453327	15.6188923531586	-1.13459208531832	0.259852091883356	-0.021742028522675	0.987950274299835
amp24_22q11.21	-13.8140113827652	12.1882567132319	-1.1333869730335	0.26035465995148	-0.021775559273997	0.987950274299835
del38_16q24.3 	23.7884410143639	22.073288172814	1.07770264349026	0.284326697772164	-0.0232883290318804	0.987950274299835
del23_10q26.3 	26.0418552799186	24.6777337151439	1.0552774246015	0.294397791986948	-0.0238772396169922	0.987950274299835
del18_9q34.3  	21.7973612165433	21.8117667959925	0.99933955008854	0.320570140562903	-0.0252950349355887	0.987950274299835
del1_1p36.13 	22.047038973643	23.233438495938	0.948935689286697	0.345441679373893	-0.0265095584547379	0.987950274299835
del16_9p21.3  	14.0296340098495	14.8947191574473	0.941920009470922	0.349000353347148	-0.0266738456086635	0.987950274299835
del11_5q31.3  	-16.3830394258404	17.6367194202977	-0.928916485850852	0.355658802390864	-0.0269752637090674	0.987950274299835
