estimate	std_error	t_value	p_values	r_sq	FDR
del18_9q34.3  	28.6718883382962	14.4530038251985	1.98380133881286	0.0506239634962324	0.0103188412189307	0.991605446700866
del41_17q11.2 	31.5046537728063	15.990194319862	1.97024833736218	0.052184986326024	0.00970129228954097	0.991605446700866
del6_3q28    	29.9147231277877	15.7576151464198	1.89842960688023	0.0611573829119036	0.00648709686861948	0.991605446700866
del17_9q21.11 	22.4531318905532	12.5120401757607	1.79452204238052	0.0764151615389108	0.00201355823286109	0.991605446700866
del36_16p12.2 	29.5584672392337	17.0687263330292	1.73173244813446	0.0870816921413187	-0.000586078581565896	0.991605446700866
del30_12q24.33	26.9694430869007	17.4613052910767	1.54452617586859	0.126311646480147	-0.00785859794518684	0.991605446700866
amp8_6p22.1  	13.3464816468524	8.95684231779016	1.49008782038549	0.14003772743136	-0.00983552641861696	0.991605446700866
amp11_8q24.21 	9.21170999336095	6.36300154023054	1.44769884701728	0.15151391725579	-0.0113308987056835	0.991605446700866
del12_6p22.1  	12.5815267467967	9.17450622009373	1.37135737280782	0.174004740395889	-0.013925651080994	0.991605446700866
del42_17q21.2 	17.3773207392782	13.0787555385869	1.32866775344252	0.187643293067229	-0.0153208359241574	0.991605446700866
amp5_3p13    	12.3911256794136	9.58519487113703	1.29273591679663	0.199733077836042	-0.0164638216230246	0.991605446700866
del46_22q13.33	11.8768646688581	9.21704241747633	1.28857654450396	0.201169161140593	-0.0165942704590167	0.991605446700866
del27_11q24.3 	15.8146416313705	12.6374245264365	1.25141333966328	0.214342058274461	-0.017742590661759	0.991605446700866
del23_10q26.3 	20.5943005361367	16.5963464075643	1.24089362986243	0.218183486412084	-0.0180620015534025	0.991605446700866
amp23_20q13.33	15.724017453088	12.8441822376277	1.22421320113503	0.22437748254168	-0.0185633474661457	0.991605446700866
amp26_xp22.2  	10.8343345904143	9.35951451788024	1.15757442009589	0.250398462841183	-0.020503182229989	0.991605446700866
del44_19q12   	-17.2574823072767	15.3163373603562	-1.12673688893435	0.263140262541426	-0.0213664849510307	0.991605446700866
del14_7q34    	7.62942693748382	7.57858342155694	1.00670884162629	0.317036189719338	-0.0245171150228605	0.991605446700866
del38_16q24.3 	13.8439281365813	14.9096636002513	0.928520488976559	0.355862844783179	-0.0263879587814801	0.991605446700866
amp7_5q31.3  	-7.45827673084628	8.49888972412256	-0.877558948632704	0.382747061397677	-0.0275293050205421	0.991605446700866
del29_12q13.13	14.9979290231107	17.5237091449783	0.855864982637459	0.394566495902345	-0.0279963533105387	0.991605446700866
amp1_1p36.22 	12.4820197031228	14.7116827139224	0.848442693187672	0.398661442723896	-0.0281535587960593	0.991605446700866
del37_16q12.1 	12.9141868574772	15.3185322487719	0.843043357402114	0.401656619336802	-0.028267087303548	0.991605446700866
del1_1p36.13 	13.1503201237593	15.6837243129677	0.838469222063936	0.404204762124339	-0.0283627171903191	0.991605446700866
del11_5q31.3  	-8.88843019304021	11.9135102850794	-0.7460798690183	0.457752732585919	-0.0301862851962742	0.991605446700866
amp22_19q13.43	-9.37546944417303	12.6189637627907	-0.74296666670985	0.459625127257627	-0.03024413525199	0.991605446700866
amp10_7q34    	5.24395072327215	7.15499299599834	0.732907876528321	0.465704611729601	-0.030429439703568	0.991605446700866
del7_4q13.2  	10.513630846865	14.821084022072	0.709369897047194	0.480107141356409	-0.0308534393803521	0.991605446700866
amp9_7p21.3  	5.9822115994203	8.60275183987516	0.695383490163202	0.488781013002783	-0.0310989870309453	0.991605446700866
del13_6q27    	9.20864161094854	13.3707325499746	0.688716312029296	0.492945836712201	-0.0312143565357639	0.991605446700866
del43_19p13.2 	-7.36214170627318	10.8552039637449	-0.678213116111117	0.499546021375286	-0.0313939015385736	0.991605446700866
del20_10q11.22	10.5572916309374	15.6913501638276	0.672809638476777	0.502960080766982	-0.0314852194232227	0.991605446700866
amp16_12q15   	-4.15193436767774	6.21536352658206	-0.668011508887714	0.506002159241622	-0.0315657081361129	0.991605446700866
del45_19q13.42	-6.80810155928393	10.5866411964168	-0.643084188173697	0.521963760217114	-0.031974788119616	0.991605446700866
del15_8p21.3  	6.00543076914498	10.3440705920474	0.580567458014258	0.563124159962713	-0.0329335876062444	0.991605446700866
del8_4q13.2  	9.15284998720652	16.5081759851163	0.554443446414594	0.580784473004406	-0.0333056993518197	0.991605446700866
del31_13q34   	-6.36415911751424	11.4801997498887	-0.554359615352159	0.58084156704137	-0.0333068662951852	0.991605446700866
del16_9p21.3  	5.56193729378852	10.0781777608636	0.551879260890506	0.582532048410206	-0.0333413146136283	0.991605446700866
del2_1p21.1  	6.00363962469222	11.2896255702032	0.531783767969919	0.596313563327971	-0.0336147959439028	0.991605446700866
del21_10q11.23	8.36983138367321	16.7151282017481	0.500733903003978	0.617899824087267	-0.0340176763459541	0.991605446700866
amp4_1q44    	5.05559378140257	10.6908920184546	0.472887928591516	0.637549468633091	-0.0343586211507882	0.991605446700866
amp13_11q13.3 	-3.90202438424449	9.08857354381877	-0.429332982280624	0.668806883084224	-0.0348531965471841	0.991605446700866
amp6_5p15.33 	-2.9710900931106	7.73129590154696	-0.384293930919926	0.70175538481252	-0.0353148307446545	0.991605446700866
amp15_12q14.1 	-2.51095162012465	6.80586353316307	-0.368939460494541	0.713123757851767	-0.0354606123330299	0.991605446700866
del28_12p13.31	4.90896575372188	13.4213784338323	0.365757196842573	0.715488131777477	-0.0354900874816773	0.991605446700866
del25_11q11   	-4.30839727577945	12.2943135234928	-0.35043821418306	0.726908471171078	-0.0356284261591013	0.991605446700866
amp2_1p12    	-2.4814276499298	7.26330981824219	-0.341638689801936	0.73349678547349	-0.0357052305305996	0.991605446700866
amp25_22q13.2 	2.62690261126292	8.22961067097181	0.319201322673594	0.750385594663858	-0.0358922777439006	0.991605446700866
amp14_12p13.31	4.07593339629605	13.5630934636968	0.300516501431311	0.76454380800664	-0.0360383963880249	0.991605446700866
del10_5p15.2  	3.39299331558825	11.79056500352	0.287771901904217	0.774247403061621	-0.036133028841949	0.991605446700866
amp12_11q12.3 	3.24466280810064	12.734156502776	0.254799978890891	0.799515533234296	-0.0363588993407515	0.991605446700866
amp21_17q25.1 	-2.17988402309685	8.56519900285474	-0.25450477243673	0.799742778190006	-0.0363607980435319	0.991605446700866
amp17_14q11.2 	-2.13233558378681	9.80143958287345	-0.217553305895263	0.828317603047164	-0.0365811280466517	0.991605446700866
del32_14q11.2 	-2.13233558378681	9.80143958287345	-0.217553305895263	0.828317603047164	-0.0365811280466517	0.991605446700866
del26_11q12.3 	2.67892768293251	12.7059530447801	0.210840357546659	0.833534918446368	-0.0366174618126167	0.991605446700866
amp27_xq28    	-2.79981167898993	13.7125329599568	-0.204179030027925	0.838719504318089	-0.0366523929799851	0.991605446700866
