estimate	std_error	t_value	p_values	r_sq	FDR
Xq	-1.7003385687162	0.672190452484787	-2.52954882419233	0.0150779971014742	0.12176362668723	0.617734079672417
7q	-1.1998077572643	0.566435741627325	-2.11817099291324	0.0398450401786957	0.0871322242601834	0.617734079672417
7p	-0.514631343522798	0.261682468806246	-1.96662522281475	0.0555535509420115	0.07532683521947	0.617734079672417
1p	-1.1779963797568	0.615536990300234	-1.91377024991175	0.0621685818637227	0.0713478426466403	0.617734079672417
20q	-1.28109914862389	0.696480868294165	-1.83938885753112	0.0726114283695815	0.0658765672309654	0.617734079672417
15q	1.08906128628961	0.620496482104459	1.75514498099325	0.0861954529775466	0.0598683751744913	0.617734079672417
10q	-1.48565962610082	0.915130198857083	-1.6234407169125	0.111639067206151	0.0508980901348627	0.685782841409215
2p	-1.15966994596016	0.801340157577222	-1.44716314912548	0.154938772566259	0.0397529215374113	0.754900575109436
22p	0.847630331081119	0.590167519672647	1.43625378020004	0.158002445953138	0.0390971697266657	0.754900575109436
10p	-0.492997524794375	0.396166276854266	-1.24442072331091	0.219932906209695	0.0282486087720661	0.904281641986238
9p	-0.678097916674576	0.564088236525394	-1.20211320280573	0.235749522081486	0.0260353247354158	0.904281641986238
19p	-0.699703417151556	0.626773564263925	-1.11635757639727	0.270328614058557	0.0217555114305389	0.904281641986238
21q	-0.754366070176578	0.724359557351311	-1.04142488702018	0.303367110277131	0.0182471970991726	0.904281641986238
8q	-0.3070917060845	0.302985809774498	-1.01355144755148	0.316338120118208	0.0169983083279988	0.904281641986238
5p	-0.416631989454944	0.425921003375874	-0.978190758738582	0.333327890226642	0.0154583386666317	0.904281641986238
Xp	-0.699150610852912	0.719460711992733	-0.971770381896786	0.336476890041391	0.0151840893274965	0.904281641986238
22q	0.621431053855175	0.783613794807916	0.793032304909211	0.43201463133272	0.00822340227019402	0.952035085392751
11q	0.269864938678409	0.353182660081067	0.764094530055542	0.448889230007551	0.00722103817207442	0.952035085392751
12p	0.454909502450918	0.642348588650216	0.708197247551881	0.482557838486695	0.00538508299574958	0.952035085392751
11p	0.234436144619432	0.363780660622288	0.644443671685027	0.522633490698364	0.00345396254125285	0.952035085392751
13q	0.353287577787591	0.553380436638081	0.63841717993122	0.526511326427108	0.00328046856009367	0.952035085392751
6q	0.444401084487529	0.783631257997267	0.567104846765924	0.573524986548012	0.00134717743640822	0.952035085392751
3q	-0.265064253891281	0.477533816734484	-0.555069074906292	0.581658498962255	0.00104276281447868	0.952035085392751
19q	-0.374121411563322	0.703132296819594	-0.532078263586449	0.597348409083973	0.000478928484857533	0.952035085392751
5q	0.366462840775176	0.745737828365237	0.491409751304308	0.625579134420578	-0.000461451375389332	0.952035085392751
14q	-0.292097763388565	0.652523405698137	-0.447643350166189	0.656606831760563	-0.00139171341515132	0.952035085392751
9q	0.373755822523797	0.844390290907231	0.442633965061614	0.660198946971806	-0.00149276229289241	0.952035085392751
20p	-0.269424789740235	0.627273077161081	-0.429517541163413	0.669642707278321	-0.00175205206947537	0.952035085392751
18p	0.162155872981258	0.393955608668022	0.411609504759973	0.682623884217066	-0.0020936758442045	0.952035085392751
12q	0.312521587142608	0.777365002252088	0.402026829400871	0.689610585235982	-0.00227059724934398	0.952035085392751
21p	-0.166006246609738	0.439962776317371	-0.377318845015171	0.707750554197421	-0.00270781400338316	0.952035085392751
16p	-0.342366105452339	0.90978579523199	-0.376315070257871	0.708491226338791	-0.00272499794959424	0.952035085392751
3p	-0.175952120684208	0.600434194524128	-0.293041472802291	0.770868093238282	-0.00399278769206624	0.984985012468058
2q	-0.260118025541148	0.945299438640476	-0.27516997779587	0.784473733618687	-0.0042241017660738	0.984985012468058
18q	0.104935188941379	0.70756416720544	0.148304837645786	0.8827797865015	-0.00544965115546314	0.984985012468058
6p	0.093476123367022	0.676711939984554	0.138132812270396	0.890765689730338	-0.00551620250956564	0.984985012468058
17p	0.0775636887347143	0.599736117439783	0.129329694309268	0.897686180300356	-0.00556998869773673	0.984985012468058
16q	0.11335505624367	0.888855968760706	0.127529161335009	0.899102663229259	-0.00558055431200177	0.984985012468058
8p	-0.0298664792660627	0.325590984826466	-0.0917300559841389	0.927328881256956	-0.00575990835785123	0.984985012468058
4p	-0.0563682532113349	0.670985914015764	-0.0840081021581783	0.933431050595238	-0.00579092289192151	0.984985012468058
4q	0.036093050489192	0.92873430849965	0.0388626221287114	0.969175715809782	-0.00591771809452246	0.984985012468058
17q	-0.0121226049673153	0.491661685211801	-0.0246563955092272	0.98044052122986	-0.00593834748004118	0.984985012468058
1q	0.00702823646010511	0.371336433839154	0.018926870136178	0.984985012468058	-0.0059440563949158	0.984985012468058
