HR	lower_CI	upper_CI	z_scores	p_values	FDR
Xq	-1.6735928178551	0.187571941744967	0.909192604720319	-1.84074618421464	0.0656587624894141	0.896044511920576
10p	-0.990041003706138	0.371561455312962	0.645627748609984	-1.53345485202218	0.125163822564469	0.896044511920576
10q	-1.36086636314982	0.256438511809466	1.00635226070345	-1.35227635122375	0.176286926733541	0.896044511920576
1q	0.419417656310475	1.52107550892791	0.376961025773972	1.11262870067093	0.265867928753942	0.896044511920576
8q	-0.43627245233859	0.646441577420962	0.394319932600428	-1.10639208487762	0.268556849921858	0.896044511920576
12p	0.783084861610188	2.1882121960753	0.708125279832415	1.10585638433289	0.268788685535489	0.896044511920576
3p	-0.930239419616388	0.394459257780972	0.918243163220867	-1.01306435688935	0.311029421826622	0.896044511920576
1p	-0.723397792563508	0.485101179360768	0.738357392954258	-0.979739350437199	0.327214796659385	0.896044511920576
14q	0.548778164860126	1.73113656166745	0.560775897561616	0.978605120595127	0.327775128207138	0.896044511920576
2p	-0.764482117903102	0.465574981498732	0.878404216989023	-0.870307886867368	0.384132169999102	0.896044511920576
21q	-0.703946491714331	0.494629396029997	0.821945500433626	-0.856439376263946	0.391754792259899	0.896044511920576
16p	-0.840678742213002	0.431417602693111	0.986947687667814	-0.851796658239861	0.394326961451998	0.896044511920576
17p	-0.582281838010975	0.558622225717353	0.700265843922259	-0.831515406705482	0.405682528363064	0.896044511920576
15q	0.670976785691099	1.95614712427033	0.813411549012727	0.824892130564771	0.409432834469076	0.896044511920576
7p	-0.256695384030325	0.773603829958207	0.31590493338921	-0.812571621710205	0.416463707468325	0.896044511920576
8p	-0.293555235219023	0.745608037903401	0.42269994985089	-0.694476626558808	0.487383353918255	0.896044511920576
21p	-0.308557776811675	0.734505513586465	0.479625222198158	-0.643331006233433	0.520009341216215	0.896044511920576
17q	0.354685141973204	1.42573168054002	0.60884167190029	0.582557269554459	0.560191377951295	0.896044511920576
18q	0.420502619613767	1.52272671562399	0.751964735979107	0.559205238615672	0.576021658340298	0.896044511920576
7q	-0.344290686360478	0.708722882028413	0.634692764858462	-0.542452514701747	0.58750681116646	0.896044511920576
9p	-0.299060958781977	0.741514206254427	0.555905345801433	-0.537971007187976	0.59059706480076	0.896044511920576
11q	0.197966690473807	1.21892179143808	0.379031259337239	0.522296474491219	0.601463923483995	0.896044511920576
19p	-0.301486232051023	0.739718010684359	0.649597183493029	-0.46411259117514	0.642567081189005	0.896044511920576
22p	0.295211789808831	1.34341084928606	0.662725365336508	0.445451170650354	0.655993739781386	0.896044511920576
18p	0.181352126704432	1.19883724758722	0.435312700152766	0.416601965990861	0.676969571097943	0.896044511920576
22q	0.352045834149136	1.42197369717949	0.883997481660081	0.398243028348928	0.690451051345165	0.896044511920576
Xp	-0.28271028339954	0.753738126677698	0.729786587660379	-0.387387611912518	0.698469273519468	0.896044511920576
4q	-0.344300795928868	0.708715717182185	0.894459530969189	-0.384926074358894	0.700292187037648	0.896044511920576
4p	-0.277118019544673	0.757965037143038	0.729783877495254	-0.379726146452825	0.704148709339609	0.896044511920576
16q	-0.430234850453784	0.650356340305154	1.14852513027034	-0.374597681073393	0.7079596979028	0.896044511920576
3q	-0.185063236717403	0.831051729207104	0.504447508998673	-0.366863218503652	0.713721048727865	0.896044511920576
12q	-0.213327199075466	0.80789175253113	0.784987026076277	-0.271758885164985	0.785807420659506	0.896044511920576
11p	0.116176328785398	1.12319390609043	0.439914980071361	0.264088139864099	0.791712002596211	0.896044511920576
6q	-0.214603658381661	0.806861169473812	0.913216377718461	-0.234997601464197	0.814210594855295	0.896044511920576
19q	-0.180695289730816	0.834689658460462	0.775209202857475	-0.233092291815888	0.81568974031107	0.896044511920576
20p	0.148771139285689	1.16040738715379	0.675355438810361	0.22028569066942	0.825648663657597	0.896044511920576
5q	-0.14449143581857	0.865462324347734	0.690713433536068	-0.209191581925452	0.834298683702063	0.896044511920576
13q	0.10464736157132	1.11031900016381	0.557026473657119	0.187867842051142	0.850980252167286	0.896044511920576
9q	0.217045450304018	1.24240056833809	1.18505691647773	0.183151920625996	0.854678817940891	0.896044511920576
5p	0.0671792479914794	1.06948716442054	0.421828035441447	0.159257428020818	0.873466060131792	0.896044511920576
6p	-0.138792085232232	0.870408980527345	0.879732984207974	-0.157766149188082	0.874641073579407	0.896044511920576
20q	-0.113965133245013	0.892289066564303	0.725666301631623	-0.157048953477333	0.875206267457307	0.896044511920576
2q	-0.0968822561473967	0.907662871565138	0.878884267425289	-0.110233235180345	0.912224405014728	0.912224405014728
