estimate	std_error	t_value	p_values	r_sq	FDR
amp32_15q26.3 	1.13617415463869	0.28498397472123	3.98680015516694	0.000248944754376823	0.261003212988334	0.0291265362620883
del73_xq28    	-1.14805282364606	0.428601881763867	-2.67859958738717	0.0103568078493549	0.135085705817074	0.444342266720544
del48_16q24.3 	1.24696670730318	0.47212360236609	2.64118697106836	0.0113933914543729	0.131708786162946	0.444342266720544
del27_8q21.2  	-0.490777850563937	0.232806401009691	-2.10809431542868	0.0407534453780114	0.0863297309064869	0.771352336172809
amp9_5p15.33 	-0.426883318603627	0.202499692095918	-2.10806897623047	0.0407557523866676	0.086327715975415	0.771352336172809
amp27_12q14.3 	-0.411170116264293	0.197938642753468	-2.07726046084091	0.0436467724040938	0.0838892944307817	0.771352336172809
del64_21p11.2 	0.816054204850229	0.407479970805374	2.0026854405563	0.0513965816456258	0.0780835587204283	0.771352336172809
amp19_9p22.3  	-0.836047353182244	0.421078623237738	-1.98548989913985	0.0533440434430225	0.0767648041747715	0.771352336172809
del69_22q13.33	0.927998044601565	0.479389610896053	1.93579089640052	0.0593347950902161	0.0729965579337044	0.771352336172809
del68_22q13.2 	0.902028649888169	0.478752799668139	1.88412193205645	0.0661662722248199	0.0691487374119585	0.774145385030393
del9_2q37.3  	0.799105686545282	0.46067479846296	1.73464163703223	0.0898055300380237	0.0584374023388075	0.861107508085083
del39_13q11   	0.757429583113502	0.43752207389664	1.7311802725008	0.090427234869345	0.0581970586172658	0.861107508085083
amp22_10q25.1 	-0.620767791789574	0.364577172767797	-1.7027061433299	0.0956786120094537	0.0562335586048037	0.861107508085083
amp42_21q11.2 	-0.551972391146234	0.343818801884735	-1.60541653952736	0.11555650207708	0.0497122060087369	0.965722195929883
del20_6q25.1  	0.92868382141729	0.649901602402938	1.42896065801898	0.16007690159957	0.038661059183374	0.970087346953175
del47_16q23.1 	0.43836369516394	0.316130380270577	1.38665475551177	0.172532972217309	0.0361674845865102	0.970087346953175
amp11_5q22.3  	0.504548296644984	0.36965600389808	1.36491303082986	0.179219663182706	0.0349102583378051	0.970087346953175
