estimate	std_error	t_value	p_values	r_sq	FDR
19q	2.59766492686186	1.00707543129805	2.5794144570816	0.0159036425386294	0.114128748826428	0.683856629161066
17q	-1.75576013030544	0.98118042469774	-1.78943656651764	0.0852008158694353	0.00943061375446463	0.926543372558854
6p	-1.74344606888534	1.02963231193513	-1.69327054782172	0.102353837188944	-0.00206201438340914	0.926543372558854
5q	-1.75700468122313	1.15982635863807	-1.51488597248841	0.141865002366385	-0.0223294871429545	0.926543372558854
17p	-1.11057912166973	0.781759898677526	-1.42061408310717	0.16731124136261	-0.032427032734305	0.926543372558854
2q	1.70042218016674	1.26835277931598	1.34065396307467	0.191629894118746	-0.0406274873430381	0.926543372558854
3p	-1.26788405217135	0.999840823503236	-1.26808590164277	0.216005434778562	-0.0477631775152705	0.926543372558854
19p	1.11898565427093	0.960299497593134	1.16524652681327	0.254498768504769	-0.0573470900477393	0.926543372558854
8q	-0.658190465228667	0.590325712286343	-1.11496153992595	0.275067152542796	-0.0617972256352681	0.926543372558854
14q	-1.00799822224691	1.00102009424574	-1.00697101690694	0.323228840462275	-0.0708040161577603	0.926543372558854
11q	-0.419960960949785	0.479189147286701	-0.876399149120378	0.388838783085032	-0.0806413666839465	0.926543372558854
13q	-0.656823628761264	0.773829755538171	-0.848796035640251	0.40374229078476	-0.082567268097802	0.926543372558854
9q	-1.64465805964677	1.97597273329235	-0.832328317054485	0.412803760856502	-0.0836900477068028	0.926543372558854
11p	-0.417866647877079	0.525559254958812	-0.795089505007057	0.433760101060905	-0.0861560499090468	0.926543372558854
10q	1.09728412163774	1.41853430256835	0.773533723964968	0.446183118642069	-0.08753681520303	0.926543372558854
12q	-0.891606475389068	1.23225123349058	-0.723559004167866	0.475796496736752	-0.0906045060296174	0.926543372558854
7q	0.55743953519959	0.796207141549888	0.700118733065474	0.490070928331311	-0.0919784117383156	0.926543372558854
22q	0.881515740858279	1.27955865320992	0.688921714254284	0.496974785757888	-0.0926199192261421	0.926543372558854
4p	-0.700907801559534	1.02112991359069	-0.68640414136422	0.498534594067258	-0.0927628362471602	0.926543372558854
15q	0.698872689633153	1.02710835807333	0.680427419502369	0.502248592893859	-0.0931001741866309	0.926543372558854
Xp	0.826327722167858	1.26400899275495	0.653735635509088	0.519022665666424	-0.0945731395194416	0.926543372558854
18q	0.686876925327267	1.16970190489988	0.587223909313938	0.562118628892031	-0.0980024372927011	0.926543372558854
3q	-0.42230845510866	0.753864010313717	-0.560191824163244	0.580143867624888	-0.0992966922483258	0.926543372558854
12p	0.485939092085888	0.881074244965355	0.551530242613091	0.585979624371764	-0.0996991158889242	0.926543372558854
22p	0.404691531236672	0.927680364733453	0.436240268330947	0.666263453735353	-0.104480800296813	0.926543372558854
1q	-0.220529983801194	0.522838564322348	-0.421793645017412	0.67664280697695	-0.105003791043477	0.926543372558854
21p	-0.260416583259568	0.663837130555147	-0.392289872429687	0.698041470137102	-0.106018575873919	0.926543372558854
Xq	0.586682070872258	1.60887223137495	0.364654233836131	0.718318792225566	-0.106903909424483	0.926543372558854
6q	-0.44083932691963	1.25728686670503	-0.35062748096219	0.728692809811389	-0.107329039806639	0.926543372558854
18p	-0.192436460477408	0.557512202448714	-0.345169952571775	0.732743519210932	-0.107490028955456	0.926543372558854
21q	0.378566885101066	1.12293102802997	0.337123897774211	0.738729865247802	-0.107722852366027	0.926543372558854
20p	-0.437711184283031	1.30961013295937	-0.334230144733166	0.740886975715727	-0.107805267862304	0.926543372558854
20q	-0.435592011923142	1.33014201643294	-0.327477823075822	0.745928771614782	-0.107994860697991	0.926543372558854
8p	-0.177212423315621	0.598073903473091	-0.296305226304853	0.769350942805217	-0.108820721576936	0.926543372558854
2p	0.35548967989375	1.20403252234756	0.295249233966401	0.770148444191189	-0.108847273123972	0.926543372558854
7p	0.207357087503429	0.782842029247872	0.264877305709621	0.793192625313319	-0.109570853120956	0.926543372558854
4q	-0.314782755754038	1.21282141244482	-0.259545842878462	0.797258250806455	-0.109689863862774	0.926543372558854
9p	-0.206519922246352	1.35375852968517	-0.15255299798139	0.879928507632226	-0.111570028324063	0.982785168267968
16p	-0.133361777515199	1.50896151339253	-0.0883798402620408	0.930252019224143	-0.112230847191632	0.982785168267968
5p	0.0400769831449538	0.544652133438415	0.0735827158005346	0.941905610849848	-0.112333347012343	0.982785168267968
10p	-0.0319334664228874	0.554370409611912	-0.0576031221530068	0.954505189549404	-0.112423019428805	0.982785168267968
1p	-0.0644079631717505	1.34826910058951	-0.047770851637547	0.96226393055804	-0.112467344115982	0.982785168267968
16q	-0.038846192666449	1.78309788316503	-0.0217857881124823	0.982785168267968	-0.112544677741618	0.982785168267968
