estimate	std_error	t_value	p_values	r_sq	FDR
3p	0.542150949346628	0.286647965759155	1.89134762533829	0.0648843901669454	0.167770735786692	0.974183028405972
12p	0.495205424780536	0.273829278405314	1.80844585964087	0.0770766398114787	0.162589927935928	0.974183028405972
14q	0.526033708913861	0.320813099973686	1.63968899323939	0.10789186394893	0.152581709711097	0.974183028405972
3q	0.3725528932395	0.237267149688357	1.57018320373822	0.123226442375716	0.148680726519587	0.974183028405972
8p	-0.2467924840778	0.161208875364292	-1.53088645721342	0.132646242585296	0.146534767245597	0.974183028405972
13q	0.372483225314801	0.273236240644544	1.36322774913072	0.179446319476564	0.137881710913453	0.974183028405972
1q	0.232408468367201	0.181884753883359	1.27777872199362	0.207738400476762	0.133797218645766	0.974183028405972
4p	-0.3917237863965	0.337592388747733	-1.1603454326964	0.25189507200455	0.128559048032891	0.974183028405972
8q	-0.175117940306984	0.151112374258741	-1.15885903564151	0.252494382054632	0.128495594400933	0.974183028405972
10q	-0.523273255493637	0.456231008400696	-1.14694802821044	0.257333943437671	0.127989725818583	0.974183028405972
9q	-0.4119631020373	0.39984190810684	-1.03031496620214	0.308249256990296	0.123284418935836	0.974183028405972
5p	0.195594935549579	0.194100096631082	1.00770138162959	0.318869373879291	0.122425019450759	0.974183028405972
22q	-0.357384969199257	0.394066594370628	-0.906915161814322	0.369178145410331	0.118808318138467	0.974183028405972
9p	-0.247034500732707	0.2856174644438	-0.864913849766756	0.391574336697166	0.117405532491978	0.974183028405972
18p	0.143631029627442	0.201581541981254	0.712520740816632	0.4797411192636	0.112843554770679	0.974183028405972
7p	-0.0978802434620999	0.138460232071669	-0.706919539261175	0.483182342882798	0.112691867876913	0.974183028405972
Xq	-0.243009088545642	0.367697966338523	-0.660893207992111	0.511977331748863	0.111488923984018	0.974183028405972
6p	0.214096892916776	0.331937174219271	0.644992214024658	0.52213625035562	0.111091435691907	0.974183028405972
2p	0.256509729005528	0.403373350582481	0.635911441931208	0.527985495107028	0.110868624333837	0.974183028405972
16p	0.226709791520822	0.435717992363185	0.5203131279735	0.605340719905316	0.1083002795875	0.974183028405972
17q	0.103753355211453	0.244880717913176	0.423689362296949	0.67376703567072	0.106539007778087	0.974183028405972
5q	-0.152746763212445	0.370766578268182	-0.411975545168908	0.682270875786903	0.106349577706219	0.974183028405972
7q	0.116295216997628	0.286692052395033	0.405645067681837	0.686884085042169	0.106249382399647	0.974183028405972
12q	0.150554218260328	0.398560381101437	0.377745067997642	0.707357425351829	0.105826036136917	0.974183028405972
20p	0.120609766698852	0.321533381393395	0.375108071753479	0.709304128255258	0.105787563003255	0.974183028405972
1p	0.113583413226398	0.3278723062853	0.346425761032598	0.730602435095537	0.105386306446774	0.974183028405972
19q	0.103144424524613	0.311179848591209	0.331462416321539	0.741800627345714	0.105189504944431	0.974183028405972
17p	-0.096097215525286	0.290728068647255	-0.330539861432788	0.742492924944812	0.105177652862441	0.974183028405972
21q	0.121283760837874	0.375758507878744	0.322770498324982	0.748331645638038	0.105079138063356	0.974183028405972
11p	-0.057705950252588	0.18421007310327	-0.3132616435163	0.755497910875085	0.104961727120279	0.974183028405972
Xp	-0.111475395053203	0.372627756674199	-0.29916020225694	0.766165293140088	0.104794019106083	0.974183028405972
20q	0.0799635056864207	0.367181067339277	0.21777676683023	0.828566221604525	0.103976136032316	0.974183028405972
21p	-0.0419052074811204	0.224918102046361	-0.186313182886822	0.853018399072083	0.103728667273604	0.974183028405972
19p	0.0568982612225757	0.306703384906451	0.185515595923177	0.853640258454389	0.103722893258513	0.974183028405972
22p	-0.0486889038572379	0.309410474555124	-0.157360231347189	0.875649652796851	0.1035348971872	0.974183028405972
6q	0.0603547797151476	0.395429232148081	0.152631052052687	0.879356772796106	0.103506341610878	0.974183028405972
18q	0.0413698357638756	0.362716041370807	0.114055710377537	0.909689998924968	0.103305904640171	0.974183028405972
10p	0.0224763537336852	0.2053382270829	0.109460152904753	0.913313655664754	0.103285886675142	0.974183028405972
16q	-0.0412058669012196	0.434227428239364	-0.0948946663003177	0.924810667660438	0.103227874246662	0.974183028405972
11q	0.0166703094762444	0.179460644164537	0.0928911715092274	0.926393417661532	0.103220541041009	0.974183028405972
15q	-0.0293035462362047	0.327739116689628	-0.0894111955026577	0.929143291365303	0.103208175278316	0.974183028405972
2q	-0.0212541503718282	0.437827833306237	-0.048544539097317	0.961492432853592	0.103098269525567	0.974183028405972
4q	-0.0154698183882484	0.475424515232664	-0.0325389581155229	0.974183028405972	0.103072966005059	0.974183028405972
