estimate	std_error	t_value	p_values	r_sq	FDR
1q	-38.130353708737	15.3812419330028	-2.47901657582816	0.0172735277279398	0.0921058526401778	0.742761692301411
19p	50.365692026823	23.846335078782	2.11209361356485	0.0406670562504489	0.0591873678496546	0.825936917951613
11q	-23.5271382931014	14.2047984205756	-1.65628103944245	0.105118410458816	0.0230700222385603	0.825936917951613
17q	-30.6673649954582	18.8641218967276	-1.62569798707556	0.111495261885971	0.0208735398447503	0.825936917951613
9p	34.7675352385676	22.3879697001455	1.55295615029985	0.127937346281403	0.0157758994623434	0.825936917951613
16p	52.4128197723124	34.0015036227114	1.54148535176259	0.130700230202708	0.0149886361036091	0.825936917951613
19q	35.294875938845	24.0592834542738	1.4669961391795	0.149825684348628	0.00998908717294078	0.825936917951613
3q	-25.8446558892722	19.4622201808936	-1.32793975451189	0.191370030665054	0.00119701036169606	0.825936917951613
22q	-42.6404849614422	32.8949332855737	-1.29626300169888	0.201962622994708	-0.000703771531517683	0.825936917951613
8q	-15.813097898089	12.6787879993921	-1.24720895237362	0.219231024260636	-0.00357035141440876	0.825936917951613
1p	-31.2578046680756	25.4357031443687	-1.2288948526668	0.225952319961219	-0.00461630241263444	0.825936917951613
11p	-17.6668884195308	14.5197751668757	-1.21674669314678	0.230494023614404	-0.0053027529603582	0.825936917951613
8p	-13.905760277543	12.9105401417064	-1.077085863559	0.287589797806913	-0.0127646734829283	0.865156606959237
10q	38.3678141694125	36.2833831682251	1.05744863954729	0.296351266849213	-0.0137492086172879	0.865156606959237
Xq	32.3219949101664	30.9170822579261	1.04544130783493	0.301798816381129	-0.014343209897647	0.865156606959237
20q	-29.2168181640901	29.7344270800492	-0.982592268733962	0.331434784430775	-0.0173523261408552	0.87289114016567
15q	25.6422389083589	26.8535588873048	0.95489164084249	0.3450964972748	-0.0186247218197297	0.87289114016567
2p	-28.0620757818784	32.2163743273958	-0.871050090761308	0.388678614227663	-0.022271720833515	0.912358412049788
16q	28.6928598945246	34.108142766655	0.841231963018973	0.404982226371996	-0.023493847251977	0.912358412049788
18p	-13.2270302356154	16.8400714849824	-0.785449767681272	0.436598573218652	-0.0256730681384663	0.912358412049788
5p	-13.0790082147593	18.3997726650435	-0.71082444619586	0.481122003060206	-0.028367477416271	0.912358412049788
14q	-18.1771658917139	27.6741644217785	-0.656827993600021	0.51487468428535	-0.0301572659030982	0.912358412049788
21q	19.3336654929122	30.4242378104249	0.635469181294904	0.528569830297893	-0.0308278265012583	0.912358412049788
Xp	17.9697103487879	29.667271150285	0.605708231733179	0.547968028390668	-0.0317265793358397	0.912358412049788
2q	-20.343500342106	34.477288184172	-0.59005511783393	0.558315144303291	-0.0321825910566731	0.912358412049788
10p	-9.56033283560551	16.2321402707501	-0.588975494059336	0.559032416424601	-0.0322136175367436	0.912358412049788
7p	6.1376092393112	11.2090550623686	0.54755813091833	0.586893577613259	-0.0333622889177447	0.912358412049788
6q	17.7705741260281	33.0916544611698	0.537010748340802	0.594093849706839	-0.033641822115265	0.912358412049788
4p	12.2049283937755	28.1547458352263	0.433494532865046	0.66687397947786	-0.036103256560271	0.975907763181338
21p	7.56694896818227	18.2706776014977	0.414158091627756	0.680865881289306	-0.0365059533536483	0.975907763181338
12q	-11.7196879818258	31.6121098972418	-0.370734127520175	0.712698930920733	-0.0373443375930078	0.979405426992604
7q	7.38114791929746	23.8639104370232	0.309301693818216	0.758621327088292	-0.0383738108056495	0.979405426992604
12p	-6.73766178619209	23.9095951940361	-0.281797401064854	0.77948274699523	-0.0387749959683306	0.979405426992604
3p	-5.91582361846183	23.4711243642926	-0.252046877969842	0.802234170730882	-0.0391672116870581	0.979405426992604
20p	-5.80512614447476	25.8965998056152	-0.224165573397633	0.823715398912755	-0.039495330164895	0.979405426992604
5q	5.60028850096029	29.2323107145829	0.191578714239874	0.848995418025324	-0.039830343964675	0.979405426992604
4q	7.66949492815742	41.1510331693591	0.186374298224622	0.853048549477749	-0.0398790030549123	0.979405426992604
18q	3.79307780911244	31.5390582092225	0.120266045483986	0.904845888613784	-0.0403807317665039	0.979405426992604
6p	2.59825909083835	26.5768595358093	0.0977639621919021	0.922584800724293	-0.040502233699782	0.979405426992604
22p	2.13509976976754	25.3570496690588	0.0842014271231573	0.933296357339733	-0.0405633630931468	0.979405426992604
9q	-2.06546827027989	32.8821163747365	-0.0628143349029323	0.950212344349766	-0.0406412553136362	0.979405426992604
13q	1.23351191934553	22.5461778236837	0.0547104670686038	0.956628556597427	-0.0406648515466579	0.979405426992604
17p	0.148272691482532	23.9267714077127	0.00619693685186198	0.995084932978986	-0.0407380655519338	0.995084932978986
