estimate	std_error	t_value	p_values	r_sq	FDR
11p	-0.475529565782518	0.20644905217471	-2.30337490423592	0.0258286772375953	0.179820722581027	0.522186731688541
20q	0.843679767887355	0.416160717947408	2.02729313821007	0.048449695294484	0.160251312940195	0.522186731688541
19q	0.687458976780117	0.354137398345283	1.94122106276346	0.0583723611027271	0.15448781159347	0.522186731688541
9q	-0.829346726928505	0.462270676846431	-1.79407167373504	0.0793757862226486	0.145045617996074	0.522186731688541
3p	-0.609658256322153	0.340168421241959	-1.7922247282575	0.0796753389645627	0.144930545490429	0.522186731688541
12q	-0.790823835166623	0.457331410487994	-1.72921390709371	0.0904773714905122	0.141057722792095	0.522186731688541
20p	0.61652652223975	0.369730014311011	1.66750466117457	0.102208982120999	0.137366868526458	0.522186731688541
4p	-0.64646184733711	0.393568612811618	-1.64256453968431	0.107292647325924	0.135904521373203	0.522186731688541
11q	-0.33689985350841	0.206306462972711	-1.63300678347131	0.10929489733016	0.135348652003181	0.522186731688541
5p	0.34009935545867	0.226526465409181	1.5013669808706	0.14009438269024	0.127955242122641	0.602405845568031
19p	0.503311684797302	0.355089762341206	1.41742099653571	0.163098069820469	0.123504649475264	0.630217554032408
7q	0.457515621526767	0.332803592822259	1.3747316176695	0.175874666241602	0.121323101378254	0.630217554032408
16p	0.663324887674719	0.507336778977189	1.30746461751109	0.197552417857207	0.118000201296455	0.653442612912301
15q	-0.467285802436874	0.381356894259923	-1.22532412412186	0.226690186942038	0.114137259408151	0.69626271703626
21q	0.508245373935634	0.438416447682834	1.15927533426692	0.252326428529853	0.111190243135282	0.723335761785578
21p	-0.267214788750623	0.263094871429238	-1.0156594360772	0.315104111641982	0.105287306158534	0.800297733588088
17p	-0.334249984728873	0.340598518670971	-0.981360653103043	0.331548415866608	0.103982372973922	0.800297733588088
6q	-0.450994883294301	0.462895871640979	-0.974290139368735	0.335008353595014	0.103718478525661	0.800297733588088
8q	-0.154008700058436	0.179826483065942	-0.856429472637583	0.396199840228074	0.0995803199596073	0.827403106031019
22p	-0.300595164202926	0.363230867438007	-0.827559525221872	0.412192754371115	0.0986426409178596	0.827403106031019
10p	-0.192031423889681	0.241153429152235	-0.796303932167829	0.429945999041941	0.0976616371799102	0.827403106031019
17q	-0.226985570728165	0.288158085607322	-0.787711961126372	0.434905525022146	0.0973982194965111	0.827403106031019
1p	-0.298337446277008	0.385659286408573	-0.773577758376458	0.44313799323132	0.096970774943102	0.827403106031019
2q	0.372821081054331	0.514744972198648	0.724283093940456	0.472559798554292	0.0955376281591748	0.827403106031019
18p	-0.15854822813468	0.238505331260902	-0.664757585486605	0.50952461708536	0.093927358617294	0.827403106031019
3q	-0.183665854508308	0.286672356393352	-0.640682125123686	0.524908234742765	0.0933137683858084	0.827403106031019
6p	0.247770367505127	0.392534815547398	0.631206093552762	0.531029888656103	0.0930782475890151	0.827403106031019
14q	0.240671553217378	0.388618707539508	0.619299968190313	0.538774115555082	0.092787134152833	0.827403106031019
8p	-0.107313648600434	0.194756070169541	-0.551015680830973	0.584289456557766	0.0912213998549246	0.866360228689101
7p	0.0849535362363145	0.164115691007041	0.517644204006487	0.607187149265471	0.0905209247322584	0.870301580613841
1q	0.0976073052016623	0.218357860328893	0.447006144201291	0.656968289782212	0.0891795158822062	0.908607648486413
10q	-0.21714596334045	0.54613816894276	-0.397602613567206	0.692762259807355	0.088356139231264	0.908607648486413
4q	-0.218228730377523	0.561195112281143	-0.388864274833878	0.699170771771577	0.0882203856212866	0.908607648486413
22q	-0.170284832354627	0.469394042880684	-0.36277587016142	0.718433954617164	0.0878328168368783	0.908607648486413
Xq	-0.122326624001124	0.436428173915136	-0.28029039212512	0.780511421638432	0.0867827698313451	0.933384680360298
2p	0.133567556361697	0.478608506444382	0.279074764788407	0.781438337045831	0.0867692933209632	0.933384680360298
Xp	0.0946757179134032	0.440777640211845	0.214792469663163	0.830878543927537	0.0861396582591599	0.944400197962768
13q	0.0691692582304362	0.329359573467881	0.210011379059493	0.834586221455469	0.0860993474780162	0.944400197962768
12p	0.0396994564025184	0.335017917824636	0.11849950193798	0.906187855305891	0.0855022629407854	0.973471158916148
9p	-0.0310274731984575	0.340399146432	-0.0911502673366889	0.927768967085891	0.0853882941513958	0.973471158916148
5q	-0.0216294368298788	0.439166107738912	-0.0492511522376806	0.960932377208124	0.0852713354943621	0.973471158916148
18q	0.0149687248451986	0.428906253836776	0.0348997588897249	0.972310678868896	0.0852473208672082	0.973471158916148
16q	0.0171678317215288	0.513445609846925	0.0334365147783561	0.973471158916148	0.085245332468915	0.973471158916148
