estimate	p_values	FDR
4q	359	0.0260098864279856	0.889346533198206
12q	358	0.0699683900636226	0.889346533198206
9p	221	0.0913596084672512	0.889346533198206
1p	240	0.133658330258962	0.889346533198206
10q	332	0.146044987142778	0.889346533198206
16q	336	0.187223687019305	0.889346533198206
8p	226	0.19242698757113	0.889346533198206
6q	241	0.196697522325784	0.889346533198206
15q	338.5	0.204307288704016	0.889346533198206
16p	335.5	0.206824775162373	0.889346533198206
2p	328	0.272785241141379	0.892010857416013
1q	245	0.292174021500332	0.892010857416013
11q	250	0.297809024052644	0.892010857416013
21q	326.5	0.307453870905878	0.892010857416013
19p	247.5	0.377672312570819	0.892010857416013
4p	323	0.381101327090762	0.892010857416013
11p	253	0.392504630822407	0.892010857416013
8q	251	0.401660879086592	0.892010857416013
10p	322	0.406369762266316	0.892010857416013
9q	262	0.44316679005239	0.892010857416013
14q	258	0.453898584471526	0.892010857416013
20q	263	0.480103163031412	0.892010857416013
3p	259	0.497971154338484	0.892010857416013
2q	310	0.517913286879202	0.892010857416013
12p	314	0.544257551053395	0.892010857416013
Xq	318.5	0.547146754417874	0.892010857416013
22q	260.5	0.560099840703078	0.892010857416013
18q	269.5	0.603904212783361	0.906540587111956
19q	309	0.611387837819691	0.906540587111956
7p	310.5	0.634938753410382	0.910078879888214
6p	273	0.696956960138363	0.922918256980943
5p	304.5	0.717210048892267	0.922918256980943
21p	269.5	0.720975488908672	0.922918256980943
22p	271.5	0.748694790248964	0.922918256980943
5q	299.5	0.75121253475193	0.922918256980943
17p	276	0.791598902848806	0.945347441402844
18p	297	0.813438496090819	0.945347441402844
3q	297	0.842631460221415	0.953504020776864
Xp	280	0.880870287896933	0.970601543276362
7q	282.5	0.909881885219739	0.970601543276362
20p	284.5	0.939287688010944	0.970601543276362
17q	291	0.948029414362958	0.970601543276362
13q	287	0.98959881681436	0.98959881681436
