estimate	std_error	t_value	p_values	r_sq	FDR
7p	0.207110186821839	0.103197509677042	2.00693008455333	0.0506548369387243	0.0983454211768516	0.978224700835895
9p	0.369361602693168	0.215828582651534	1.71136555758938	0.0937496521621495	0.0780932260499417	0.978224700835895
3p	0.377008159079355	0.223240497042123	1.68879824258866	0.0980268238566154	0.0766451744535509	0.978224700835895
4q	0.482190224258811	0.360603872708944	1.33717428112039	0.187740828718381	0.0560866049602199	0.978224700835895
4p	0.326173928964555	0.26037379639493	1.25271411133024	0.216640899150127	0.0517461180082778	0.978224700835895
6p	0.294608151792572	0.254085558615877	1.15948404701724	0.252242254728795	0.0472418424890815	0.978224700835895
2p	-0.334410149864226	0.309302285486512	-1.08117581264626	0.285254653482976	0.0436977102764698	0.978224700835895
11p	0.147745512616752	0.140886797848524	1.04868245196119	0.299803045995787	0.0422925622819575	0.978224700835895
Xp	0.296764594465287	0.285012041330425	1.04123528634089	0.303208191510487	0.0419759861728052	0.978224700835895
16q	-0.323670233912714	0.332316300138363	-0.973982419092746	0.335159479421375	0.0392104067341672	0.978224700835895
10q	-0.325897410343423	0.354468779270438	-0.919396656072729	0.362684363761041	0.0370906827431877	0.978224700835895
8p	-0.114947037490367	0.126633611970087	-0.907713486981003	0.368760575715104	0.0366517047080118	0.978224700835895
20p	0.217461738648655	0.246877564308241	0.880848526102358	0.382979035371308	0.0356621234750512	0.978224700835895
21p	0.149232324809324	0.172548053719396	0.864873996504252	0.391595984433246	0.0350868565331781	0.978224700835895
20q	0.232454296083632	0.281931042176397	0.824507632395412	0.413906212837744	0.0336772220455088	0.978224700835895
7q	0.180110756271024	0.220438159657084	0.817057974677374	0.418107003240023	0.0334240000278051	0.978224700835895
12q	-0.237685500558203	0.306600279793569	-0.775229235662257	0.442171368119315	0.0320425437850835	0.978224700835895
12p	-0.163168984738359	0.217763220872345	-0.749295423188154	0.457494022178195	0.0312206216964175	0.978224700835895
11q	0.101950995938057	0.13793380339285	0.739129882815525	0.463583239400337	0.0309057039644351	0.978224700835895
18p	0.103804914999789	0.155947030998088	0.665642137175804	0.508964088385222	0.0287516042540286	0.978224700835895
10p	-0.101651660413971	0.158054542622125	-0.643142922231591	0.523324648534774	0.0281354060252921	0.978224700835895
16p	-0.213297039763001	0.336367702249447	-0.634118669350787	0.529144347398473	0.0278939938475694	0.978224700835895
19p	0.146192722978541	0.236213535351225	0.618900702540894	0.539034824277913	0.0274943539372148	0.978224700835895
Xq	0.173037477933206	0.284464532602233	0.608291924305251	0.545985879536313	0.0272213097311695	0.978224700835895
22q	-0.172197575835117	0.306306118364771	-0.562174783691562	0.576726286814497	0.0260875942922031	0.986679655770491
17p	0.0949414133744119	0.224587005788022	0.422737785034736	0.674456262970412	0.0231912256765207	0.986679655770491
14q	0.103678600756819	0.254700872011801	0.407060250473015	0.685851745200663	0.0229159674454544	0.986679655770491
2q	-0.132817209253625	0.337917698290017	-0.393046028443395	0.696101165019928	0.0226785926095933	0.986679655770491
1q	-0.0512438013264827	0.142885526665409	-0.358635353225654	0.721508692453439	0.0221305757195007	0.986679655770491
15q	-0.0771812835074901	0.253134939376616	-0.30490174014524	0.761816304288266	0.0213741653560655	0.986679655770491
13q	-0.0578001494195096	0.215289536416261	-0.268476352272659	0.789533073687043	0.0209305320521788	0.986679655770491
22p	0.0439682677039562	0.239175609269527	0.183832573221998	0.854952778614665	0.0201162648611584	0.986679655770491
18q	0.0505748591851542	0.280349042717049	0.18039961433433	0.857631283644588	0.0200896480210055	0.986679655770491
5q	-0.0466041848585396	0.287078333953753	-0.162339610296217	0.871749450873411	0.0199578644038232	0.986679655770491
19q	0.0356463349924627	0.240796709897322	0.148034975260512	0.882962176176329	0.019863318438019	0.986679655770491
6q	0.0399570265377942	0.30571910543176	0.130698493577508	0.896583741830167	0.0197603942023181	0.986679655770491
5p	-0.0188731129635442	0.151676605802864	-0.124429953212915	0.901517023689828	0.0197263256582293	0.986679655770491
9q	-0.0375451101512676	0.312607150884518	-0.120103171168779	0.904924465445886	0.019703785546838	0.986679655770491
3q	-0.0161486824079415	0.188262877469339	-0.0857773057812286	0.932015720066539	0.0195532057543562	0.986679655770491
8q	0.00893643728322289	0.118507663753451	0.0754080959845318	0.940217019495178	0.0195175865770888	0.986679655770491
21q	0.0151186406180081	0.290811643391598	0.051987741761941	0.958763569785967	0.0194539941854291	0.986679655770491
1p	0.0116028313095794	0.253796215021939	0.04571711720987	0.9637336172642	0.019440934961409	0.986679655770491
17q	-0.00261989873443241	0.189681044868881	-0.0138121272805274	0.989039599742339	0.0194004491256615	0.989039599742339
